[Header],,,,,,
INVESTIGATOR NAME,BeadStudio User,,,,,
PROJECT NAME,20210519_QEIC21-03-6_pt15_1-12,,,,,
EXPERIMENT NAME,20210519_QEIC21-03-6_pt15_1-12,,,,,
DATE,20210519,,,,,
[Manifests],,,,,,
A,MethylationEPIC_v-1-0_B4,,,,,
[Data],,,,,,
Sample_Name,Sample_Plate,Sample_Well,Sample_group,Pool_ID,Sentrix_ID,Sentrix_Position
201249,15,A01,Group1,,205118950174,R01C01
213735,15,B01,Group1,,205118950174,R02C01
241249,15,C01,Group1,,205118950174,R03C01
253735,15,D01,Group1,,205118950174,R04C01
203909,15,E01,Group1,,205118950174,R05C01
200308,15,F01,Group1,,205118950174,R06C01
243909,15,G01,Group1,,205118950174,R07C01
240308,15,H01,Group1,,205118950174,R08C01
202256,15,A02,Group1,,205118950160,R01C01
213263,15,B02,Group1,,205118950160,R02C01
242256,15,C02,Group1,,205118950160,R03C01
253263,15,D02,Group1,,205118950160,R04C01
206815,15,E02,Group1,,205118950160,R05C01
209698,15,F02,Group1,,205118950160,R06C01
246815,15,G02,Group1,,205118950160,R07C01
249698,15,H02,Group1,,205118950160,R08C01
207338,15,A03,Group1,,205118950141,R01C01
214563,15,B03,Group1,,205118950141,R02C01
247338,15,C03,Group1,,205118950141,R03C01
254563,15,D03,Group1,,205118950141,R04C01
208218,15,E03,Group1,,205118950141,R05C01
201723,15,F03,Group1,,205118950141,R06C01
248218,15,G03,Group1,,205118950141,R07C01
241723,15,H03,Group1,,205118950141,R08C01
204746,15,A04,Group1,,205118950140,R01C01
214056,15,B04,Group1,,205118950140,R02C01
244746,15,C04,Group1,,205118950140,R03C01
254056,15,D04,Group1,,205118950140,R04C01
207466,15,E04,Group1,,205118950140,R05C01
207444,15,F04,Group1,,205118950140,R06C01
247466,15,G04,Group1,,205118950140,R07C01
247444,15,H04,Group1,,205118950140,R08C01
210950,15,A05,Group1,,205243940089,R01C01
205735,15,B05,Group1,,205243940089,R02C01
250950,15,C05,Group1,,205243940089,R03C01
245735,15,D05,Group1,,205243940089,R04C01
201905,15,E05,Group1,,205243940089,R05C01
207412,15,F05,Group1,,205243940089,R06C01
241905,15,G05,Group1,,205243940089,R07C01
247412,15,H05,Group1,,205243940089,R08C01
205558,15,A06,Group1,,205243940029,R01C01
203172,15,B06,Group1,,205243940029,R02C01
245558,15,C06,Group1,,205243940029,R03C01
243172,15,D06,Group1,,205243940029,R04C01
200695,15,E06,Group1,,205243940029,R05C01
207940,15,F06,Group1,,205243940029,R06C01
240695,15,G06,Group1,,205243940029,R07C01
247940,15,H06,Group1,,205243940029,R08C01
202756,15,A07,Group1,,205243940026,R01C01
213224,15,B07,Group1,,205243940026,R02C01
242756,15,C07,Group1,,205243940026,R03C01
253224,15,D07,Group1,,205243940026,R04C01
209685,15,E07,Group1,,205243940026,R05C01
pool_women,15,F07,Group1,,205243940026,R06C01
249685,15,G07,Group1,,205243940026,R07C01
pool_men,15,H07,Group1,,205243940026,R08C01
200440,15,A08,Group1,,205243940023,R01C01
201532,15,B08,Group1,,205243940023,R02C01
240440,15,C08,Group1,,205243940023,R03C01
241532,15,D08,Group1,,205243940023,R04C01
200961,15,E08,Group1,,205243940023,R05C01
213234,15,F08,Group1,,205243940023,R06C01
240961,15,G08,Group1,,205243940023,R07C01
253234,15,H08,Group1,,205243940023,R08C01
203672,15,A09,Group1,,205243940098,R01C01
201989,15,B09,Group1,,205243940098,R02C01
243672,15,C09,Group1,,205243940098,R03C01
241989,15,D09,Group1,,205243940098,R04C01
202421,15,E09,Group1,,205243940098,R05C01
208119,15,F09,Group1,,205243940098,R06C01
242421,15,G09,Group1,,205243940098,R07C01
248119,15,H09,Group1,,205243940098,R08C01
201825,15,A10,Group1,,205243940008,R01C01
205267,15,B10,Group1,,205243940008,R02C01
241825,15,C10,Group1,,205243940008,R03C01
245267,15,D10,Group1,,205243940008,R04C01
212362,15,E10,Group1,,205243940008,R05C01
201074,15,F10,Group1,,205243940008,R06C01
252362,15,G10,Group1,,205243940008,R07C01
241074,15,H10,Group1,,205243940008,R08C01
205732,15,A11,Group1,,205243940097,R01C01
207237,15,B11,Group1,,205243940097,R02C01
245732,15,C11,Group1,,205243940097,R03C01
247237,15,D11,Group1,,205243940097,R04C01
212752,15,E11,Group1,,205243940097,R05C01
212775,15,F11,Group1,,205243940097,R06C01
252752,15,G11,Group1,,205243940097,R07C01
252775,15,H11,Group1,,205243940097,R08C01
202746,15,A12,Group1,,205243940094,R01C01
205182,15,B12,Group1,,205243940094,R02C01
242746,15,C12,Group1,,205243940094,R03C01
245182,15,D12,Group1,,205243940094,R04C01
212612,15,E12,Group1,,205243940094,R05C01
200814,15,F12,Group1,,205243940094,R06C01
252612,15,G12,Group1,,205243940094,R07C01
240814,15,H12,Group1,,205243940094,R08C01
