[Header],,,,,,
INVESTIGATOR NAME,BeadStudio User,,,,,
PROJECT NAME,20211018_QEIC21-03-11_MCU08_1-12,,,,,
EXPERIMENT NAME,20211018_QEIC21-03-11_MCU08_1-12,,,,,
DATE,20211018,,,,,
[Manifests],,,,,,
A,MethylationEPIC_v-1-0_B4,,,,,
[Data],,,,,,
Sample_Name,Sample_Plate,Sample_Well,Sample_group,Pool_ID,Sentrix_ID,Sentrix_Position
400605,MCU08,A01,Group1,,205689140152,R01C01
209644,MCU08,B01,Group1,,205689140152,R02C01
404028,MCU08,C01,Group1,,205689140152,R03C01
201903,MCU08,D01,Group1,,205689140152,R04C01
206858,MCU08,E01,Group1,,205689140152,R05C01
215795,MCU08,F01,Group1,,205689140152,R06C01
209247,MCU08,G01,Group1,,205689140152,R07C01
218074,MCU08,H01,Group1,,205689140152,R08C01
208113,MCU08,A02,Group1,,205689140066,R01C01
219193,MCU08,B02,Group1,,205689140066,R02C01
204953,MCU08,C02,Group1,,205689140066,R03C01
208319,MCU08,D02,Group1,,205689140066,R04C01
219010,MCU08,E02,Group1,,205689140066,R05C01
207739,MCU08,F02,Group1,,205689140066,R06C01
404296,MCU08,G02,Group1,,205689140066,R07C01
214634,MCU08,H02,Group1,,205689140066,R08C01
218927,MCU08,A03,Group1,,205689140001,R01C01
403454,MCU08,B03,Group1,,205689140001,R02C01
212891,MCU08,C03,Group1,,205689140001,R03C01
210696,MCU08,D03,Group1,,205689140001,R04C01
202162,MCU08,E03,Group1,,205689140001,R05C01
405018,MCU08,F03,Group1,,205689140001,R06C01
402200-412200,MCU08,G03,Group1,,205689140001,R07C01
403754,MCU08,H03,Group1,,205689140001,R08C01
217571,MCU08,A04,Group1,,205689140106,R01C01
212648,MCU08,B04,Group1,,205689140106,R02C01
211769,MCU08,C04,Group1,,205689140106,R03C01
211010,MCU08,D04,Group1,,205689140106,R04C01
218189,MCU08,E04,Group1,,205689140106,R05C01
210817,MCU08,F04,Group1,,205689140106,R06C01
403512,MCU08,G04,Group1,,205689140106,R07C01
404568,MCU08,H04,Group1,,205689140106,R08C01
208899,MCU08,A05,Group1,,205689140068,R01C01
203409,MCU08,B05,Group1,,205689140068,R02C01
204439,MCU08,C05,Group1,,205689140068,R03C01
402859,MCU08,D05,Group1,,205689140068,R04C01
205185,MCU08,E05,Group1,,205689140068,R05C01
218192,MCU08,F05,Group1,,205689140068,R06C01
215180,MCU08,G05,Group1,,205689140068,R07C01
402908,MCU08,H05,Group1,,205689140068,R08C01
217078,MCU08,A06,Group1,,205689140073,R01C01
203407,MCU08,B06,Group1,,205689140073,R02C01
204118,MCU08,C06,Group1,,205689140073,R03C01
214770,MCU08,D06,Group1,,205689140073,R04C01
208539,MCU08,E06,Group1,,205689140073,R05C01
214820,MCU08,F06,Group1,,205689140073,R06C01
218172,MCU08,G06,Group1,,205689140073,R07C01
204018,MCU08,H06,Group1,,205689140073,R08C01
213728,MCU08,A07,Group1,,205689140031,R01C01
216795,MCU08,B07,Group1,,205689140031,R02C01
212791,MCU08,C07,Group1,,205689140031,R03C01
204854,MCU08,D07,Group1,,205689140031,R04C01
213256,MCU08,E07,Group1,,205689140031,R05C01
207727,MCU08,F07,Group1,,205689140031,R06C01
401074,MCU08,G07,Group1,,205689140031,R07C01
205858,MCU08,H07,Group1,,205689140031,R08C01
217204,MCU08,A08,Group1,,205689140032,R01C01
213249,MCU08,B08,Group1,,205689140032,R02C01
402329,MCU08,C08,Group1,,205689140032,R03C01
400161,MCU08,D08,Group1,,205689140032,R04C01
214277,MCU08,E08,Group1,,205689140032,R05C01
404495,MCU08,F08,Group1,,205689140032,R06C01
401696,MCU08,G08,Group1,,205689140032,R07C01
210367,MCU08,H08,Group1,,205689140032,R08C01
214384,MCU08,A09,Group1,,205689140150,R01C01
404033,MCU08,B09,Group1,,205689140150,R02C01
411181,MCU08,C09,Group1,,205689140150,R03C01
207407,MCU08,D09,Group1,,205689140150,R04C01
203324,MCU08,E09,Group1,,205689140150,R05C01
2167623,MCU08,F09,Group1,,205689140150,R06C01
207514,MCU08,G09,Group1,,205689140150,R07C01
401444,MCU08,H09,Group1,,205689140150,R08C01
214156,MCU08,A10,Group1,,205689140102,R01C01
208819,MCU08,B10,Group1,,205689140102,R02C01
218261,MCU08,C10,Group1,,205689140102,R03C01
204532,MCU08,D10,Group1,,205689140102,R04C01
pool_womem,MCU08,E10,Group1,,205689140102,R05C01
215546,MCU08,F10,Group1,,205689140102,R06C01
pool_men,MCU08,G10,Group1,,205689140102,R07C01
214077,MCU08,H10,Group1,,205689140102,R08C01
218572,MCU08,A11,Group1,,205689140175,R01C01
218809,MCU08,B11,Group1,,205689140175,R02C01
212715,MCU08,C11,Group1,,205689140175,R03C01
402552,MCU08,D11,Group1,,205689140175,R04C01
202238,MCU08,E11,Group1,,205689140175,R05C01
218028,MCU08,F11,Group1,,205689140175,R06C01
207669,MCU08,G11,Group1,,205689140175,R07C01
209756,MCU08,H11,Group1,,205689140175,R08C01
216030,MCU08,A12,Group1,,205689140158,R01C01
210195,MCU08,B12,Group1,,205689140158,R02C01
402060,MCU08,C12,Group1,,205689140158,R03C01
402682,MCU08,D12,Group1,,205689140158,R04C01
217758,MCU08,E12,Group1,,205689140158,R05C01
202238,MCU08,F12,Group1,,205689140158,R06C01
215781,MCU08,G12,Group1,,205689140158,R07C01
207669,MCU08,H12,Group1,,205689140158,R08C01
