Channel State,Experiment Time (minutes),State Time (samples)
adapter,0,53
adapter,1,4239379
adapter,2,4218207
adapter,3,5176425
adapter,4,4744712
adapter,5,4269372
adapter,6,4332071
adapter,7,4119566
adapter,8,3975169
adapter,9,3916688
adapter,10,3812734
adapter,11,3519938
adapter,12,3546517
adapter,13,3561493
adapter,14,3510954
adapter,15,3241837
adapter,16,3123841
adapter,17,3099153
adapter,18,3069498
adapter,19,2980606
adapter,20,3119344
adapter,21,2842574
adapter,22,2844970
adapter,23,2764146
adapter,24,2753672
adapter,25,2649581
adapter,26,2621468
adapter,27,2638835
adapter,28,2607165
adapter,29,2541502
adapter,30,2408972
adapter,31,2438549
adapter,32,2472870
adapter,33,2367524
adapter,34,2346383
adapter,35,2326881
adapter,36,2197850
adapter,37,2268521
adapter,38,2225340
adapter,39,2172903
adapter,40,2168043
adapter,41,2212955
adapter,42,1994360
adapter,43,2086766
adapter,44,2117214
adapter,45,2071692
adapter,46,2048908
adapter,47,1926133
adapter,48,1986576
adapter,49,1945250
adapter,50,2026273
adapter,51,1947142
adapter,52,1963398
adapter,53,1883722
adapter,54,1986142
adapter,55,1910897
adapter,56,1798057
adapter,57,1811444
adapter,58,1827137
adapter,59,1793288
adapter,60,1834006
adapter,61,1779258
adapter,62,1786829
adapter,63,1778373
adapter,64,1746376
adapter,65,1768477
adapter,66,1815697
adapter,67,1676866
adapter,68,1648319
adapter,69,1679295
adapter,70,1639921
adapter,71,1592693
adapter,72,1646743
adapter,73,1612878
adapter,74,1630097
adapter,75,1582799
adapter,76,1608625
adapter,77,1602928
adapter,78,1608906
adapter,79,1518248
adapter,80,1564940
adapter,81,1551988
adapter,82,1565345
adapter,83,1537495
adapter,84,1535617
adapter,85,1463043
adapter,86,1536256
adapter,87,1561868
adapter,88,1483954
adapter,89,1481195
adapter,90,1503949
adapter,91,1449704
adapter,92,1408450
adapter,93,1027561
adapter,94,166561
adapter,95,0
adapter,96,1412326
adapter,97,1437210
adapter,98,1793975
adapter,99,2059453
adapter,100,1911546
adapter,101,1733087
adapter,102,1660263
adapter,103,1607723
adapter,104,1591030
adapter,105,1605504
adapter,106,1543880
adapter,107,1499860
adapter,108,1495596
adapter,109,1495475
adapter,110,1484334
adapter,111,1439428
adapter,112,1388715
adapter,113,1473828
adapter,114,1425628
adapter,115,1478842
adapter,116,1435573
adapter,117,1404100
adapter,118,1377578
adapter,119,1400535
adapter,120,1415412
adapter,121,1375155
adapter,122,1508431
adapter,123,1473350
adapter,124,1451914
adapter,125,1426446
adapter,126,1402081
adapter,127,1391972
adapter,128,1374039
adapter,129,1424885
adapter,130,1384449
adapter,131,1339400
adapter,132,1407764
adapter,133,1386461
adapter,134,1353312
adapter,135,1407904
adapter,136,1387375
adapter,137,1346840
adapter,138,1345270
adapter,139,1353624
adapter,140,1327400
adapter,141,1345091
adapter,142,1407139
adapter,143,1409844
adapter,144,1297109
adapter,145,1302065
adapter,146,1333560
adapter,147,1344814
adapter,148,1421468
adapter,149,1240770
adapter,150,1370159
adapter,151,1310192
adapter,152,1278983
adapter,153,1195925
adapter,154,1251320
adapter,155,1289618
adapter,156,1227830
adapter,157,1266710
adapter,158,1255993
adapter,159,1225445
adapter,160,1281790
adapter,161,1225915
adapter,162,1239238
adapter,163,1298094
adapter,164,1236236
adapter,165,1299540
adapter,166,1247877
adapter,167,1343155
adapter,168,1226469
adapter,169,1295952
adapter,170,1195281
adapter,171,1275060
adapter,172,1265776
adapter,173,1216764
adapter,174,1246390
adapter,175,1245028
adapter,176,1224703
adapter,177,1264666
adapter,178,1251961
adapter,179,1148485
adapter,180,1243094
