Instrument Name,A00618
Date,2024-01-19_16-05-47
Surface,Top
FTM LaserMode,CW
FTM Laser Operating Power (mW),0.500
FTM Laser Pulse Duration (us),NA
FTM Exposure Time (us),250.000
FTM Laser Energy (mJ),0.000
Green Laser Power (mW),600
Red Laser Power (mW),500
Imaging Mode,TDI
TDI Exposure (ms),NA
Scan Velocity (mm/s),12.000

[FocusModel Input Green]
Z Position [um],Valid,Spot Separation,Brenner Score,Within Peak,Left Spot Centroid,Left Spot Peak Intensity,Left Spot Pct Saturation,Right Spot Centroid,Right Spot Peak Intensity,Right Spot Pct Saturation
396.416, True, 1537.469, 6.270,FALSE,199.888671875,74,0,1737.35815429688,106,0
396.583, True, 1534.196, 6.309,FALSE,201.618896484375,75,0,1735.81494140625,105,0
396.810, True, 1529.964, 6.356,FALSE,203.934326171875,75,0,1733.89794921875,108,0
397.017, True, 1526.161, 6.424,FALSE,205.96826171875,75,0,1732.12963867188,108,0
397.206, True, 1522.986, 6.526,FALSE,207.704345703125,75,0,1730.68994140625,108,0
397.427, True, 1519.270, 6.634,FALSE,209.70654296875,76,0,1728.9765625,109,0
397.605, True, 1515.994, 6.772,FALSE,211.472412109375,76,0,1727.46606445313,109,0
397.787, True, 1512.651, 6.909,FALSE,213.271484375,76,0,1725.92211914063,110,0
397.995, True, 1508.896, 7.038,FALSE,215.267578125,77,0,1724.16381835938,110,0
398.234, True, 1504.691, 7.204,FALSE,217.527587890625,78,0,1722.21850585938,110,0
398.421, True, 1501.335, 7.392,FALSE,219.287109375,78,0,1720.6220703125,109,0
398.597, True, 1498.143, 7.615,FALSE,220.989501953125,77,0,1719.13256835938,111,0
398.806, True, 1494.356, 7.966,FALSE,223.01171875,78,0,1717.3681640625,111,0
398.998, True, 1491.051, 8.409,FALSE,224.74560546875,78,0,1715.79638671875,110,0
399.193, True, 1487.648, 8.932,FALSE,226.5810546875,78,0,1714.22924804688,111,0
399.418, True, 1483.585, 9.423,FALSE,228.74609375,78,0,1712.33154296875,111,0
399.620, True, 1480.138, 10.124,FALSE,230.56640625,78,0,1710.70458984375,112,0
399.800, True, 1476.855, 11.106,FALSE,232.296630859375,78,0,1709.15185546875,112,0
400.000, True, 1473.751, 12.080,FALSE,233.976806640625,78,0,1707.72778320313,112,0
400.206, True, 1470.173, 13.200,FALSE,235.885009765625,78,0,1706.05834960938,113,0
400.394, True, 1466.739, 14.866,FALSE,237.727783203125,79,0,1704.466796875,113,0
400.598, True, 1463.135, 17.192,FALSE,239.63232421875,80,0,1702.76708984375,113,0
400.778, True, 1459.999, 20.395,FALSE,241.3369140625,79,0,1701.33569335938,113,0
