Instrument Name,A00618
Date,2024-01-19_16-08-06
Surface,Bottom
FTM LaserMode,CW
FTM Laser Operating Power (mW),0.500
FTM Laser Pulse Duration (us),NA
FTM Exposure Time (us),250.000
FTM Laser Energy (mJ),0.000
Green Laser Power (mW),600
Red Laser Power (mW),500
Imaging Mode,TDI
TDI Exposure (ms),NA
Scan Velocity (mm/s),12.000

[FocusModel Input Green]
Z Position [um],Valid,Spot Separation,Brenner Score,Within Peak,Left Spot Centroid,Left Spot Peak Intensity,Left Spot Pct Saturation,Right Spot Centroid,Right Spot Peak Intensity,Right Spot Pct Saturation
373.640, True, 716.790, 6.755,FALSE,632.899169921875,51,0,1349.68920898438,101,0
373.825, True, 713.748, 6.653,FALSE,634.496826171875,51,0,1348.24487304688,100,0
374.051, True, 709.766, 6.563,FALSE,636.634521484375,50,0,1346.40014648438,99,0
374.269, True, 706.162, 6.498,FALSE,638.555908203125,50,0,1344.71801757813,98,0
374.445, True, 703.385, 6.426,FALSE,640.010986328125,50,0,1343.39575195313,98,0
374.662, True, 699.774, 6.355,FALSE,641.952392578125,50,0,1341.72607421875,98,0
374.876, True, 696.157, 6.297,FALSE,643.8623046875,50,0,1340.01904296875,96,0
375.071, True, 692.835, 6.250,FALSE,645.652099609375,50,0,1338.48706054688,96,0
375.241, True, 690.019, 6.210,FALSE,647.15234375,49,0,1337.17163085938,95,0
375.447, True, 686.345, 6.181,FALSE,649.13720703125,48,0,1335.48217773438,95,0
375.656, True, 682.436, 6.147,FALSE,651.243408203125,48,0,1333.6796875,94,0
375.848, True, 679.084, 6.124,FALSE,652.98291015625,47,0,1332.0673828125,94,0
376.039, True, 675.972, 6.103,FALSE,654.676025390625,47,0,1330.64770507813,94,0
376.267, True, 672.406, 6.081,FALSE,656.520751953125,47,0,1328.9267578125,92,0
376.443, True, 669.365, 6.066,FALSE,658.119384765625,47,0,1327.48486328125,92,0
376.640, True, 666.054, 6.045,FALSE,659.833740234375,46,0,1325.88818359375,91,0
376.865, True, 662.160, 6.024,FALSE,661.788818359375,46,0,1323.94897460938,90,0

[FocusModel Red]
Best Focus Separation,800.020
Slope,-0.058
Offset,415.269
Best Z Position [um],368.838
Best Focus Spot Intensity,86

[FocusModel Overall]
Best Focus Separation,799.575
Slope,-0.058
Offset,415.269
Best Z Position [um],368.861
Best Focus Spot Intensity,86

Chromatism [um],0.0450944079258709
