acquisition_duration,current_target_temperature,num_reads,current_speed,new_target_temperature
957,34.0,44774,390.71478271484375,34.37
1558,34.369998931884766,40249,394.45391845703125,34.589998931884764
2158,34.59000015258789,37464,402.76559755421846,34.48000015258789
2758,34.47999954223633,2909,404.5163269042969,34.29999954223633
3358,34.29999923706055,5555,396.7814025878906,34.42999923706055
3959,34.43000030517578,4220,399.6144714355469,
