SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
5	1114	13233	13233
6	1114	11207	11207
7	1114	6632	6632
8	1114	6701	6701
9	1114	9053	9053
10	1114	12267	12267
11	1114	10631	10631
12	1114	8432	8432
13	1114	9380	9380
14	1114	10250	10250
15	1114	9410	9410
16	1114	11371	11371
17	1114	10473	10473
18	1114	13206	13206
0	1115	3921211	1860895
1	1115	7056	7056
2	1115	12802	12802
3	1115	10559	10559
4	1115	9307	9307
5	1115	11989	11989
6	1115	10161	10161
7	1115	5971	5971
8	1115	6237	6237
9	1115	8227	8227
10	1115	11374	11374
11	1115	9793	9793
12	1115	7817	7817
13	1115	8619	8619
14	1115	9356	9356
15	1115	8932	8932
16	1115	10478	10478
17	1115	9832	9832
18	1115	12183	12183
0	1116	3882693	2321877
1	1116	8874	8874
2	1116	15274	15274
3	1116	12949	12949
4	1116	11349	11349
5	1116	14730	14730
6	1116	12833	12833
7	1116	7586	7586
8	1116	7654	7654
9	1116	10368	10368
10	1116	13570	13570
11	1116	12276	12276
12	1116	9663	9663
13	1116	10617	10617
14	1116	11314	11314
15	1116	10486	10486
16	1116	13052	13052
17	1116	11895	11895
18	1116	14721	14721
0	1117	3889050	2250952
1	1117	8584	8584
2	1117	14906	14906
3	1117	12806	12806
4	1117	11039	11039
5	1117	14374	14374
6	1117	12227	12227
7	1117	7387	7387
8	1117	7232	7232
9	1117	9713	9713
10	1117	13397	13397
11	1117	11847	11847
12	1117	9350	9350
13	1117	10049	10049
14	1117	11206	11206
15	1117	10460	10460
16	1117	12256	12256
17	1117	11639	11639
18	1117	14382	14382
0	1118	3881671	2351971
1	1118	8871	8871
2	1118	15411	15411
3	1118	13003	13003
4	1118	11466	11466
5	1118	15097	15097
6	1118	12875	12875
7	1118	7456	7456
8	1118	7641	7641
9	1118	10204	10204
10	1118	13927	13927
11	1118	12470	12470
12	1118	9859	9859
13	1118	10386	10386
14	1118	11387	11387
15	1118	10632	10632
16	1118	12796	12796
17	1118	11968	11968
18	1118	14784	14784
0	1119	3883088	2335143
1	1119	8827	8827
2	1119	15774	15774
3	1119	12876	12876
4	1119	11295	11295
5	1119	14777	14777
6	1119	12735	12735
7	1119	7595	7595
8	1119	7586	7586
9	1119	10056	10056
10	1119	13923	13923
11	1119	12177	12177
12	1119	9659	9659
13	1119	10561	10561
14	1119	11431	11431
15	1119	10629	10629
16	1119	12764	12764
17	1119	11724	11724
18	1119	14427	14427
0	1120	3884450	2319253
1	1120	8535	8535
2	1120	15598	15598
3	1120	12794	12794
4	1120	11470	11470
5	1120	14729	14729
6	1120	12686	12686
7	1120	7460	7460
8	1120	7573	7573
9	1120	10124	10124
10	1120	13629	13629
11	1120	12043	12043
12	1120	9658	9658
13	1120	10272	10272
14	1120	11264	11264
15	1120	10603	10603
16	1120	12701	12701
17	1120	11880	11880
18	1120	14435	14435
0	1121	3889625	2251246
1	1121	8374	8374
2	1121	14949	14949
3	1121	12581	12581
4	1121	11074	11074
5	1121	14301	14301
6	1121	12306	12306
7	1121	7249	7249
8	1121	7489	7489
9	1121	9831	9831
10	1121	13376	13376
11	1121	11912	11912
12	1121	9474	9474
13	1121	10153	10153
14	1121	11041	11041
15	1121	10339	10339
16	1121	12494	12494
17	1121	11424	11424
18	1121	13912	13912
0	1122	3889488	2261676
1	1122	8428	8428
2	1122	15285	15285
3	1122	12431	12431
4	1122	11102	11102
5	1122	14259	14259
6	1122	12331	12331
7	1122	7130	7130
8	1122	7638	7638
9	1122	9618	9618
10	1122	13271	13271
11	1122	11987	11987
12	1122	9370	9370
13	1122	10057	10057
14	1122	11094	11094
15	1122	10380	10380
16	1122	12400	12400
17	1122	11589	11589
18	1122	14046	14046
0	1123	3891889	2222484
1	1123	8103	8103
2	1123	14744	14744
3	1123	12586	12586
4	1123	11201	11201
5	1123	14082	14082
6	1123	12105	12105
7	1123	7040	7040
8	1123	7331	7331
9	1123	9600	9600
10	1123	13285	13285
11	1123	11606	11606
12	1123	9373	9373
13	1123	10045	10045
14	1123	10850	10850
15	1123	10307	10307
16	1123	12220	12220
17	1123	11464	11464
18	1123	14073	14073
0	1124	3895631	2196356
1	1124	8003	8003
2	1124	14379	14379
3	1124	12344	12344
4	1124	10789	10789
5	1124	13765	13765
6	1124	12016	12016
7	1124	7109	7109
8	1124	7329	7329
9	1124	9377	9377
10	1124	13162	13162
11	1124	11591	11591
12	1124	9134	9134
13	1124	9920	9920
14	1124	10622	10622
15	1124	10079	10079
16	1124	11865	11865
17	1124	11002	11002
18	1124	13787	13787
0	1125	3893430	2221833
1	1125	8244	8244
2	1125	15031	15031
3	1125	12355	12355
4	1125	10743	10743
5	1125	14012	14012
6	1125	12158	12158
7	1125	7030	7030
8	1125	7269	7269
9	1125	9576	9576
10	1125	12854	12854
11	1125	11591	11591
12	1125	9341	9341
13	1125	9961	9961
14	1125	10893	10893
15	1125	10151	10151
16	1125	12063	12063
17	1125	11293	11293
18	1125	13909	13909
0	1126	3891079	2257692
1	1126	8334	8334
2	1126	15308	15308
3	1126	12510	12510
4	1126	10932	10932
5	1126	14268	14268
6	1126	12423	12423
7	1126	7291	7291
8	1126	7504	7504
9	1126	9585	9585
10	1126	13084	13084
11	1126	11870	11870
12	1126	9345	9345
13	1126	9878	9878
14	1126	10904	10904
15	1126	10166	10166
16	1126	12334	12334
17	1126	11236	11236
18	1126	13853	13853
0	1127	3892549	2230651
1	1127	8519	8519
2	1127	14877	14877
3	1127	12297	12297
4	1127	10708	10708
5	1127	14073	14073
6	1127	12116	12116
7	1127	7195	7195
8	1127	7331	7331
9	1127	9502	9502
10	1127	13187	13187
11	1127	11907	11907
12	1127	9243	9243
13	1127	9866	9866
14	1127	10932	10932
15	1127	10019	10019
