SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	3912858	2000827
1	1101	7366	7366
2	1101	13253	13253
3	1101	11265	11265
4	1101	9686	9686
5	1101	12499	12499
6	1101	10877	10877
7	1101	6384	6384
8	1101	6831	6831
9	1101	8719	8719
10	1101	11789	11789
11	1101	10347	10347
12	1101	8187	8187
13	1101	9024	9024
14	1101	9679	9679
15	1101	9075	9075
16	1101	11015	11015
17	1101	10221	10221
18	1101	12829	12829
0	1102	3911203	2020555
1	1102	7499	7499
2	1102	13515	13515
3	1102	11183	11183
4	1102	9880	9880
5	1102	12783	12783
6	1102	10595	10595
7	1102	6211	6211
8	1102	6565	6565
9	1102	8722	8722
10	1102	12017	12017
11	1102	10641	10641
12	1102	8443	8443
13	1102	8989	8989
14	1102	10090	10090
15	1102	9403	9403
16	1102	10947	10947
17	1102	10416	10416
18	1102	12802	12802
0	1103	3910554	2029059
1	1103	7358	7358
2	1103	13682	13682
3	1103	11416	11416
4	1103	9788	9788
5	1103	12852	12852
6	1103	11149	11149
7	1103	6456	6456
8	1103	6569	6569
9	1103	8830	8830
10	1103	12138	12138
11	1103	10438	10438
12	1103	8530	8530
13	1103	9012	9012
14	1103	9986	9986
15	1103	9399	9399
16	1103	10860	10860
17	1103	10107	10107
18	1103	12780	12780
0	1104	3910504	2025907
1	1104	7406	7406
2	1104	13776	13776
3	1104	11203	11203
4	1104	9946	9946
5	1104	12762	12762
6	1104	11038	11038
7	1104	6413	6413
8	1104	6788	6788
9	1104	8946	8946
10	1104	12041	12041
11	1104	10517	10517
12	1104	8472	8472
13	1104	8920	8920
14	1104	9810	9810
15	1104	9293	9293
16	1104	11015	11015
17	1104	10272	10272
18	1104	12782	12782
0	1105	3908723	2041603
1	1105	7533	7533
2	1105	14030	14030
3	1105	11555	11555
4	1105	9778	9778
5	1105	12999	12999
6	1105	11070	11070
7	1105	6323	6323
8	1105	6849	6849
9	1105	8992	8992
10	1105	12195	12195
11	1105	10660	10660
12	1105	8488	8488
13	1105	9016	9016
14	1105	10046	10046
15	1105	9181	9181
16	1105	11222	11222
17	1105	10436	10436
18	1105	12808	12808
0	1106	3913332	1995047
1	1106	7493	7493
2	1106	13247	13247
3	1106	11251	11251
4	1106	9661	9661
5	1106	12371	12371
6	1106	10911	10911
7	1106	6375	6375
8	1106	6520	6520
9	1106	8572	8572
10	1106	11886	11886
11	1106	10562	10562
12	1106	8248	8248
13	1106	8974	8974
14	1106	9641	9641
15	1106	8974	8974
16	1106	10875	10875
17	1106	10150	10150
18	1106	12861	12861
0	1107	3913017	1992351
1	1107	7230	7230
2	1107	13501	13501
3	1107	11046	11046
4	1107	9710	9710
5	1107	12543	12543
6	1107	10892	10892
7	1107	6396	6396
8	1107	6562	6562
9	1107	8747	8747
10	1107	11711	11711
11	1107	10315	10315
12	1107	8547	8547
13	1107	9037	9037
14	1107	9864	9864
15	1107	9039	9039
16	1107	10908	10908
17	1107	10320	10320
18	1107	12519	12519
0	1108	3913334	1994611
1	1108	7353	7353
2	1108	13432	13432
3	1108	11253	11253
4	1108	9787	9787
5	1108	12541	12541
6	1108	11121	11121
7	1108	6336	6336
8	1108	6717	6717
9	1108	8655	8655
10	1108	11762	11762
11	1108	10267	10267
12	1108	7902	7902
13	1108	9087	9087
14	1108	9742	9742
15	1108	9016	9016
16	1108	10799	10799
17	1108	10113	10113
18	1108	12687	12687
0	1109	3913512	1988873
1	1109	7268	7268
2	1109	13420	13420
3	1109	11281	11281
4	1109	9782	9782
5	1109	12592	12592
6	1109	10711	10711
7	1109	6228	6228
8	1109	6603	6603
9	1109	8709	8709
10	1109	11853	11853
11	1109	10369	10369
12	1109	8238	8238
13	1109	9121	9121
14	1109	9704	9704
15	1109	9161	9161
16	1109	10648	10648
17	1109	10220	10220
18	1109	12484	12484
0	1110	3911631	1997622
1	1110	7265	7265
2	1110	13841	13841
3	1110	11161	11161
4	1110	9738	9738
5	1110	12698	12698
6	1110	10973	10973
7	1110	6299	6299
8	1110	6757	6757
9	1110	8832	8832
10	1110	11848	11848
11	1110	10657	10657
12	1110	8330	8330
13	1110	9037	9037
14	1110	9943	9943
15	1110	9193	9193
16	1110	10757	10757
17	1110	10159	10159
18	1110	12785	12785
0	1111	3912041	2002565
1	1111	7478	7478
2	1111	13620	13620
3	1111	11409	11409
4	1111	9875	9875
5	1111	12777	12777
6	1111	11099	11099
7	1111	6219	6219
8	1111	6550	6550
9	1111	8729	8729
10	1111	11724	11724
11	1111	10533	10533
12	1111	8175	8175
13	1111	9047	9047
14	1111	9855	9855
15	1111	9170	9170
16	1111	10880	10880
17	1111	10128	10128
18	1111	12595	12595
0	1112	3910334	2009709
1	1112	7483	7483
2	1112	13720	13720
3	1112	11375	11375
4	1112	9980	9980
5	1112	12843	12843
6	1112	11036	11036
7	1112	6317	6317
8	1112	6686	6686
9	1112	8913	8913
10	1112	11963	11963
11	1112	10688	10688
12	1112	8471	8471
13	1112	9096	9096
14	1112	9908	9908
15	1112	9044	9044
16	1112	11068	11068
17	1112	10359	10359
18	1112	12620	12620
0	1113	3911413	2010095
1	1113	7311	7311
2	1113	13520	13520
3	1113	11263	11263
4	1113	9873	9873
5	1113	12780	12780
6	1113	11140	11140
7	1113	6298	6298
8	1113	6623	6623
9	1113	8973	8973
10	1113	12126	12126
11	1113	10488	10488
12	1113	8434	8434
13	1113	8903	8903
14	1113	9876	9876
15	1113	9133	9133
16	1113	10797	10797
17	1113	10202	10202
18	1113	12751	12751
0	1114	3912195	2002506
1	1114	7307	7307
2	1114	13493	13493
3	1114	11178	11178
4	1114	9769	9769
5	1114	12715	12715
6	1114	10919	10919
7	1114	6244	6244
8	1114	6716	6716
9	1114	8835	8835
10	1114	11751	11751
11	1114	10516	10516
12	1114	8357	8357
13	1114	9105	9105
14	1114	9877	9877
15	1114	9270	9270
16	1114	10793	10793
17	1114	10266	10266
18	1114	12598	12598
0	1115	3911229	2002610
1	1115	7443	7443
2	1115	13383	13383
3	1115	11389	11389
4	1115	9811	9811
5	1115	12816	12816
6	1115	10857	10857
7	1115	6130	6130
8	1115	6856	6856
9	1115	8771	8771
10	1115	11962	11962
11	1115	10635	10635
12	1115	8375	8375
13	1115	9054	9054
14	1115	9704	9704
15	1115	9373	9373
16	1115	10961	10961
17	1115	10466	10466
18	1115	12689	12689
0	1116	3911529	1994288
1	1116	7405	7405
2	1116	13498	13498
3	1116	11422	11422
4	1116	9727	9727
5	1116	12940	12940
6	1116	11027	11027
7	1116	6396	6396
8	1116	6630	6630
9	1116	8804	8804
10	1116	11800	11800
11	1116	10561	10561
12	1116	8336	8336
13	1116	8924	8924
14	1116	9831	9831
15	1116	9282	9282
16	1116	10821	10821
17	1116	10322	10322
18	1116	12649	12649
0	1117	3906699	2039857
1	1117	7647	7647
2	1117	14020	14020
3	1117	11578	11578
4	1117	10084	10084
5	1117	13011	13011
6	1117	11310	11310
7	1117	6612	6612
8	1117	6748	6748
9	1117	9008	9008
10	1117	12196	12196
11	1117	10782	10782
12	1117	8527	8527
13	1117	9426	9426
14	1117	10152	10152
15	1117	9487	9487
16	1117	11117	11117
17	1117	10492	10492
18	1117	13008	13008
