SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	3953159	1542414
1	1101	5653	5653
2	1101	9754	9754
3	1101	8649	8649
4	1101	7543	7543
5	1101	9416	9416
6	1101	8222	8222
7	1101	4806	4806
8	1101	5202	5202
9	1101	6948	6948
10	1101	9389	9389
11	1101	8159	8159
12	1101	6462	6462
13	1101	6786	6786
14	1101	7661	7661
15	1101	7198	7198
16	1101	8662	8662
17	1101	7989	7989
18	1101	10246	10246
0	1102	3953280	1549987
1	1102	5520	5520
2	1102	9648	9648
3	1102	8581	8581
4	1102	7464	7464
5	1102	9411	9411
6	1102	8033	8033
7	1102	4710	4710
8	1102	5057	5057
9	1102	6874	6874
10	1102	9418	9418
11	1102	8158	8158
12	1102	6577	6577
13	1102	7101	7101
14	1102	7723	7723
15	1102	7291	7291
16	1102	8572	8572
17	1102	8069	8069
18	1102	10417	10417
0	1103	3949086	1602270
1	1103	5820	5820
2	1103	10016	10016
3	1103	9019	9019
4	1103	7779	7779
5	1103	9796	9796
6	1103	8388	8388
7	1103	4977	4977
8	1103	5259	5259
9	1103	6913	6913
10	1103	9518	9518
11	1103	8362	8362
12	1103	6790	6790
13	1103	7055	7055
14	1103	7958	7958
15	1103	7417	7417
16	1103	9001	9001
17	1103	8283	8283
18	1103	10467	10467
0	1104	3948990	1614602
1	1104	5871	5871
2	1104	10048	10048
3	1104	8653	8653
4	1104	7756	7756
5	1104	9817	9817
6	1104	8436	8436
7	1104	5027	5027
8	1104	5353	5353
9	1104	7132	7132
10	1104	9673	9673
11	1104	8337	8337
12	1104	6610	6610
13	1104	7407	7407
14	1104	7940	7940
15	1104	7541	7541
16	1104	8784	8784
17	1104	8127	8127
18	1104	10402	10402
0	1105	3947049	1615971
1	1105	5912	5912
2	1105	10220	10220
3	1105	8969	8969
4	1105	7865	7865
5	1105	10079	10079
6	1105	8539	8539
7	1105	5071	5071
8	1105	5392	5392
9	1105	7039	7039
10	1105	9658	9658
11	1105	8452	8452
12	1105	6788	6788
13	1105	7323	7323
14	1105	7969	7969
15	1105	7686	7686
16	1105	8991	8991
17	1105	8345	8345
18	1105	10557	10557
0	1106	3949235	1564190
1	1106	5906	5906
2	1106	10135	10135
3	1106	8814	8814
4	1106	7568	7568
5	1106	9757	9757
6	1106	8500	8500
7	1106	4971	4971
8	1106	5457	5457
9	1106	7054	7054
10	1106	9639	9639
11	1106	8390	8390
12	1106	6648	6648
13	1106	7013	7013
14	1106	7856	7856
15	1106	7414	7414
16	1106	8775	8775
17	1106	8156	8156
18	1106	10616	10616
0	1107	3945630	1643684
1	1107	5840	5840
2	1107	10343	10343
3	1107	9049	9049
4	1107	7865	7865
5	1107	9935	9935
6	1107	8714	8714
7	1107	5127	5127
8	1107	5365	5365
9	1107	7512	7512
10	1107	9735	9735
11	1107	8631	8631
12	1107	6945	6945
13	1107	7419	7419
14	1107	8081	8081
15	1107	7665	7665
16	1107	9084	9084
17	1107	8338	8338
18	1107	10626	10626
0	1108	3944275	1654308
1	1108	6045	6045
2	1108	10611	10611
3	1108	9360	9360
4	1108	7910	7910
5	1108	10103	10103
6	1108	8730	8730
7	1108	5224	5224
8	1108	5303	5303
9	1108	6966	6966
10	1108	9988	9988
11	1108	8529	8529
12	1108	7002	7002
13	1108	7419	7419
14	1108	8139	8139
15	1108	7929	7929
16	1108	9049	9049
17	1108	8465	8465
18	1108	10857	10857
0	1109	3944130	1655508
1	1109	6010	6010
2	1109	10432	10432
3	1109	9304	9304
4	1109	8008	8008
5	1109	10137	10137
6	1109	8819	8819
7	1109	5211	5211
8	1109	5440	5440
9	1109	7202	7202
10	1109	9892	9892
11	1109	8576	8576
12	1109	6858	6858
13	1109	7484	7484
14	1109	8426	8426
15	1109	7682	7682
16	1109	8985	8985
17	1109	8468	8468
18	1109	10840	10840
0	1110	3941659	1675391
1	1110	6162	6162
2	1110	10669	10669
3	1110	9299	9299
4	1110	8164	8164
5	1110	10377	10377
6	1110	9059	9059
7	1110	5371	5371
8	1110	5651	5651
9	1110	7231	7231
10	1110	10131	10131
11	1110	8688	8688
12	1110	6920	6920
13	1110	7642	7642
14	1110	8363	8363
15	1110	7839	7839
16	1110	9201	9201
17	1110	8625	8625
18	1110	10853	10853
0	1111	3939745	1699052
1	1111	6372	6372
2	1111	10690	10690
3	1111	9474	9474
4	1111	8309	8309
5	1111	10457	10457
6	1111	9153	9153
7	1111	5425	5425
8	1111	5580	5580
9	1111	7600	7600
10	1111	10288	10288
11	1111	9036	9036
12	1111	7081	7081
13	1111	7745	7745
14	1111	8442	8442
15	1111	7756	7756
16	1111	9128	9128
17	1111	8672	8672
18	1111	10951	10951
0	1112	3940217	1694482
1	1112	6232	6232
2	1112	10900	10900
3	1112	9439	9439
4	1112	8300	8300
5	1112	10431	10431
6	1112	9092	9092
7	1112	5363	5363
8	1112	5490	5490
9	1112	7478	7478
10	1112	10125	10125
11	1112	8865	8865
12	1112	6976	6976
13	1112	7714	7714
14	1112	8310	8310
15	1112	7828	7828
16	1112	9221	9221
17	1112	8790	8790
18	1112	11133	11133
0	1113	3937642	1709023
1	1113	6429	6429
2	1113	11100	11100
3	1113	9597	9597
4	1113	8305	8305
5	1113	10748	10748
6	1113	9447	9447
7	1113	5369	5369
8	1113	5770	5770
9	1113	7583	7583
10	1113	10132	10132
11	1113	8844	8844
12	1113	7184	7184
13	1113	7674	7674
14	1113	8282	8282
15	1113	8217	8217
16	1113	9475	9475
17	1113	8851	8851
18	1113	11255	11255
0	1114	3935600	1751297
1	1114	6518	6518
2	1114	11268	11268
3	1114	9978	9978
4	1114	8424	8424
5	1114	10950	10950
6	1114	9417	9417
7	1114	5462	5462
8	1114	5725	5725
9	1114	7736	7736
10	1114	10398	10398
11	1114	9064	9064
12	1114	7345	7345
13	1114	7909	7909
14	1114	8516	8516
15	1114	8209	8209
16	1114	9459	9459
17	1114	8904	8904
18	1114	11022	11022
0	1115	3934055	1755745
1	1115	6456	6456
2	1115	11493	11493
3	1115	9735	9735
4	1115	8335	8335
5	1115	10975	10975
6	1115	9574	9574
7	1115	5660	5660
8	1115	5789	5789
9	1115	7666	7666
10	1115	10628	10628
11	1115	9291	9291
12	1115	7304	7304
13	1115	7909	7909
14	1115	8793	8793
15	1115	8156	8156
16	1115	9704	9704
17	1115	8986	8986
18	1115	11395	11395
0	1116	3931836	1774802
1	1116	6679	6679
2	1116	11714	11714
3	1116	9904	9904
4	1116	8714	8714
5	1116	11346	11346
6	1116	9654	9654
7	1116	5678	5678
8	1116	5832	5832
9	1116	7721	7721
10	1116	10480	10480
11	1116	9328	9328
12	1116	7444	7444
13	1116	8041	8041
14	1116	8730	8730
15	1116	8380	8380
16	1116	9793	9793
17	1116	9062	9062
18	1116	11568	11568
0	1117	3931775	1778225
1	1117	6650	6650
2	1117	11783	11783
3	1117	9838	9838
4	1117	8670	8670
5	1117	11121	11121
6	1117	9813	9813
7	1117	5517	5517
8	1117	5979	5979
9	1117	7759	7759
10	1117	10490	10490
11	1117	9498	9498
12	1117	7474	7474
13	1117	8218	8218
14	1117	8857	8857
15	1117	8236	8236
16	1117	9505	9505
17	1117	9205	9205
18	1117	11516	11516
0	1118	3932867	1770302
1	1118	6573	6573
2	1118	11569	11569
3	1118	9922	9922
4	1118	8673	8673
5	1118	11153	11153
6	1118	9596	9596
7	1118	5625	5625
8	1118	5883	5883
9	1118	7645	7645
10	1118	10492	10492
11	1118	9289	9289
12	1118	7470	7470
13	1118	7992	7992
14	1118	8795	8795
15	1118	8200	8200
16	1118	9760	9760
17	1118	9062	9062
18	1118	11338	11338
0	1119	3933198	1780545
1	1119	6489	6489
2	1119	11374	11374
3	1119	9793	9793
4	1119	8528	8528
5	1119	11012	11012
6	1119	9478	9478
7	1119	5609	5609
8	1119	5894	5894
9	1119	7737	7737
10	1119	10606	10606
11	1119	9321	9321
12	1119	7333	7333
13	1119	7869	7869
14	1119	8842	8842
15	1119	8283	8283
16	1119	9961	9961
17	1119	9168	9168
18	1119	11409	11409
0	1120	3931822	1789501
1	1120	6487	6487
2	1120	11798	11798
3	1120	10004	10004
4	1120	8776	8776
5	1120	10973	10973
6	1120	9677	9677
7	1120	5734	5734
8	1120	5906	5906
9	1120	7730	7730
10	1120	10740	10740
11	1120	9409	9409
12	1120	7486	7486
13	1120	8130	8130
14	1120	8656	8656
15	1120	8311	8311
16	1120	9828	9828
17	1120	9037	9037
18	1120	11400	11400
0	1121	3929292	1798905
1	1121	6708	6708
2	1121	11781	11781
3	1121	9988	9988
4	1121	8763	8763
5	1121	11399	11399
6	1121	9781	9781
7	1121	5780	5780
8	1121	6124	6124
9	1121	8042	8042
10	1121	10714	10714
11	1121	9394	9394
12	1121	7538	7538
13	1121	8113	8113
14	1121	9092	9092
15	1121	8286	8286
16	1121	9948	9948
17	1121	9399	9399
18	1121	11762	11762
0	1122	3928274	1819352
1	1122	6669	6669
2	1122	12172	12172
3	1122	10307	10307
4	1122	8950	8950
5	1122	11546	11546
6	1122	10120	10120
