Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
50,923274,344762,24298,0,14474360250,1784245963,1070178492,414777031,5501922810
51,943456,351882,24699,0,14808931724,1825508678,1094928080,423780607,5620543747
52,963596,358633,25076,0,15154995450,1868063992,1120453199,432932514,5743272787
53,983840,365621,25564,0,15498114882,1910265857,1145766270,441352420,5855565662
54,1004004,372342,25928,0,15849677984,1953437489,1171661191,450637817,5979151974
55,1024278,379207,26342,0,16201971707,1996614795,1197559431,459401961,6095731591
56,1044320,386465,26760,0,16547746881,2039283023,1223152249,469070203,6223835749
57,1064407,393856,27149,0,16893010869,2081907428,1248718849,478344399,6346726788
58,1084877,400861,27575,0,17248843175,2125452278,1274837629,487616311,6468505960
59,1104948,407349,27963,0,17584169202,2166902527,1299699791,496856000,6590518129
60,1125128,414621,28456,0,17937032708,2210406856,1325794324,505577888,6705079803
61,1145481,421142,28821,0,18307189528,2255783047,1353011884,515144115,6830508496
62,1165678,427999,29249,0,18652644773,2298381559,1378562926,523980736,6946366308
63,1185891,435211,29662,0,18999097729,2341195910,1404243480,533652582,7073141869
64,1206123,441908,30050,0,19340875971,2383476735,1429603882,542229686,7185504763
65,1226102,448871,30487,0,19689036643,2426398565,1455348996,551686830,7309544292
66,1246100,455199,30846,0,20032487941,2468780217,1480770010,560601711,7426927483
67,1266633,462507,31293,0,20379088049,2511411598,1506340566,569381824,7541681448
68,1286875,469358,31671,0,20723527019,2553877376,1531811943,579106704,7669661551
69,1307223,476581,32112,0,21072768905,2596938503,1557640589,588198885,7788338141
70,1327462,483340,32482,0,21424885183,2640306773,1583653463,597795836,7914936166
71,1347801,490141,32894,0,21770509961,2682949267,1609230831,606796830,8033376557
72,1367666,496890,33313,0,22115029166,2725517528,1634763916,615518749,8149322135
73,1387776,503550,33692,0,22475149995,2769817519,1661335843,625254572,8277014354
74,1407779,510817,34182,0,22824142694,2812928052,1687194199,634071966,8393192105
75,1427924,517691,34530,0,23171277461,2855782934,1712899149,644205396,8526417584
76,1448148,524908,34959,0,23525543663,2899420944,1739073843,653385963,8646780135
77,1468000,531407,35326,0,23868350871,2941779817,1764481207,662999953,8772586405
78,1488218,538192,35679,0,24226512112,2985785944,1790876783,672079731,8891708061
79,1508485,544944,36007,0,24582354027,3029465264,1817076284,681090702,9009606602
80,1528512,551344,36333,0,24927648756,3072060229,1842625258,690437000,9133182411
81,1548323,558646,36794,0,25276992769,3115091603,1868436143,699697723,9254822818
82,1568082,564953,37114,0,25627023386,3158065430,1894212549,708919974,9376708005
83,1587719,571769,37532,0,25970824725,3200392291,1919600811,717722682,9492491694
84,1607548,578393,37891,0,26349182897,3246622227,1947330835,727406827,9620251163
85,1627389,585094,38253,0,26726877175,3292679012,1974956991,736288172,9736157209
86,1647137,591928,38688,0,27081633718,3336494759,2001238595,745644554,9859373706
87,1667019,598453,39051,0,27431456027,3379560964,2027070479,754734855,9979062757
88,1686611,605466,39470,0,27787292691,3423370879,2053348588,763807232,10097832004
89,1706308,611969,39816,0,28146451703,3467372078,2079741406,773482268,10225675236
90,1725866,618781,40285,0,28503674164,3511287253,2106082676,782117062,10339149985
91,1745790,625188,40619,0,28948038707,3565303318,2138484402,791583814,10464038407
92,1765260,632054,40990,0,29293955342,3607954313,2164067197,800786924,10585382275
93,1784518,638815,41400,0,29651138641,3651873088,2190410758,810173804,10708517272
94,1804052,645521,41786,0,29994507035,3694190709,2215793481,819089696,10826275981
95,1822037,652058,42158,0,30323502042,3734736652,2240113893,828432142,10949469647
96,1822675,658562,42494,0,30588845060,3764510039,2257977669,837773688,11072550669
97,1822687,665749,42948,0,30659105429,3772429713,2262729469,846995231,11194717486
98,1823042,672235,43267,0,30675727992,3774703160,2264093394,856681736,11322615859
99,1829690,675039,43570,0,30754433221,3784371922,2269891948,862896692,11574852183
100,1839142,677996,44081,0,30872047398,3798757821,2278519710,866807125,11746950849
101,1848786,686434,44725,0,30996638676,3814090359,2287715345,875484282,11863833850
102,1872039,692326,45180,0,31395811579,3863443482,2317317953,883380753,11970476859
103,1894675,700119,45929,0,31802992035,3913693361,2347458835,892153017,12094549179
104,1917249,707381,46494,0,32207831213,3963698395,2377452819,900026768,12201079697
105,1939736,714117,46924,0,32607784441,4013042413,2407050234,909276775,12323137972
106,1961810,720913,47350,0,33005049886,4062147593,2436504476,918872305,12450828132
107,1983636,727381,47721,0,33399305374,4110730651,2465645647,928162716,12574943959
108,2005546,734116,48165,0,33794803682,4159573727,2494942726,937469307,12697993892
109,2026921,740444,48527,0,34183687302,4207548996,2523719365,946974987,12824332442
110,2048434,746954,48959,0,34579764186,4256404237,2553023922,956051975,12945496973
111,2069912,753663,49350,0,34971852682,4304778019,2582039596,965311883,13067432867
112,2091409,760169,49722,0,35360031022,4352710528,2610790522,974359568,13187604620
113,2112593,766782,50090,0,35748013843,4400546711,2639483729,983644332,13309490028
114,2133987,773375,50450,0,36147752883,4449766882,2669007305,993041659,13434055082
115,2155432,779901,50816,0,36535563684,4497561848,2697675690,1002234394,13555692351
116,2176868,786275,51148,0,36928242128,4545962177,2726707295,1011878472,13681953295
117,2198028,792975,51552,0,37314557611,4593536676,2755243521,1020744090,13799919822
118,2219568,799211,51892,0,37703439245,4641480060,2784000848,1030086278,13923293207
119,2240929,805644,52267,0,38087822193,4688798278,2812383248,1039106396,14042471794
120,2262163,812344,52656,0,38482208302,4737322921,2841489536,1048603242,14167884768
121,2283531,818900,53029,0,38870843790,4785234065,2870227699,1058135886,14293662888
122,2305670,825353,53354,0,39267738798,4833969569,2899460183,1067108836,14412621731
123,2326724,831679,53691,0,39645701425,4880592771,2927425734,1076618073,14537278682
124,2348037,838278,54062,0,40035393327,4928681887,2956270656,1085127480,14649300272
125,2369012,844973,54390,0,40422632972,4976471566,2984936035,1095040799,14781450362
126,2389607,851559,54736,0,40801348075,5023117232,3012915194,1104073103,14899605023
127,2410247,858020,55064,0,41182171619,5070029763,3041054500,1113335277,15021589837
128,2431043,864700,55397,0,41564985918,5117204503,3069351010,1122572321,15143273715
129,2451725,870797,55727,0,41944809211,5164027435,3097436529,1131144320,15256529176
130,2472452,877609,56042,0,42326053216,5210912803,3125559460,1140795711,15384695198
131,2492942,883986,56367,0,42707985502,5257965614,3153782964,1149808027,15504760675
132,2513348,890166,56665,0,43087179549,5304726634,3181831417,1159194992,15629456882
133,2533797,896621,56999,0,43472455079,5352128434,3210264312,1168434300,15752353301
134,2554410,903177,57314,0,43854966286,5399206067,3238502637,1177405275,15871238386
135,2575014,909597,57657,0,44247128261,5447458138,3267445669,1186834137,15996061729
136,2595716,916121,57977,0,44635621304,5495052279,3295993898,1196660495,16124993541
137,2616217,922606,58323,0,45015465188,5541892253,3324089632,1205851432,16247614378
138,2636883,929240,58629,0,45397439267,5588870684,3352268441,1215315479,16373047055
139,2656999,935486,58941,0,45779630083,5635973025,3380521821,1225098699,16503283309
140,2677594,942085,59299,0,46163274636,5683181982,3408838980,1233678517,16616992303
141,2698031,948251,59600,0,46537867522,5729359374,3436537294,1243182215,16742171566
142,2718367,954856,59935,0,46914731888,5775716211,3464343171,1252654991,16866870214
143,2738762,961611,60277,0,47288948303,5821819317,3491996907,1262387573,16995264014
144,2759157,968226,60643,0,47670027323,5868703437,3520119230,1271812764,17120534125
145,2779309,974947,60973,0,48042961517,5914633261,3547669123,1281249339,17246241845
146,2799383,980998,61227,0,48417081862,5960726345,3575316917,1290404254,17367777622
147,2819598,987959,61613,0,48806148697,6008394171,3603909549,1299793386,17492004355
148,2839687,994073,61896,0,49177536342,6054063224,3631302954,1309206272,17617523577
149,2859770,1000619,62270,0,49568743444,6102007275,3660061305,1318256728,17738082439
150,2879986,1006956,62577,0,49944755308,6148246864,3687796949,1328025389,17867537625
151,2899700,1013276,62935,0,50326491768,6195125025,3715916003,1337131186,17988024891
152,2919583,1019617,63267,0,50710117684,6242220194,3744165154,1346065114,18106753509
153,2939801,1025870,63569,0,51092142772,6289187838,3772337676,1355526915,18233130949
154,2959763,1032304,63909,0,51463621334,6334882610,3799746588,1364124572,18346991212
155,2979481,1038713,64218,0,51831448658,6380166301,3826908938,1374323699,18482248859
156,2999574,1045241,64563,0,52214406012,6427218282,3855132093,1383270178,18600310695
157,3019583,1051405,64872,0,52585013335,6472809792,3882479002,1392691258,18725291225
158,3039553,1057670,65218,0,52952507676,6518024638,3909599910,1401738683,18845127512
159,3059226,1064022,65548,0,53326015791,6564021612,3937190194,1411008281,18969108766
160,3079129,1070476,65925,0,53707994880,6610820626,3965261680,1420334606,19092838068
161,3098895,1076680,66316,0,54076548904,6656178297,3992468422,1429250002,19211892590
162,3118246,1082694,66634,0,54438526337,6700719682,4019185479,1438509473,19335104898
163,3137865,1089360,67083,0,54800508687,6745299012,4045925194,1447503017,19454139545
164,3157353,1095556,67410,0,55167288374,6790414122,4072986443,1457720951,19590212594
165,3176726,1101750,67800,0,55537550472,6835980838,4100318706,1466496329,19706479690
166,3196276,1108276,68217,0,55900161913,6880546132,4127050096,1475996419,19833312943
167,3215581,1114780,68540,0,56272078208,6926443420,4154580729,1485684952,19961752363
168,3235157,1121206,68910,0,56673553029,6975494765,4184003703,1494478317,20078358513
169,3254594,1127546,69207,0,57041059082,7020701966,4211120236,1504499296,20211140881
170,3273978,1134016,69614,0,57416647391,7066771549,4238754222,1513083306,20325916640
171,3293501,1140103,69911,0,57852183320,7119695401,4270500740,1522806401,20455647260
172,3312660,1146464,70239,0,58209967539,7163696102,4296893442,1532153732,20579836912
173,3332223,1152846,70607,0,58573215940,7208388981,4323701313,1541499015,20703959093
174,3351436,1159194,70974,0,58935134513,7252923512,4350414308,1550162043,20819600776
175,3370682,1165502,71339,0,59298041221,7297552382,4377183931,1558814718,20934589939
176,3389967,1171368,71613,0,59660388325,7342159251,4403940381,1568053201,21057788950
177,3408889,1177643,72023,0,60030002350,7387385367,4431068478,1575924574,21162766933
178,3427534,1184198,72363,0,60387187238,7431218701,4457361032,1586217220,21300239700
179,3446723,1190421,72695,0,60748937747,7475721875,4484055316,1595451164,21423137846
180,3465472,1196579,73074,0,61116044132,7520713809,4511042962,1604465780,21543011098
181,3484208,1202820,73416,0,61485080473,7565911396,4538154025,1613628727,21665310574
182,3503231,1209308,73809,0,61854290585,7611288657,4565372755,1622992080,21789502316
183,3521840,1215382,74116,0,62222478265,7656553714,4592524333,1632809173,21919317447
184,3540732,1221823,74509,0,62578442721,7700329787,4618782434,1641291222,22032198148
185,3559399,1227782,74843,0,62933167642,7743901674,4644918100,1650705238,22158038423
186,3578247,1234286,75163,0,63289706912,7787780180,4671237659,1660046267,22283347842
187,3597059,1240631,75517,0,63667912628,7834199502,4699081781,1669097415,22403443953
188,3615793,1246499,75867,0,64036816279,7879368952,4726175970,1677685794,22517652524
189,3634238,1252900,76210,0,64395329739,7923503764,4752649447,1687066320,22642487759
190,3652802,1258773,76524,0,64756099921,7967771247,4779202502,1696415396,22766314943
191,3666891,1265369,76966,0,65054049409,8004290916,4801108651,1705305953,22885093509
192,3667067,1271284,77293,0,65269766088,8028862670,4815851639,1715039737,23013793115
193,3667078,1277726,77696,0,65270007631,8028889048,4815867461,1724084869,23133763897
194,3667484,1280089,77803,0,65289630407,8031585414,4817485116,1727946413,23185029428
195,3675448,1287122,78266,0,65393945998,8044350832,4825141201,1738287389,23323703605
196,3683551,1293388,78988,0,65497485832,8057071874,4832770562,1748491629,23472628230
197,3696943,1300339,79828,0,65696148704,8081562023,4847459332,1756765074,23613468954
198,3718078,1307838,80618,0,66102671335,8131897370,4877652095,1765304224,23731228310
199,3738508,1315081,81220,0,66504733420,8181624419,4907480155,1773927185,23850576246
200,3759158,1322052,81805,0,66906935903,8231341289,4937301905,1783410308,23976364190
201,3779711,1328139,82269,0,67304188196,8280520926,4966801497,1792946391,24103508578
202,3800008,1334214,82748,0,67699531451,8329384893,4996111767,1802427074,24231433828
203,3820139,1340308,83182,0,68089743340,8377581134,5025021475,1811943741,24357288626
204,3840267,1346721,83616,0,68480388221,8425862940,5053982497,1821719413,24487820357
205,3860576,1352720,84036,0,68878205402,8475042012,5083481770,1831026477,24611187664
206,3880796,1358444,84451,0,69259367875,8522216193,5111778169,1840761701,24741098930
207,3901072,1364620,84892,0,69650737649,8570567947,5140781142,1849940256,24863245418
208,3920924,1370825,85381,0,70039612321,8618612486,5169599859,1859477645,24990929138
209,3940848,1376865,85845,0,70424035726,8666139971,5198108338,1868807355,25115008017
210,3960723,1382931,86265,0,70807127540,8713460011,5226492474,1877994223,25237470684
211,3980501,1388819,86655,0,71188751092,8760583320,5254758524,1887711737,25366027858
212,4000198,1395237,87104,0,71576000242,8808406150,5283444402,1896961208,25489847446
213,4020106,1401194,87539,0,71969448209,8856923668,5312546943,1906479322,25616875510
214,4039968,1407453,87993,0,72355715813,8904574373,5341129419,1915990524,25742215837
215,4059910,1413552,88405,0,72740390308,8952093813,5369633149,1925140678,25863672720
216,4079725,1419690,88834,0,73126738011,8999794481,5398245589,1934521929,25988986752
217,4099638,1425760,89280,0,73509447114,9047097568,5426619496,1943435427,26108875273
218,4119484,1432131,89755,0,73894936145,9094690128,5455167093,1952467372,26229179594
219,4139550,1438318,90169,0,74279911340,9142145982,5483632521,1961633750,26350193500
220,4159214,1444306,90505,0,74678128957,9191168365,5513038028,1971211153,26476782552
221,4178965,1450419,90922,0,75064076030,9238744324,5541575727,1980380989,26598637216
222,4198764,1456838,91355,0,75441205287,9285272921,5569485002,1990158230,26728154573
223,4218398,1462714,91731,0,75832767430,9333332169,5598312724,1999099807,26847387613
224,4237899,1469161,92139,0,76216744281,9380663545,5626703752,2008480374,26972417157
225,4257462,1475041,92532,0,76604366598,9428371269,5655320612,2017298673,27089877824
226,4277167,1481666,92938,0,76981961703,9474829490,5683187665,2027270624,27223147053
227,4296724,1487860,93315,0,77364496814,9521987340,5711474582,2037213103,27355837211
228,4316081,1494119,93749,0,77748595473,9569406104,5739918111,2046681035,27481251489
229,4335568,1500730,94242,0,78126815972,9615985140,5767857779,2055973953,27605285307
230,4355092,1506788,94648,0,78523281891,9664658440,5797053852,2065377946,27730482765
231,4374358,1512978,95035,0,78898844408,9710922638,5824804736,2074541850,27852296622
232,4393639,1519253,95484,0,79282516883,9758131953,5853122649,2083878362,27976810279
233,4412693,1525419,95898,0,79653569416,9803949930,5880605815,2093332884,28102879672
234,4431734,1531285,96313,0,80037040166,9851149032,5908917632,2102800760,28229227959
235,4450526,1537432,96789,0,80408158611,9896936914,5936382821,2111793773,28349706031
236,4469401,1543467,97237,0,80784495179,9943150460,5964103367,2121066830,28472780424
237,4488486,1549620,97752,0,81169578718,9990394727,5992442319,2130699442,28600488076
238,4507233,1555730,98224,0,81546965670,10036712122,6020225248,2140025277,28724684396
239,4525967,1561682,98700,0,81926280301,10083392093,6048225726,2149309673,28848176213
240,4545067,1567714,99123,0,82295145869,10128892692,6075518419,2158460812,28970272403
241,4563981,1573506,99542,0,82667125315,10174722856,6103008995,2167770706,29095114119
242,4582905,1579571,100023,0,83039603990,10220510430,6130473924,2177152020,29220377823
243,4601919,1585432,100461,0,83416507033,10266914496,6158308765,2186146358,29340335691
244,4620544,1591321,100915,0,83786754856,10312526109,6185668198,2195205399,29460561959
245,4639409,1597243,101377,0,84148175294,10357089723,6212398800,2204237060,29581438520
246,4658234,1603489,101862,0,84519605813,10402760006,6239793401,2214270640,29714331496
247,4676600,1609327,102337,0,84878387584,10446949254,6266299660,2223246607,29832792039
248,4695036,1615247,102770,0,85239162718,10491388007,6292955533,2233135280,29964035639
249,4713448,1621212,103253,0,85598532313,10535663359,6319513343,2242122159,30084150951
250,4732018,1627094,103676,0,85964606879,10580719503,6346539640,2251465323,30208347067
251,4750557,1633104,104180,0,86335504445,10626180402,6373808745,2260977591,30335601065
252,4769003,1638900,104650,0,86695567027,10670539443,6400416826,2270051212,30456927301
253,4787799,1644877,105169,0,87057533622,10715133586,6427165808,2279307424,30580003723
254,4806073,1651384,105663,0,87422204234,10759953976,6454050749,2288613418,30703787931
255,4824574,1657579,106132,0,87786088802,10804688581,6480883977,2297624092,30823911105
256,4842843,1663790,106609,0,88171207748,10851835238,6509164670,2306763977,30945863243
257,4861202,1669786,106994,0,88534814185,10896519477,6535967886,2316408888,31074189299
258,4879168,1675923,107451,0,88896114035,10941012958,6562656730,2325955820,31201561624
259,4897211,1682258,107944,0,89256597767,10985385776,6589273188,2335688004,31331452349
260,4915396,1688195,108370,0,89645977740,11033134495,6617915108,2344685311,31451556020
261,4933523,1694279,108807,0,90021448476,11079456637,6645701168,2354169911,31578159883
262,4951842,1700181,109262,0,90378458673,11123422857,6672073543,2363287189,31699591903
263,4969895,1706233,109735,0,90755073508,11169429546,6699670348,2372591830,31823244065
264,4988042,1712160,110097,0,91108130283,11212933733,6725765566,2382182670,31950370703
265,5006079,1718137,110505,0,91464988566,11256910244,6752144248,2391216300,32071407486
266,5023959,1724220,110912,0,91822149208,11300788537,6778464166,2400321884,32192548525
267,5041427,1730309,111336,0,92182827650,11344965853,6804963573,2409718683,32317742718
268,5059424,1736349,111698,0,92533195907,11388140891,6830861433,2418743559,32437055954
269,5077111,1742570,112130,0,92885409951,11431445896,6856837385,2428385284,32564603903
270,5094752,1748464,112562,0,93232573933,11474176074,6882468387,2437628279,32688003683
271,5112315,1754286,112962,0,93584989240,11517470559,6908438068,2447487316,32819340483
272,5129991,1760280,113389,0,93958125561,11563021720,6935761769,2456546409,32940315864
273,5147767,1766355,113832,0,94316111149,11607052608,6962173200,2466140023,33067298428
274,5165558,1772387,114290,0,94669454395,11650568792,6988275788,2475705841,33194785506
275,5183431,1778256,114678,0,95024315284,11694208884,7014452659,2484752872,33314829893
276,5201169,1784258,115027,0,95377586640,11737560607,7040456669,2494012746,33438433012
277,5218486,1790190,115429,0,95729930312,11780849372,7066423020,2503191549,33560198910
278,5235853,1796022,115774,0,96075060149,11823309986,7091892467,2512849586,33687742195
279,5253602,1802081,116167,0,96428030868,11866723139,7117933231,2521891462,33807746488
280,5270858,1808217,116526,0,96769526085,11908731998,7143131632,2531522001,33935407888
281,5288428,1814138,116948,0,97122124636,11952003604,7169087577,2540679050,34056129078
282,5306000,1820011,117384,0,97466790171,11994349686,7194488202,2550025916,34180672247
283,5323213,1825933,117834,0,97814972029,12037144569,7220158230,2559078741,34300583787
284,5340801,1832293,118230,0,98177379097,12081564379,7246803050,2568958763,34431822406
285,5358003,1838421,118607,0,98544847106,12126637614,7273840147,2578476929,34559314295
286,5375291,1844555,118990,0,98929390685,12173907180,7302195057,2587633722,34682173583
287,5384089,1850434,119348,0,99138389662,12199513005,7317555026,2597576789,34815008099
288,5384157,1856328,119703,0,99436375773,12235140022,7338931205,2607039041,34941324803
289,5384167,1862676,120113,0,99436582773,12235164114,7338945655,2616801211,35071556701
290,5385438,1867663,120511,0,99463065790,12238685300,7341057865,2625597253,35229114324
291,5393106,1868147,120649,0,99561496479,12250737731,7348286252,2627660396,35491834976
292,5399474,1874718,121321,0,99649653546,12261580756,7354789538,2636679124,35617698277
293,5414714,1882714,121865,0,99894799574,12291876599,7372960949,2645609469,35735326499
294,5433055,1890377,122566,0,100251229972,12335951937,7399398773,2654457847,35853313174
295,5451003,1896996,123081,0,100611945022,12380589025,7426173908,2662820268,35977749546
296,5468777,1903114,123589,0,100967547277,12424553229,7452545289,2672011643,36099630020
