Channel State,Experiment Time (minutes),State Time (samples)
adapter,318,18980562
adapter,319,18754705
adapter,320,18838610
adapter,321,18696343
adapter,322,18246437
adapter,323,18529817
adapter,324,18730448
adapter,325,18271215
adapter,326,18533796
adapter,327,18299953
adapter,328,18213535
adapter,329,18482729
adapter,330,18792408
adapter,331,18162088
adapter,332,18440358
adapter,333,18146658
adapter,334,18053814
adapter,335,18340777
adapter,336,18286483
adapter,337,18225567
adapter,338,18427207
adapter,339,17969232
adapter,340,18812513
adapter,341,18540668
adapter,342,18442026
adapter,343,18298497
adapter,344,18151255
adapter,345,18254137
adapter,346,17983936
adapter,347,17735210
adapter,348,17611209
adapter,349,18068713
adapter,350,17713008
adapter,351,17858184
adapter,352,17514994
adapter,353,17530510
adapter,354,17438771
adapter,355,17293830
adapter,356,17752465
adapter,357,17514015
adapter,358,16954471
adapter,359,17347164
adapter,360,17160429
adapter,361,17405781
adapter,362,17004170
adapter,363,17391357
adapter,364,17451835
adapter,365,17506749
adapter,366,17151248
adapter,367,17128007
adapter,368,16858597
adapter,369,17089992
adapter,370,17073526
adapter,371,17025270
adapter,372,16853511
adapter,373,17355804
adapter,374,16737597
adapter,375,16908947
adapter,376,16693014
adapter,377,16761819
adapter,378,16931163
adapter,379,16585393
adapter,380,16547138
adapter,381,16291858
adapter,382,16813791
adapter,383,4283811
adapter,384,3632
adapter,385,1131205
adapter,386,4549174
adapter,387,6818905
adapter,388,5595812
adapter,389,19301916
adapter,390,18181727
adapter,391,18175272
adapter,392,18374039
adapter,393,17606981
adapter,394,17856438
adapter,395,17683380
adapter,396,17444211
adapter,397,17495441
adapter,398,17193875
adapter,399,17256902
adapter,400,17269811
adapter,401,17624927
adapter,402,17525881
adapter,403,17717883
adapter,404,17083557
adapter,405,17307095
adapter,406,17097356
adapter,407,17070394
adapter,408,17598694
adapter,409,16840280
adapter,410,17168484
adapter,411,16656163
adapter,412,16940717
adapter,413,16828314
adapter,414,17063260
adapter,415,16905956
adapter,416,16878245
adapter,417,16909982
adapter,418,17096152
adapter,419,16584860
adapter,420,16793745
adapter,421,16422337
adapter,422,16573030
adapter,423,16457159
adapter,424,16949059
adapter,425,16992106
adapter,426,16683183
adapter,427,16906160
adapter,428,16647267
adapter,429,16345880
adapter,430,16247042
adapter,431,16082843
adapter,432,16098649
adapter,433,16390609
adapter,434,15831072
adapter,435,15869817
adapter,436,16027058
adapter,437,15676337
adapter,438,15733956
adapter,439,15512629
adapter,440,15646538
adapter,441,15638799
adapter,442,15710350
adapter,443,16118506
adapter,444,15688062
adapter,445,15720270
adapter,446,15661183
adapter,447,15735345
adapter,448,15794584
adapter,449,15502026
adapter,450,15291920
adapter,451,15449842
adapter,452,15488538
adapter,453,15379826
adapter,454,15263198
adapter,455,15965822
adapter,456,14920674
adapter,457,15444572
adapter,458,15045052
adapter,459,15393319
adapter,460,15445245
adapter,461,15276275
adapter,462,15180583
adapter,463,15347327
adapter,464,15461703
adapter,465,15590734
adapter,466,15149971
adapter,467,15232614
adapter,468,15049581
adapter,469,15140107
adapter,470,15022968
adapter,471,15490029
adapter,472,15087701
adapter,473,14929822
adapter,474,14824774
adapter,475,14810328
adapter,476,14962673
adapter,477,15295945
adapter,478,14648491
adapter,479,662619
adapter,480,6163
adapter,481,1881587
adapter,482,4978110
adapter,483,6919882
adapter,484,7672247
adapter,485,18062148
adapter,486,17712399
adapter,487,17670284
adapter,488,17633513
adapter,489,17550388
adapter,490,16838997
adapter,491,17052621
adapter,492,17378824
adapter,493,16990664
adapter,494,16582845
adapter,495,16788795
adapter,496,16813584
adapter,497,17070029
adapter,498,16819675
adapter,499,16783740
adapter,500,16810665
adapter,501,16862391
adapter,502,16715713
adapter,503,16845170
adapter,504,16637610
adapter,505,16548545
adapter,506,16676462
adapter,507,16675577
adapter,508,16896284
adapter,509,16608773
adapter,510,16729963
adapter,511,16560279
adapter,512,16412286
adapter,513,16205987
adapter,514,16223566
adapter,515,16280194
adapter,516,16479368
adapter,517,16404447
adapter,518,16578403
adapter,519,16613298
adapter,520,16171314
adapter,521,16403535
adapter,522,16385526
adapter,523,16831044
adapter,524,16453609
adapter,525,16095265
adapter,526,16154196
adapter,527,15932646
adapter,528,16178887
adapter,529,15692760
adapter,530,16193728
adapter,531,16263867
adapter,532,16167183
adapter,533,16196610
adapter,534,15796457
adapter,535,15838297
adapter,536,15930611
adapter,537,16023691
adapter,538,15648839
adapter,539,16193653
adapter,540,15860824
adapter,541,15598552
adapter,542,15443200
adapter,543,15906200
adapter,544,15623893
adapter,545,15290753
adapter,546,15386648
adapter,547,15731206
adapter,548,15550722
adapter,549,15197286
adapter,550,15655287
adapter,551,15258410
adapter,552,15513890
adapter,553,15521278
adapter,554,15514610
adapter,555,15395138
adapter,556,15460166
adapter,557,15538188
adapter,558,15375671
adapter,559,15426708
adapter,560,15483573
adapter,561,15199243
adapter,562,15180075
adapter,563,15433994
adapter,564,15186200
adapter,565,15465127
adapter,566,14993183
adapter,567,15005019
adapter,568,15000232
adapter,569,14748820
adapter,570,15089456
adapter,571,14960396
adapter,572,14917476
adapter,573,14943765
adapter,574,11667026
adapter,575,78391
adapter,576,0
adapter,577,2379379
adapter,578,5454385
adapter,579,5988368
adapter,580,9194541
adapter,581,14981135
adapter,582,15102581
adapter,583,14708474
adapter,584,14648511
adapter,585,14645588
adapter,586,14483248
adapter,587,14379058
adapter,588,14440518
adapter,589,14336524
adapter,590,14125609
adapter,591,14699205
adapter,592,14025963
adapter,593,14357389
adapter,594,14122770
adapter,595,13782755
adapter,596,14581935
adapter,597,14213371
adapter,598,14282179
adapter,599,14330380
adapter,600,14050541
adapter,601,14271820
adapter,602,14169487
adapter,603,14282790
adapter,604,13805849
adapter,605,14101223
adapter,606,13815936
adapter,607,14070270
adapter,608,13794437
adapter,609,13367354
adapter,610,13781415
adapter,611,13558920
adapter,612,13764625
adapter,613,13890315
adapter,614,13641062
adapter,615,13629105
adapter,616,13133180
adapter,617,13066196
adapter,618,13486898
adapter,619,13282249
adapter,620,13689176
adapter,621,13370018
adapter,622,13459998
adapter,623,13243822
adapter,624,13495996
adapter,625,13062780
adapter,626,13303607
adapter,627,13490361
adapter,628,13256010
adapter,629,13064661
adapter,630,13220074
adapter,631,13125278
adapter,632,12921652
adapter,633,13389522
adapter,634,13154228
adapter,635,12698848
adapter,636,13129790
adapter,637,12747392
adapter,638,12720137
adapter,639,13199998
adapter,640,12766481
adapter,641,12832889
adapter,642,12826908
adapter,643,12603865
adapter,644,12585379
adapter,645,12937614
adapter,646,12657068
adapter,647,12646508
adapter,648,12411066
adapter,649,12498885
adapter,650,12607198
adapter,651,12486236
adapter,652,12379581
adapter,653,12818086
adapter,654,12778117
adapter,655,12327309
adapter,656,12372515
adapter,657,12681824
adapter,658,12417695
adapter,659,12233862
adapter,660,12678587
adapter,661,12578921
adapter,662,12224353
adapter,663,12517792
adapter,664,12479506
adapter,665,12274110
adapter,666,12093235
adapter,667,12168831
adapter,668,12412557
adapter,669,12030592
adapter,670,6391478
adapter,671,9886
adapter,672,110233
adapter,673,2999475
adapter,674,5763803
adapter,675,4142389
adapter,676,12631501
adapter,677,14071778
adapter,678,14246042
