Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
its-D05_S187_L001_R1_001	31.838576809138303	55.73355061752828
its-D05_S187_L001_R2_001	16.82664060905543	73.66521741819373
its-D06_S195_L001_R1_001	18.706765100283295	68.88256130539682
its-D06_S195_L001_R2_001	22.49692340223774	68.52781677793203
its-D07_S203_L001_R1_001	39.12940696226405	49.28744529243679
its-D07_S203_L001_R2_001	22.692593874819796	67.95183150845611
its-D08_S211_L001_R1_001	36.14665076842344	45.261125637721534
its-D08_S211_L001_R2_001	23.483489534074213	68.46404024881853
its-D09_S219_L001_R1_001	38.58547844549944	49.47127657036524
its-D09_S219_L001_R2_001	19.595868024906363	69.66549967793496
its-D10_S227_L001_R1_001	49.62699033366494	38.282531724952726
its-D10_S227_L001_R2_001	20.91075204796025	68.16548676034992
its-D11_S235_L001_R1_001	24.69684113816305	58.81114383765234
its-D11_S235_L001_R2_001	12.397870673115898	75.00721485124436
its-D12_S243_L001_R1_001	26.160877469279825	61.203263532431166
its-D12_S243_L001_R2_001	14.197629880230206	74.74590235650956
its-E01_S156_L001_R1_001	41.108051761139336	44.49112859392105
its-E01_S156_L001_R2_001	17.73592224090722	70.06037608739476
its-E02_S164_L001_R1_001	17.69294230801121	65.85762731539062
its-E02_S164_L001_R2_001	11.401174070941744	71.69377974561796
its-E03_S172_L001_R1_001	28.31822347693409	58.31063258296034
its-E03_S172_L001_R2_001	15.573899510780848	72.91028274175981
its-E04_S180_L001_R1_001	23.252991712036707	63.74314829257115
its-E04_S180_L001_R2_001	12.301471430736306	78.8534347552359
its-E05_S188_L001_R1_001	35.6518021357512	51.190015374084496
its-E05_S188_L001_R2_001	20.361258181834085	70.24371094971602
its-E06_S196_L001_R1_001	35.30040810679947	52.509372622259114
its-E06_S196_L001_R2_001	22.10749118074289	67.78861451200112
its-E07_S204_L001_R1_001	39.36014711171897	49.18938775242462
its-E07_S204_L001_R2_001	44.61007632185718	47.52301080488347
its-E08_S212_L001_R1_001	48.33580786134079	38.58324419268215
its-E08_S212_L001_R2_001	20.382740722990384	69.88371777040499
its-E09_S220_L001_R1_001	39.990112532783655	47.246507964438635
its-E09_S220_L001_R2_001	17.30641931240207	70.8006334682386
its-E10_S228_L001_R1_001	58.05639138811098	30.581044310711235
its-E10_S228_L001_R2_001	27.633369083795113	62.74143975054122
its-E11_S236_L001_R1_001	31.694008342352642	54.69178290425751
its-E11_S236_L001_R2_001	18.818207245442718	69.01655093577847
its-E12_S244_L001_R1_001	26.128646406528905	61.137299679182505
its-E12_S244_L001_R2_001	15.627060788018177	73.96326406007424
its-F01_S157_L001_R1_001	42.69968583814522	42.85701749327422
its-F01_S157_L001_R2_001	17.74400196570546	69.68576292689531
its-F02_S165_L001_R1_001	20.340056752317604	63.746599922283934
its-F02_S165_L001_R2_001	12.771557227430504	71.39232570213849
its-F03_S173_L001_R1_001	26.235549651101024	60.9938120722326
its-F03_S173_L001_R2_001	14.254719950992486	76.20109124367504
its-F04_S181_L001_R1_001	21.3593814583384	65.38209049575725
its-F04_S181_L001_R2_001	11.804322983782733	78.70468525857666
its-F05_S189_L001_R1_001	26.098210564240954	60.660388688335814
its-F05_S189_L001_R2_001	14.449993995182018	75.223555841275
its-F06_S197_L001_R1_001	33.33556023069037	54.33163927178027
its-F06_S197_L001_R2_001	20.172774843671807	69.97041060748141
its-F07_S205_L001_R1_001	37.78367029194743	46.69108829436726
its-F07_S205_L001_R2_001	43.776303607102996	49.95732467946613
its-F08_S213_L001_R1_001	48.450389156562714	39.52401122465188
its-F08_S213_L001_R2_001	21.367077884259015	67.78392545136866
its-F09_S221_L001_R1_001	45.10025998719466	42.39416192933781
its-F09_S221_L001_R2_001	18.118221415960107	69.9592314856134
its-F10_S229_L001_R1_001	57.70653707477661	31.110205361341905
its-F10_S229_L001_R2_001	25.389402727700265	64.06834927104563
its-F11_S237_L001_R1_001	36.23774575454009	48.41775784616092
its-F11_S237_L001_R2_001	22.523130964498083	67.62564188904791
its-F12_S245_L001_R1_001	32.34081784076373	54.532106359201585
its-F12_S245_L001_R2_001	16.57080116264362	72.97062225427158
its-G01_S158_L001_R1_001	44.56803708537465	42.862667155729575
its-G01_S158_L001_R2_001	19.462049761202714	69.6927907768044
its-G02_S166_L001_R1_001	16.53076588525837	64.53498279409632
its-G02_S166_L001_R2_001	11.216011028055924	75.37088705144475
its-G03_S174_L001_R1_001	26.511414951975333	60.49282696570237
its-G03_S174_L001_R2_001	15.935290073570313	73.41783887559228
its-G04_S182_L001_R1_001	24.785373608903022	62.75948217124688
its-G04_S182_L001_R2_001	13.817851464910289	75.62798092209857
its-G05_S190_L001_R1_001	28.509584902732605	57.90498380998216
its-G05_S190_L001_R2_001	14.782922834653306	73.55808221934777
its-G06_S198_L001_R1_001	36.72932693906179	51.32131214505222
its-G06_S198_L001_R2_001	21.184692379913457	68.26064308976943
its-G07_S206_L001_R1_001	36.56074071319674	50.64708288402186
its-G07_S206_L001_R2_001	43.34897556985089	48.948499609563825
its-G08_S214_L001_R1_001	44.27612298182981	42.673043107582465
its-G08_S214_L001_R2_001	20.511669419726115	68.71636383012735
its-G09_S222_L001_R1_001	43.77869196894911	45.302387830455736
its-G09_S222_L001_R2_001	17.866246191418984	70.9420252627641
its-G10_S230_L001_R1_001	52.10767978044846	34.24367055204548
its-G10_S230_L001_R2_001	22.297261637287573	67.88097320445738
its-G11_S238_L001_R1_001	32.61562609324831	54.3904851972233
its-G11_S238_L001_R2_001	19.304494243220432	70.04689094455615
its-G12_S246_L001_R1_001	27.7158626653912	59.09965182947599
its-G12_S246_L001_R2_001	16.647833775600322	73.45796355937561
its-H01_S159_L001_R1_001	38.63198130756318	47.63282065242049
its-H01_S159_L001_R2_001	16.326580766147934	70.10854770654689
its-H02_S167_L001_R1_001	13.855760469586894	65.00106798032753
its-H02_S167_L001_R2_001	9.479204124837437	76.47509713213485
its-H03_S175_L001_R1_001	33.76119188832868	53.562175327921
its-H03_S175_L001_R2_001	18.46354322865029	71.16447386217027
its-H04_S183_L001_R1_001	24.366831959093588	62.758262756344465
its-H04_S183_L001_R2_001	14.139056650222681	76.24201113246093
its-H05_S191_L001_R1_001	37.626830284043045	49.16199729302527
its-H05_S191_L001_R2_001	20.367618524793425	68.81406585709823
its-H06_S199_L001_R1_001	35.32959532557665	52.938631183234676
its-H06_S199_L001_R2_001	20.731696944954752	69.72681499625774
its-H07_S207_L001_R1_001	39.805523406141496	48.828153857519276
its-H07_S207_L001_R2_001	40.24461941934054	51.43364155729026
its-H08_S215_L001_R1_001	43.758641156141856	43.78154925878405
its-H08_S215_L001_R2_001	21.02501032600081	68.42638689471413
its-H09_S223_L001_R1_001	35.675261298509504	51.33104763193162
its-H09_S223_L001_R2_001	16.244403765911482	73.36721019011343
its-H10_S231_L001_R1_001	49.60275868579274	36.84758510876069
its-H10_S231_L001_R2_001	21.310125870592202	69.19398120062249
its-H11_S239_L001_R1_001	39.89198902118753	46.32580569432652
its-H11_S239_L001_R2_001	21.27945729035712	68.2500817267715
its-H12_S247_L001_R1_001	29.623343666136066	54.83488685716139
its-H12_S247_L001_R2_001	16.41983249508809	74.81075296133443
