Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
its-A01_S152_L001_R1_001	32.53550517636094	52.267671549261536
its-A01_S152_L001_R2_001	19.156249788961148	66.66126407207061
its-A02_S160_L001_R1_001	19.200026501071775	64.07393246919595
its-A02_S160_L001_R2_001	15.588703366050193	70.72832398664457
its-A03_S168_L001_R1_001	20.849965485158616	62.930560140860564
its-A03_S168_L001_R2_001	14.542920122319265	70.28705676774347
its-A04_S176_L001_R1_001	19.006891767947792	65.64615574284642
its-A04_S176_L001_R2_001	10.48180055735666	80.47978193454513
its-A05_S184_L001_R1_001	34.07484924993269	51.79071267824576
its-A05_S184_L001_R2_001	18.696183368978254	72.72693790672038
its-A06_S192_L001_R1_001	19.88441273033842	66.65085076072577
its-A06_S192_L001_R2_001	18.52289468111083	71.98281698257975
its-A07_S200_L001_R1_001	38.13942469052931	50.52895510973441
its-A07_S200_L001_R2_001	23.670858059642402	67.51027932113358
its-A08_S208_L001_R1_001	39.204803362870315	46.93777011924508
its-A08_S208_L001_R2_001	23.347983504036865	68.82944920951465
its-A09_S216_L001_R1_001	39.33417690239735	48.28765421053155
its-A09_S216_L001_R2_001	21.2106494203658	68.14632088855942
its-A10_S224_L001_R1_001	47.339089878932114	40.975405051854025
its-A10_S224_L001_R2_001	21.000775042271925	67.60446325930563
its-A11_S232_L001_R1_001	26.136991061824194	55.65766295109553
its-A11_S232_L001_R2_001	13.587421852405216	74.47355756315538
its-A12_S240_L001_R1_001	27.556568036624874	54.87600154706619
its-A12_S240_L001_R2_001	15.862503120191136	75.54373616486679
its-B01_S153_L001_R1_001	29.348296401314638	54.60112038886791
its-B01_S153_L001_R2_001	19.045805216206514	66.98167054859468
its-B02_S161_L001_R1_001	17.6420095107663	62.65362599828025
its-B02_S161_L001_R2_001	17.11013980021728	71.61583180458669
its-B03_S169_L001_R1_001	18.87762893263629	64.32303258528091
its-B03_S169_L001_R2_001	12.286493142762454	74.38892444854554
its-B04_S177_L001_R1_001	20.378943022633162	65.12256735379597
its-B04_S177_L001_R2_001	10.627817904603072	79.19451359338785
its-B05_S185_L001_R1_001	24.28638598465776	62.51777093267779
its-B05_S185_L001_R2_001	13.264890560672926	76.4429627106596
its-B06_S193_L001_R1_001	20.360033427586917	67.73539546438016
its-B06_S193_L001_R2_001	20.687211658443328	70.24372374160016
its-B07_S201_L001_R1_001	37.03203135558859	44.614981754291115
its-B07_S201_L001_R2_001	24.253840609091316	68.35312767491102
its-B08_S209_L001_R1_001	38.913082151221026	48.13233971726782
its-B08_S209_L001_R2_001	23.505615896557355	67.31557951324835
its-B09_S217_L001_R1_001	42.60463437196814	44.131675729338234
its-B09_S217_L001_R2_001	20.077465159480457	70.71786888081647
its-B10_S225_L001_R1_001	52.87768869495788	35.85185128678481
its-B10_S225_L001_R2_001	22.126189077649535	66.58796695374897
its-B11_S233_L001_R1_001	29.386134206856738	55.406027265150755
its-B11_S233_L001_R2_001	14.988182628521884	73.2112533368571
its-B12_S241_L001_R1_001	27.922760696715116	59.23860230292502
its-B12_S241_L001_R2_001	14.876994076819653	74.31393441950371
its-C01_S154_L001_R1_001	30.373934573795847	54.17079144022502
its-C01_S154_L001_R2_001	21.48417770534638	64.5981067569964
its-C02_S162_L001_R1_001	18.18539651479711	65.3588591489659
its-C02_S162_L001_R2_001	15.275922172846002	71.79258973020305
its-C03_S170_L001_R1_001	16.179287965711726	63.58782834387273
its-C03_S170_L001_R2_001	11.3064612652771	75.11337103856121
its-C04_S178_L001_R1_001	20.628511118681654	66.63527117025042
its-C04_S178_L001_R2_001	10.583176912508991	80.459754758867
its-C05_S186_L001_R1_001	36.14104777806005	51.50259954271959
its-C05_S186_L001_R2_001	18.561563719703134	71.86570682157506
its-C06_S194_L001_R1_001	18.609039499777026	68.05753228392777
its-C06_S194_L001_R2_001	21.201716432780167	70.1478039338476
its-C07_S202_L001_R1_001	36.62615790618548	51.527663201327584
its-C07_S202_L001_R2_001	21.470053478130605	69.6072114075734
its-C08_S210_L001_R1_001	44.65316237326889	40.862011131115786
its-C08_S210_L001_R2_001	26.25515994988944	64.47866536141899
its-C09_S218_L001_R1_001	43.72699403117654	44.096497784710714
its-C09_S218_L001_R2_001	20.1230595907402	69.39553475675149
its-C10_S226_L001_R1_001	53.41534628602941	34.53591369683601
its-C10_S226_L001_R2_001	23.718598902992643	66.70880560123685
its-C11_S234_L001_R1_001	18.803786904953682	64.9092122523186
its-C11_S234_L001_R2_001	13.547533021447366	76.65972977919219
its-C12_S242_L001_R1_001	31.488402721884835	50.139167337382005
its-C12_S242_L001_R2_001	18.251993853808443	73.88468573937222
its-D01_S155_L001_R1_001	29.057588514360017	50.864510536222156
its-D01_S155_L001_R2_001	20.842808709231146	67.36725072586822
its-D02_S163_L001_R1_001	18.234042615457103	66.4497654423234
its-D02_S163_L001_R2_001	15.440421179548562	71.27407398736344
its-D03_S171_L001_R1_001	15.201801972707566	67.19993691724159
its-D03_S171_L001_R2_001	9.97690393935827	73.72054566586023
its-D04_S179_L001_R1_001	19.08015067664247	67.46947778049108
its-D04_S179_L001_R2_001	9.618238111069594	80.34966317435007
