Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
its-A01_S152_L001_R1_001	(16.0, 1.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 3.0)	(20.0, 21.0)	(21.0, 81.0)	(22.0, 312.0)	(23.0, 995.0)	(24.0, 2312.0)	(25.0, 5012.0)	(26.0, 8716.0)	(27.0, 13568.0)	(28.0, 18904.0)	(29.0, 25352.0)	(30.0, 33233.0)	(31.0, 42705.0)	(32.0, 54812.0)	(33.0, 73146.0)	(34.0, 104213.0)	(35.0, 168391.0)	(36.0, 188079.0)	(37.0, 528.0)														
its-A01_S152_L001_R2_001	(12.0, 17.0)	(13.0, 121.0)	(14.0, 201.0)	(15.0, 195.0)	(16.0, 161.0)	(17.0, 139.0)	(18.0, 197.0)	(19.0, 295.0)	(20.0, 486.0)	(21.0, 763.0)	(22.0, 1397.0)	(23.0, 2527.0)	(24.0, 4340.0)	(25.0, 7375.0)	(26.0, 10859.0)	(27.0, 15097.0)	(28.0, 19842.0)	(29.0, 25323.0)	(30.0, 32826.0)	(31.0, 42743.0)	(32.0, 55157.0)	(33.0, 70146.0)	(34.0, 100710.0)	(35.0, 208141.0)	(36.0, 141106.0)	(37.0, 221.0)										
its-A02_S160_L001_R1_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 3.0)	(19.0, 4.0)	(20.0, 20.0)	(21.0, 105.0)	(22.0, 412.0)	(23.0, 1200.0)	(24.0, 2703.0)	(25.0, 5217.0)	(26.0, 8279.0)	(27.0, 12257.0)	(28.0, 16937.0)	(29.0, 23334.0)	(30.0, 30387.0)	(31.0, 41013.0)	(32.0, 53896.0)	(33.0, 73598.0)	(34.0, 106439.0)	(35.0, 171269.0)	(36.0, 176313.0)	(37.0, 1111.0)
its-A02_S160_L001_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 9.0)	(13.0, 82.0)	(14.0, 147.0)	(15.0, 174.0)	(16.0, 169.0)	(17.0, 160.0)	(18.0, 143.0)	(19.0, 231.0)	(20.0, 457.0)	(21.0, 762.0)	(22.0, 1425.0)	(23.0, 2436.0)	(24.0, 4158.0)	(25.0, 6595.0)	(26.0, 9659.0)	(27.0, 13067.0)	(28.0, 17246.0)	(29.0, 23008.0)	(30.0, 29564.0)	(31.0, 39596.0)	(32.0, 50999.0)	(33.0, 66212.0)	(34.0, 95618.0)	(35.0, 204072.0)	(36.0, 158064.0)	(37.0, 445.0)
its-A03_S168_L001_R1_001	(16.0, 1.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 5.0)	(20.0, 34.0)	(21.0, 139.0)	(22.0, 457.0)	(23.0, 1251.0)	(24.0, 2676.0)	(25.0, 5133.0)	(26.0, 8137.0)	(27.0, 11662.0)	(28.0, 15741.0)	(29.0, 20714.0)	(30.0, 26864.0)	(31.0, 34954.0)	(32.0, 45138.0)	(33.0, 60768.0)	(34.0, 88232.0)	(35.0, 141495.0)	(36.0, 134986.0)	(37.0, 1354.0)														
its-A03_S168_L001_R2_001	(12.0, 11.0)	(13.0, 72.0)	(14.0, 118.0)	(15.0, 134.0)	(16.0, 131.0)	(17.0, 120.0)	(18.0, 173.0)	(19.0, 320.0)	(20.0, 612.0)	(21.0, 984.0)	(22.0, 1746.0)	(23.0, 2936.0)	(24.0, 4681.0)	(25.0, 6756.0)	(26.0, 9165.0)	(27.0, 12271.0)	(28.0, 15505.0)	(29.0, 19672.0)	(30.0, 24749.0)	(31.0, 32393.0)	(32.0, 41422.0)	(33.0, 53570.0)	(34.0, 76829.0)	(35.0, 157353.0)	(36.0, 137453.0)	(37.0, 566.0)										
its-A04_S176_L001_R1_001	(17.0, 1.0)	(18.0, 2.0)	(19.0, 10.0)	(20.0, 55.0)	(21.0, 289.0)	(22.0, 928.0)	(23.0, 2519.0)	(24.0, 5815.0)	(25.0, 10317.0)	(26.0, 15651.0)	(27.0, 21501.0)	(28.0, 27502.0)	(29.0, 34818.0)	(30.0, 43289.0)	(31.0, 56020.0)	(32.0, 70089.0)	(33.0, 86412.0)	(34.0, 107639.0)	(35.0, 162635.0)	(36.0, 92314.0)	(37.0, 321.0)															
its-A04_S176_L001_R2_001	(12.0, 11.0)	(13.0, 84.0)	(14.0, 163.0)	(15.0, 163.0)	(16.0, 155.0)	(17.0, 146.0)	(18.0, 147.0)	(19.0, 155.0)	(20.0, 232.0)	(21.0, 362.0)	(22.0, 649.0)	(23.0, 1413.0)	(24.0, 2811.0)	(25.0, 4866.0)	(26.0, 7420.0)	(27.0, 10907.0)	(28.0, 14577.0)	(29.0, 19531.0)	(30.0, 26423.0)	(31.0, 36631.0)	(32.0, 49490.0)	(33.0, 66308.0)	(34.0, 98522.0)	(35.0, 214131.0)	(36.0, 182643.0)	(37.0, 187.0)										
its-A05_S184_L001_R1_001	(18.0, 1.0)	(19.0, 7.0)	(20.0, 13.0)	(21.0, 126.0)	(22.0, 474.0)	(23.0, 1586.0)	(24.0, 3885.0)	(25.0, 7812.0)	(26.0, 12871.0)	(27.0, 19313.0)	(28.0, 27625.0)	(29.0, 36742.0)	(30.0, 48377.0)	(31.0, 65128.0)	(32.0, 91156.0)	(33.0, 147067.0)	(34.0, 145315.0)	(35.0, 118860.0)	(36.0, 60791.0)	(37.0, 247.0)																
its-A05_S184_L001_R2_001	(12.0, 13.0)	(13.0, 105.0)	(14.0, 186.0)	(15.0, 166.0)	(16.0, 181.0)	(17.0, 154.0)	(18.0, 161.0)	(19.0, 193.0)	(20.0, 224.0)	(21.0, 341.0)	(22.0, 644.0)	(23.0, 1403.0)	(24.0, 2833.0)	(25.0, 5052.0)	(26.0, 8062.0)	(27.0, 11949.0)	(28.0, 16908.0)	(29.0, 23367.0)	(30.0, 31935.0)	(31.0, 44038.0)	(32.0, 58807.0)	(33.0, 77690.0)	(34.0, 119840.0)	(35.0, 241784.0)	(36.0, 141175.0)	(37.0, 185.0)										
