SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	2317294	376870
1	1101	17379	17379
2	1101	21291	21291
3	1101	17816	17816
4	1101	19485	19485
5	1101	17571	17571
6	1101	19121	19121
7	1101	20133	20133
8	1101	22660	22660
9	1101	18641	18641
10	1101	18182	18182
11	1101	18636	18636
12	1101	22380	22380
13	1101	23138	23138
14	1101	31310	31310
15	1101	28038	28038
16	1101	24141	24141
17	1101	22407	22407
18	1101	25639	25639
19	1101	22064	22064
20	1101	24009	24009
21	1101	23253	23253
22	1101	26724	26724
23	1101	27690	27690
24	1101	28357	28357
25	1101	21966	21966
26	1101	24390	24390
27	1101	22083	22083
28	1101	18427	18427
29	1101	17979	17979
30	1101	18503	18503
31	1101	19494	19494
32	1101	18888	18888
33	1101	18419	18419
34	1101	17935	17935
35	1101	22439	22439
36	1101	22002	22002
37	1101	18826	18826
38	1101	24170	24170
39	1101	29201	29201
40	1101	25547	25547
41	1101	24243	24243
42	1101	21708	21708
43	1101	22163	22163
44	1101	22675	22675
45	1101	22091	22091
46	1101	25912	25912
47	1101	21850	21850
48	1101	22243	22243
49	1101	17962	17962
50	1101	20343	20343
51	1101	21867	21867
52	1101	21453	21453
53	1101	21035	21035
54	1101	19080	19080
55	1101	28052	28052
56	1101	24641	24641
57	1101	17430	17430
58	1101	22844	22844
59	1101	13269	13269
60	1101	13044	13044
61	1101	18091	18091
62	1101	16913	16913
63	1101	17915	17915
64	1101	15998	15998
65	1101	13025	13025
66	1101	17142	17142
67	1101	11087	11087
68	1101	13967	13967
69	1101	14071	14071
70	1101	15628	15628
71	1101	15700	15700
72	1101	17525	17525
73	1101	11994	11994
74	1101	13051	13051
75	1101	16115	16115
76	1101	13991	13991
77	1101	17330	17330
78	1101	16495	16495
79	1101	17302	17302
80	1101	14435	14435
81	1101	19756	19756
82	1101	21217	21217
83	1101	14260	14260
84	1101	16178	16178
85	1101	13828	13828
86	1101	15684	15684
87	1101	14636	14636
88	1101	17652	17652
89	1101	13309	13309
90	1101	16076	16076
0	1102	4091904	0
1	1102	0	0
2	1102	0	0
3	1102	0	0
4	1102	0	0
5	1102	0	0
6	1102	0	0
7	1102	0	0
8	1102	0	0
9	1102	0	0
10	1102	0	0
11	1102	0	0
12	1102	0	0
13	1102	0	0
14	1102	0	0
15	1102	0	0
16	1102	0	0
17	1102	0	0
18	1102	0	0
19	1102	0	0
20	1102	0	0
21	1102	0	0
22	1102	0	0
23	1102	0	0
24	1102	0	0
25	1102	0	0
26	1102	0	0
27	1102	0	0
28	1102	0	0
29	1102	0	0
30	1102	0	0
31	1102	0	0
32	1102	0	0
33	1102	0	0
34	1102	0	0
35	1102	0	0
36	1102	0	0
37	1102	0	0
38	1102	0	0
39	1102	0	0
40	1102	0	0
41	1102	0	0
42	1102	0	0
43	1102	0	0
44	1102	0	0
45	1102	0	0
46	1102	0	0
47	1102	0	0
48	1102	0	0
49	1102	0	0
50	1102	0	0
51	1102	0	0
52	1102	0	0
53	1102	0	0
54	1102	0	0
55	1102	0	0
56	1102	0	0
57	1102	0	0
58	1102	0	0
59	1102	0	0
60	1102	0	0
61	1102	0	0
62	1102	0	0
63	1102	0	0
64	1102	0	0
65	1102	0	0
66	1102	0	0
67	1102	0	0
68	1102	0	0
69	1102	0	0
70	1102	0	0
71	1102	0	0
72	1102	0	0
73	1102	0	0
74	1102	0	0
75	1102	0	0
76	1102	0	0
77	1102	0	0
78	1102	0	0
79	1102	0	0
80	1102	0	0
81	1102	0	0
82	1102	0	0
83	1102	0	0
84	1102	0	0
85	1102	0	0
86	1102	0	0
87	1102	0	0
88	1102	0	0
89	1102	0	0
90	1102	0	0
0	1103	1968693	444682
1	1103	20577	20577
2	1103	25353	25353
3	1103	21242	21242
4	1103	22874	22874
5	1103	20436	20436
6	1103	22904	22904
7	1103	24259	24259
8	1103	27280	27280
9	1103	22360	22360
10	1103	21690	21690
11	1103	22597	22597
12	1103	26816	26816
13	1103	28206	28206
14	1103	37713	37713
15	1103	33717	33717
16	1103	28275	28275
17	1103	27162	27162
18	1103	29792	29792
19	1103	26357	26357
20	1103	28787	28787
21	1103	27577	27577
22	1103	31897	31897
23	1103	32798	32798
24	1103	33820	33820
25	1103	25863	25863
26	1103	28830	28830
27	1103	26506	26506
28	1103	21976	21976
29	1103	21724	21724
30	1103	21958	21958
31	1103	23294	23294
32	1103	22686	22686
33	1103	21914	21914
34	1103	21394	21394
35	1103	26752	26752
36	1103	26614	26614
37	1103	22448	22448
38	1103	29174	29174
39	1103	34861	34861
40	1103	30533	30533
41	1103	29132	29132
42	1103	26117	26117
43	1103	26159	26159
44	1103	27377	27377
45	1103	26639	26639
46	1103	31021	31021
47	1103	25341	25341
48	1103	26534	26534
49	1103	21366	21366
50	1103	24438	24438
51	1103	26356	26356
52	1103	25412	25412
53	1103	25106	25106
54	1103	23188	23188
55	1103	33322	33322
56	1103	28603	28603
57	1103	21385	21385
58	1103	27421	27421
59	1103	15767	15767
60	1103	15865	15865
61	1103	22165	22165
62	1103	19971	19971
