SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
69	1103	14128	14128
70	1103	16021	16021
71	1103	16122	16122
72	1103	17899	17899
73	1103	12400	12400
74	1103	13435	13435
75	1103	16403	16403
76	1103	14431	14431
77	1103	17615	17615
78	1103	17145	17145
79	1103	17943	17943
80	1103	14637	14637
81	1103	20510	20510
82	1103	21913	21913
83	1103	14381	14381
84	1103	16243	16243
85	1103	14069	14069
86	1103	16132	16132
87	1103	14930	14930
88	1103	17886	17886
89	1103	13264	13264
90	1103	16380	16380
0	1104	2289700	405103
1	1104	17316	17316
2	1104	21491	21491
3	1104	17837	17837
4	1104	19545	19545
5	1104	18054	18054
6	1104	19496	19496
7	1104	20386	20386
8	1104	22811	22811
9	1104	19198	19198
10	1104	18535	18535
11	1104	18871	18871
12	1104	23069	23069
13	1104	23883	23883
14	1104	32109	32109
15	1104	28622	28622
16	1104	23950	23950
17	1104	22933	22933
18	1104	25567	25567
19	1104	22796	22796
20	1104	24158	24158
21	1104	23079	23079
22	1104	26898	26898
23	1104	28480	28480
24	1104	28797	28797
25	1104	22408	22408
26	1104	24395	24395
27	1104	22367	22367
28	1104	18521	18521
29	1104	18315	18315
30	1104	18615	18615
31	1104	19653	19653
32	1104	18903	18903
33	1104	18652	18652
34	1104	18192	18192
35	1104	22984	22984
36	1104	22673	22673
37	1104	19117	19117
38	1104	24339	24339
39	1104	29781	29781
40	1104	25907	25907
41	1104	24920	24920
42	1104	22325	22325
43	1104	22194	22194
44	1104	22592	22592
45	1104	22423	22423
46	1104	26318	26318
47	1104	22123	22123
48	1104	22627	22627
49	1104	17991	17991
50	1104	20474	20474
51	1104	22212	22212
52	1104	22006	22006
53	1104	21455	21455
54	1104	19883	19883
55	1104	28516	28516
56	1104	24782	24782
57	1104	17290	17290
58	1104	23402	23402
59	1104	13485	13485
60	1104	13559	13559
61	1104	18542	18542
62	1104	17151	17151
63	1104	18340	18340
64	1104	15913	15913
65	1104	13267	13267
66	1104	17352	17352
67	1104	11312	11312
68	1104	13994	13994
69	1104	14269	14269
70	1104	15960	15960
71	1104	16266	16266
72	1104	17668	17668
73	1104	11998	11998
74	1104	13324	13324
75	1104	16852	16852
76	1104	14380	14380
77	1104	17252	17252
78	1104	16982	16982
79	1104	17961	17961
80	1104	14700	14700
81	1104	20210	20210
82	1104	21709	21709
83	1104	14294	14294
84	1104	16297	16297
85	1104	13989	13989
86	1104	16174	16174
87	1104	15089	15089
88	1104	17987	17987
89	1104	13314	13314
90	1104	16378	16378
0	1105	2278628	411508
1	1105	17301	17301
2	1105	21723	21723
3	1105	18086	18086
4	1105	19947	19947
5	1105	17977	17977
6	1105	19821	19821
7	1105	20608	20608
8	1105	23121	23121
9	1105	19173	19173
10	1105	18524	18524
11	1105	18977	18977
12	1105	22822	22822
13	1105	24037	24037
14	1105	32474	32474
15	1105	28793	28793
16	1105	23756	23756
17	1105	23035	23035
18	1105	25724	25724
19	1105	22783	22783
20	1105	24500	24500
21	1105	23228	23228
22	1105	26792	26792
23	1105	28237	28237
24	1105	29159	29159
25	1105	22403	22403
26	1105	24476	24476
27	1105	22391	22391
28	1105	18339	18339
29	1105	18638	18638
30	1105	18909	18909
31	1105	19723	19723
32	1105	18955	18955
33	1105	18863	18863
34	1105	18393	18393
35	1105	23121	23121
36	1105	22949	22949
37	1105	19526	19526
38	1105	24742	24742
39	1105	30742	30742
40	1105	26070	26070
41	1105	24872	24872
42	1105	22142	22142
43	1105	22120	22120
44	1105	23240	23240
45	1105	22938	22938
46	1105	26407	26407
47	1105	21843	21843
48	1105	22635	22635
49	1105	18201	18201
50	1105	20937	20937
51	1105	22699	22699
52	1105	21850	21850
53	1105	21427	21427
54	1105	19730	19730
55	1105	28826	28826
56	1105	24706	24706
57	1105	17584	17584
58	1105	23510	23510
59	1105	13869	13869
60	1105	13349	13349
61	1105	18780	18780
62	1105	17127	17127
63	1105	18334	18334
64	1105	16073	16073
65	1105	13095	13095
66	1105	17332	17332
67	1105	11449	11449
68	1105	13972	13972
69	1105	14298	14298
70	1105	16021	16021
71	1105	16500	16500
72	1105	17747	17747
73	1105	12183	12183
74	1105	13347	13347
75	1105	16807	16807
76	1105	14369	14369
77	1105	17574	17574
78	1105	17175	17175
79	1105	18079	18079
80	1105	14763	14763
81	1105	20414	20414
82	1105	21915	21915
83	1105	14606	14606
84	1105	16301	16301
85	1105	13962	13962
86	1105	16318	16318
87	1105	15018	15018
88	1105	18185	18185
89	1105	13357	13357
90	1105	16452	16452
0	1106	2318872	400587
1	1106	17136	17136
2	1106	21124	21124
3	1106	17531	17531
4	1106	19170	19170
5	1106	17398	17398
6	1106	19088	19088
7	1106	20415	20415
8	1106	22383	22383
9	1106	18593	18593
10	1106	17812	17812
11	1106	18438	18438
12	1106	22398	22398
13	1106	23159	23159
14	1106	31592	31592
15	1106	28205	28205
16	1106	23526	23526
17	1106	22606	22606
18	1106	25258	25258
19	1106	21938	21938
20	1106	24017	24017
21	1106	22727	22727
22	1106	26368	26368
23	1106	27568	27568
24	1106	28422	28422
25	1106	22089	22089
26	1106	23936	23936
27	1106	22004	22004
28	1106	18327	18327
29	1106	18018	18018
30	1106	18636	18636
31	1106	19398	19398
32	1106	18719	18719
33	1106	18457	18457
34	1106	17604	17604
35	1106	22491	22491
36	1106	22578	22578
37	1106	18825	18825
38	1106	24552	24552
39	1106	29291	29291
40	1106	25670	25670
41	1106	24322	24322
42	1106	21801	21801
43	1106	21719	21719
44	1106	22466	22466
45	1106	21724	21724
46	1106	26164	26164
47	1106	21464	21464
48	1106	22406	22406
49	1106	17807	17807
50	1106	20472	20472
51	1106	22086	22086
52	1106	21312	21312
53	1106	20940	20940
54	1106	19687	19687
55	1106	28004	28004
56	1106	24578	24578
57	1106	17535	17535
58	1106	22627	22627
59	1106	13376	13376
60	1106	13197	13197
61	1106	18350	18350
62	1106	16757	16757
63	1106	17917	17917
64	1106	15658	15658
65	1106	12863	12863
66	1106	17128	17128
67	1106	11144	11144
68	1106	13635	13635
69	1106	13964	13964
70	1106	15735	15735
71	1106	16177	16177
72	1106	17180	17180
73	1106	11968	11968
74	1106	13181	13181
75	1106	16470	16470
76	1106	14317	14317
77	1106	17195	17195
78	1106	16716	16716
79	1106	17491	17491
80	1106	14491	14491
81	1106	20189	20189
82	1106	21665	21665
83	1106	14389	14389
84	1106	16028	16028
85	1106	13703	13703
86	1106	15971	15971
87	1106	14888	14888
88	1106	17456	17456
89	1106	13244	13244
90	1106	16008	16008
0	1107	2323091	402425
1	1107	16717	16717
2	1107	21079	21079
3	1107	17385	17385
4	1107	19219	19219
5	1107	17403	17403
6	1107	19159	19159
7	1107	20262	20262
8	1107	22665	22665
9	1107	18812	18812
10	1107	18122	18122
11	1107	18447	18447
12	1107	22631	22631
13	1107	23203	23203
14	1107	31471	31471
15	1107	28217	28217
16	1107	23747	23747
17	1107	22726	22726
18	1107	24904	24904
19	1107	22069	22069
20	1107	23630	23630
21	1107	22813	22813
22	1107	26232	26232
23	1107	27783	27783
24	1107	28030	28030
25	1107	22109	22109
26	1107	24020	24020
27	1107	21944	21944
28	1107	18095	18095
29	1107	18197	18197
30	1107	18473	18473
31	1107	19148	19148
32	1107	18612	18612
33	1107	18182	18182
34	1107	17499	17499
35	1107	22396	22396
36	1107	22045	22045
37	1107	18670	18670
38	1107	24118	24118
39	1107	29517	29517
40	1107	25573	25573
41	1107	24378	24378
42	1107	21978	21978
43	1107	21895	21895
44	1107	22194	22194
45	1107	21922	21922
46	1107	26073	26073
47	1107	21408	21408
48	1107	22086	22086
49	1107	18076	18076
50	1107	20259	20259
51	1107	21737	21737
52	1107	21458	21458
53	1107	20869	20869
54	1107	19413	19413
55	1107	28066	28066
56	1107	24331	24331
57	1107	17551	17551
58	1107	22856	22856
59	1107	13151	13151
60	1107	13157	13157
61	1107	18141	18141
62	1107	16661	16661
63	1107	17926	17926
64	1107	15440	15440
65	1107	12861	12861
66	1107	17339	17339
67	1107	11128	11128
68	1107	13722	13722
69	1107	14011	14011
70	1107	15851	15851
71	1107	15936	15936
72	1107	17234	17234
73	1107	11793	11793
74	1107	13032	13032
75	1107	16185	16185
76	1107	14010	14010
77	1107	17184	17184
78	1107	16960	16960
79	1107	17716	17716
80	1107	14412	14412
81	1107	20298	20298
82	1107	21347	21347
83	1107	14252	14252
84	1107	16005	16005
85	1107	13637	13637
86	1107	16084	16084
87	1107	14777	14777
88	1107	17528	17528
89	1107	13089	13089
90	1107	16072	16072
0	1108	2322030	403307
1	1108	16898	16898
2	1108	21039	21039
3	1108	17403	17403
4	1108	19222	19222
5	1108	17481	17481
6	1108	19178	19178
7	1108	20056	20056
8	1108	22569	22569
9	1108	18688	18688
10	1108	17939	17939
11	1108	18419	18419
12	1108	22769	22769
13	1108	23205	23205
14	1108	31426	31426
15	1108	28359	28359
16	1108	23826	23826
17	1108	22430	22430
18	1108	25027	25027
