SampleNumber	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90
SampleName	None	CT304_1434281_TP53_CAPPSEQ	RMGEM162_71300511_TP53_CAPPSEQ	RMGEM18_1738932_TP53_CAPPSEQ	RM576_1328892_TP53_CAPPSEQ	RMPTV275_71018943_CD19_CAPPSEQ	RMPTV275_75749577_risortato_CD19_CAPPSEQ	RMPTV275_71018943_CD3_CAPPSEQ	RMPTV275_75749577_risortato_CD3_CAPPSEQ	UD76_1575916_CD19_CAPPSEQ	TS399_73474005_CD19_CAPPSEQ	RMGEM336_74329796_CD19_CAPPSEQ	CRO103_1508198_rifatto_CD19_CAPPSEQ	RMPTV238_1693390_rifatto_CD19_CAPPSEQ	RMPTV238_75720908_rifatto_CD19_CAPPSEQ	RMGEM353_74554258_CD19_CAPPSEQ	CT225_737450_CD19_CAPPSEQ	CT421_1741622_CD19_CAPPSEQ	RM682_1180273_CD19_CAPPSEQ	RMSA98_74333761_CD19_CAPPSEQ	CT515_71596181_CD19_CAPPSEQ	CT274_754027_CD19_CAPPSEQ	CT366_1548706_CD19_CAPPSEQ	RIO72_1215551_CD19_CAPPSEQ	RM222_17896_CD19_CAPPSEQ	UD76_1575916_CD3_CAPPSEQ	TS399_73474005_CD3_CAPPSEQ	RMGEM336_74329796_CD3_CAPPSEQ	CRO103_1508198_rifatto_CD3_CAPPSEQ	RMPTV238_1693390_rifatto_CD3_CAPPSEQ	RMPTV238_75720908_rifatto_CD3_CAPPSEQ	RMGEM353_74554258_CD3_CAPPSEQ	CT225_737450_CD3_CAPPSEQ	CT421_1741622_CD3_CAPPSEQ	RM682_1180273_CD3_CAPPSEQ	RMSA98_74333761_CD3_CAPPSEQ	CT515_71596181_CD3_CAPPSEQ	CT274_754027_CD3_CAPPSEQ	CT366_1548706_CD3_CAPPSEQ	RIO72_1215551_CD3_CAPPSEQ	RM222_17896_CD3_CAPPSEQ	CT385_76313131_CD19_CAPPSEQ	RMPTV599_74204575_CD19_CAPPSEQ	CT385_73682553_CD19_CAPPSEQ	CT86_801852_CD19_CAPPSEQ	CT56_982721_CD19_CAPPSEQ	CT56_72349293_CD19_CAPPSEQ	RMPTV153_1638020_CD19_CAPPSEQ	CT404_1656880_CD19_CAPPSEQ	RMPTV105_742756_CD19_CAPPSEQ	CT385_76313131_CD3_CAPPSEQ	RMPTV599_74204575_CD3_CAPPSEQ	CT385_73682553_CD3_CAPPSEQ	CT86_801852_CD3_CAPPSEQ	CT56_982721_CD3_CAPPSEQ	CT56_72349293_CD3_CAPPSEQ	RMPTV153_1638020_CD3_CAPPSEQ	CT404_1656880_CD3_CAPPSEQ	RMPTV105_742756_CD3_CAPPSEQ	RMPTV441_71641950_TP53_CAPPSEQ	CT265_1308463_TP53_CAPPSEQ	RMPTV354_1725423_TP53_CAPPSEQ	RMPTV472_71854414_TP53_CAPPSEQ	TS242_72258495_TP53_CAPPSEQ	UD185_71424472_TP53_CAPPSEQ	RM731_1731335_TP53_CAPPSEQ	CT297_1716527_TP53_CAPPSEQ	RMGEM113_1728098_TP53_CAPPSEQ	RM499_1781010_TP53_CAPPSEQ	RMPTV162_71070456_TP53_CAPPSEQ	RMPTV13_1754919_TP53_CAPPSEQ	RMGEM15_70900705_TP53_CAPPSEQ	RM442_1444318_TP53_CAPPSEQ	RM678_1798162_TP53_CAPPSEQ	UD162_1740075_TP53_CAPPSEQ	CT398_1649277_TP53_CAPPSEQ	CT92_72077680_TP53_CAPPSEQ	RMGEM128_70992690_TP53_CAPPSEQ	RMGEM36_1783087_TP53_CAPPSEQ	RM113_1296957_TP53_CAPPSEQ	RMSA41_72195363_TP53_CAPPSEQ	RMPTV324_1711993_TP53_CAPPSEQ	RMSA25_71794251_TP53_CAPPSEQ	TS134_71741925_TP53_CAPPSEQ	UD13_1434331_TP53_CAPPSEQ	CT151_71530455_TP53_CAPPSEQ	CT447_1789524_TP53_CAPPSEQ	RMPTV133_71453788_TP53_CAPPSEQ	UD22_1297016_TP53_CAPPSEQ	TS235_1569503_TP53_CAPPSEQ	TS31_1776222_TP53_CAPPSEQ
L1T1101	18.48874	0.788945	0.9874428	0.8046799	0.8769777	0.8055974	0.8749592	0.9276228	1.03006	0.8594996	0.8301401	0.8350945	1.019968	1.081026	1.442561	1.298195	1.084329	1.033225	1.163279	1.014463	1.096073	1.048914	1.225025	1.272001	1.312141	0.991021	1.100018	1.013499	0.8378928	0.8372047	0.8503706	0.8970706	0.8412875	0.8409205	0.8171118	1.041758	1.021436	0.8593161	1.133461	1.362006	1.192868	1.115203	1.001893	1.003453	1.033134	1.016756	1.193877	0.9940946	1.02873	0.828718	0.9417062	1.015701	0.9944616	0.969873	0.9035848	1.300764	1.11479	0.804634	1.057309	0.6193939	0.6055399	0.8450492	0.76454	0.8284886	0.7207301	0.5973743	0.7819722	0.5071855	0.6311377	0.6464138	0.7188033	0.7355016	0.7914681	0.5415453	0.5926033	0.7425203	0.6513223	0.786789	0.7656868	0.8044505	0.6688004	0.910053	0.992489	0.6577447	0.7365567	0.6273301	0.7403184	0.6752228	0.8131666	0.6068243	0.7360979
L1T1102	18.45147	0.7779195	0.974898	0.7965452	0.8768176	0.8121273	0.8814967	0.9262439	1.029503	0.8651879	0.840929	0.8583736	1.03232	1.078521	1.437361	1.29417	1.100145	1.036635	1.154341	1.008515	1.10278	1.049355	1.221212	1.271865	1.312523	1.005426	1.107277	1.004381	0.835523	0.8415196	0.8516501	0.8865393	0.8661419	0.8443816	0.8159887	1.037726	1.018646	0.8608722	1.121905	1.371944	1.179418	1.113183	1.011922	1.000383	1.036863	1.019236	1.196544	0.9854828	1.027822	0.8163521	0.9367379	1.005653	1.003382	0.9722631	0.8896285	1.293989	1.119906	0.807857	1.055307	0.6126957	0.6019745	0.8455627	0.7805089	0.8244838	0.7292655	0.5958416	0.7786918	0.505257	0.6321845	0.6520823	0.7202252	0.7341718	0.8033595	0.5441439	0.5900268	0.7526158	0.6467217	0.7794641	0.7714232	0.8060398	0.6685274	0.9177033	0.9859371	0.6531726	0.7397141	0.6321845	0.7380786	0.6798846	0.8075844	0.5980676	0.7393052
L1T1103	18.45744	0.7707623	0.9847499	0.8029283	0.8886591	0.8111621	0.883185	0.9021407	1.028271	0.8533262	0.8382159	0.8458616	1.033338	1.062835	1.445027	1.282749	1.078669	1.047679	1.151144	1.019676	1.108075	1.054511	1.213305	1.266101	1.314236	1.00461	1.109071	1.020897	0.8382612	0.8317918	0.8401613	0.8921426	0.86156	0.8594789	0.8149623	1.028588	1.019314	0.8665817	1.113459	1.358074	1.168291	1.125267	0.9987744	1.001851	1.039491	1.015649	1.207016	0.9963767	1.024562	0.8257748	0.9387403	1.009315	0.9849761	0.9666537	0.8868947	1.298945	1.108799	0.8134694	1.061478	0.6087561	0.6138683	0.8423328	0.7679122	0.8324704	0.7124021	0.6021058	0.8012544	0.5102676	0.6232783	0.6391577	0.724798	0.7293673	0.8097596	0.5609822	0.6078061	0.7420799	0.6528656	0.7969113	0.7756483	0.8117502	0.6621851	0.9278826	0.991355	0.6506036	0.7348414	0.6364885	0.7298197	0.6754406	0.8091715	0.6000699	0.7410393
L1T1104	18.35282	0.7844853	0.9736299	0.8080888	0.8854681	0.8179198	0.8832482	0.9235689	1.033431	0.8697476	0.839711	0.8549332	1.04512	1.081997	1.454669	1.296693	1.085033	1.038958	1.158289	1.032752	1.094456	1.045573	1.218589	1.29026	1.304621	1.015174	1.105193	1.013316	0.8390768	0.8297441	0.8433353	0.890361	0.8563829	0.8450116	0.8241717	1.041269	1.027179	0.866078	1.102656	1.349201	1.173693	1.128978	1.011413	1.005479	1.02351	1.015853	1.192313	1.002262	1.025095	0.8150656	0.9275556	1.006294	0.9969615	0.9719989	0.9007809	1.291891	1.122726	0.7833074	1.060206	0.6109254	0.6142779	0.8400281	0.7770102	0.8308767	0.7209237	0.6010492	0.7861163	0.5124797	0.6339852	0.6464438	0.723053	0.7369161	0.8004324	0.5435583	0.6036315	0.7634643	0.6514726	0.7815859	0.7693538	0.8137065	0.6659699	0.9155953	0.9835061	0.6475764	0.7383205	0.6337587	0.7327481	0.6835932	0.8148844	0.6031784	0.7419901
L1T1105	18.49654	0.7776485	0.9764094	0.8129329	0.8965814	0.8080335	0.8909179	0.9262922	1.039247	0.8617915	0.8326202	0.8529817	1.025807	1.080419	1.459647	1.294193	1.067789	1.035381	1.156247	1.024054	1.101231	1.044056	1.204252	1.269202	1.310644	1.006974	1.100152	1.006435	0.8243047	0.8377442	0.8499252	0.886513	0.8519928	0.8478576	0.8267319	1.039247	1.031516	0.8776582	1.112108	1.381797	1.171799	1.117951	0.9952427	0.9942538	1.044596	1.031021	1.186947	0.9818032	1.017402	0.8181019	0.9410801	1.020279	0.9821178	0.9631047	0.8868277	1.295676	1.11049	0.7903689	1.056732	0.6233864	0.6000133	0.8441269	0.7698275	0.82408	0.7224522	0.5885965	0.7790419	0.5146118	0.628016	0.6426691	0.7201149	0.741645	0.7976954	0.5476037	0.5999234	0.7554441	0.6458605	0.7899194	0.7719851	0.8126182	0.66357	0.9175722	0.9850394	0.6565132	0.7327003	0.6275665	0.7334645	0.6750318	0.8173827	0.6003729	0.7394875
L1T1106	18.42949	0.7883626	0.9718355	0.8065351	0.8819393	0.8004163	0.8781668	0.939217	1.029757	0.8553937	0.8194628	0.8482627	1.030447	1.065458	1.453429	1.297606	1.082342	1.040017	1.162025	1.009285	1.104931	1.045583	1.213092	1.2683	1.307589	1.016231	1.101205	1.012321	0.843156	0.8289401	0.857372	0.8924287	0.8611905	0.8491369	0.8098935	1.034726	1.038728	0.8660671	1.129545	1.347568	1.18098	1.118963	1.002982	0.9992092	1.033576	0.9994392	1.203707	0.9874776	1.030815	0.8192328	0.9418394	1.016093	0.9804846	0.9633703	0.9057245	1.288358	1.130741	0.8067191	1.040983	0.6153792	0.6071441	0.8442142	0.7709263	0.8242935	0.7203654	0.591778	0.7879946	0.5126933	0.6272948	0.6424309	0.7239079	0.7442427	0.7903869	0.5506025	0.606408	0.7577225	0.6586711	0.791077	0.76904	0.8046948	0.6666762	0.9288196	0.9967248	0.6619835	0.7373877	0.6304233	0.7347654	0.6849406	0.8030846	0.6093064	0.7364676
L1T1107	18.53436	0.7699294	0.9708286	0.8006953	0.8851632	0.8015243	0.8823998	0.9332003	1.043875	0.8664181	0.834639	0.8496075	1.042309	1.068653	1.44945	1.299581	1.093708	1.046684	1.146995	1.016425	1.088319	1.050691	1.208159	1.279593	1.290969	1.018267	1.106281	1.010668	0.8333955	0.8380933	0.8508049	0.8818932	0.8572068	0.8374024	0.8059457	1.031485	1.015319	0.8598781	1.110795	1.359455	1.177807	1.12277	1.012234	1.008411	1.022182	1.009654	1.200836	0.9859813	1.017208	0.8325204	0.9330622	1.001134	0.9882841	0.9611567	0.8940982	1.292627	1.120605	0.8083407	1.052671	0.6056913	0.6059677	0.8355141	0.7673502	0.8256119	0.711115	0.5923349	0.7985767	0.5125187	0.6319897	0.6453001	0.7300443	0.7339592	0.7937407	0.5431464	0.6002106	0.7454273	0.645254	0.7914379	0.7811212	0.81594	0.6637688	0.9348584	0.9831718	0.6563997	0.7371371	0.6280749	0.7407755	0.6805795	0.8072814	0.6028358	0.7402229
L1T1108	18.55837	0.7775698	0.96812	0.8008077	0.8845098	0.8043969	0.8824852	0.9228868	1.038524	0.8599376	0.825472	0.8475594	1.047727	1.06779	1.446083	1.304953	1.096365	1.032128	1.15163	1.011881	1.095675	1.039766	1.207263	1.28282	1.314018	0.9990884	1.101933	1.007831	0.8429118	0.8342149	0.8555661	0.8822091	0.8678062	0.8444304	0.816591	1.036913	1.014872	0.8572227	1.121996	1.359022	1.172567	1.124159	0.9875846	1.004472	1.043033	1.015424	1.181448	0.9929684	1.021314	0.8341689	0.9285007	0.9963735	0.9880447	0.9726755	0.8868566	1.294186	1.115738	0.7883835	1.041193	0.6131565	0.6109017	0.8347671	0.7592097	0.8287851	0.7174736	0.59383	0.7903621	0.507919	0.6312866	0.6371766	0.7202345	0.7377664	0.8064216	0.552324	0.5921274	0.7534117	0.6535121	0.7974025	0.769103	0.8154406	0.6686512	0.9204019	0.989011	0.659264	0.7415857	0.6341395	0.7392389	0.6733908	0.8059154	0.6011924	0.7441626
L1T1109	18.56427	0.7761395	0.971178	0.8105146	0.8780652	0.8036396	0.8945837	0.9311736	1.041589	0.8644536	0.818497	0.8520878	1.035268	1.081824	1.44477	1.29938	1.092575	1.024333	1.155881	1.004123	1.098066	1.044773	1.220709	1.275248	1.304363	1.014458	1.09276	1.008137	0.8504267	0.8316011	0.8404141	0.8778345	0.8664377	0.8480735	0.8062697	1.040528	1.020088	0.8642229	1.112877	1.347874	1.180705	1.135302	1.000431	0.9990472	1.033607	1.016812	1.198515	0.9821595	1.014966	0.8245877	0.9279899	1.026317	0.9718239	0.9736234	0.8934763	1.303394	1.12026	0.8002252	1.053863	0.6083243	0.6027412	0.8394912	0.758975	0.8213578	0.7235848	0.5954509	0.7941807	0.5133659	0.6253965	0.6392389	0.7201242	0.7366427	0.7978258	0.5479718	0.6035256	0.7513156	0.6478211	0.7880901	0.7846756	0.811622	0.6623555	0.9151165	0.9851126	0.6438991	0.7263533	0.6380392	0.7336436	0.6712146	0.8068695	0.6078168	0.7312442
