SampleNumber	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90
L2T1110	18.58251	0.7709642	0.9609254	0.7944081	0.8910319	0.7929839	0.8781049	0.9314014	1.025067	0.8530178	0.8439799	0.8631513	1.024574	1.071024	1.426517	1.298397	1.107011	1.050867	1.169346	1.018385	1.122294	1.078857	1.244279	1.284484	1.308092	0.9933525	1.131332	1.011812	0.8355992	0.8248632	0.8595908	0.8853901	0.8567973	0.8421723	0.8155514	1.02923	1.018878	0.8600291	1.098412	1.346764	1.171866	1.119665	0.9982275	0.9954339	1.040843	1.027971	1.18419	0.9923117	1.029066	0.8193309	0.9316753	1.023424	1.000145	0.9658004	0.8934421	1.292426	1.11824	0.794682	1.051688	0.6048851	0.6018724	0.836147	0.7646103	0.8245346	0.7178868	0.5939848	0.7819741	0.4980182	0.6271787	0.6460762	0.7261579	0.7250624	0.7874516	0.5452894	0.5995171	0.7578181	0.6564835	0.7863561	0.774196	0.8036651	0.6631662	0.9140376	0.9638285	0.6484316	0.7304852	0.6292602	0.7193657	0.6625636	0.8164278	0.6077334	0.7336621
L2T1111	18.75486	0.7892131	0.9662324	0.7952632	0.8908223	0.8153582	0.8906602	0.9423561	1.019171	0.8470131	0.837938	0.8541976	1.018793	1.054499	1.431549	1.297799	1.077619	1.042669	1.158647	1.016848	1.092366	1.063682	1.226656	1.274787	1.314383	0.9880019	1.115972	1.005882	0.829241	0.8382621	0.8618683	0.878506	0.8511185	0.8364795	0.8167086	1.038996	1.006314	0.8608419	1.125263	1.350143	1.175609	1.118673	0.9896225	0.9859492	1.035322	1.020629	1.179336	1.01258	1.020521	0.8198957	0.9270148	1.005666	1.001615	0.9719043	0.9065417	1.294828	1.129153	0.803204	1.043749	0.6128421	0.6012281	0.8284847	0.754317	0.8200578	0.71094	0.5931253	0.7845675	0.5177692	0.6222954	0.6323428	0.7155856	0.7145053	0.7861881	0.5497482	0.6057116	0.7412445	0.6453073	0.7813264	0.7785174	0.7935886	0.6630795	0.9090266	0.9769821	0.6551927	0.7307649	0.6186761	0.728118	0.6664826	0.8050406	0.5955561	0.742595
L2T1112	18.48	0.7663979	0.9821961	0.7855727	0.8920093	0.81466	0.8930385	0.9373465	1.047629	0.8589138	0.8432597	0.847593	1.0206	1.06545	1.416718	1.306814	1.09822	1.042916	1.16517	1.016808	1.140632	1.054887	1.243006	1.277835	1.31391	0.991621	1.117666	1.013125	0.830639	0.8345931	0.8617846	0.8894094	0.8422848	0.8429347	0.8159058	1.044	1.017296	0.8500305	1.115012	1.347168	1.177628	1.131803	0.9969835	0.9905377	1.04075	1.017025	1.16777	1.005975	1.052666	0.8209974	0.9413548	1.018379	0.9875586	0.9674087	0.9058759	1.285364	1.121295	0.8117892	1.054346	0.6115366	0.6005951	0.8232724	0.7643937	0.8215391	0.7125025	0.5944201	0.7799936	0.5098125	0.6204741	0.6401364	0.7224149	0.7375814	0.8001434	0.5464288	0.593716	0.7470064	0.6537863	0.790231	0.7704062	0.8078892	0.6655945	0.9148675	0.9820336	0.6594738	0.731244	0.630874	0.7172691	0.6718778	0.8144975	0.6017867	0.7416439
L2T1113	18.23049	0.783938	0.9808483	0.8000386	0.8740477	0.8064789	0.8797366	0.9376451	1.030653	0.8595572	0.8464084	0.8562297	1.034517	1.059097	1.453991	1.291536	1.102784	1.049866	1.157096	1.018202	1.126881	1.067631	1.239156	1.286169	1.315848	1.000008	1.119904	1.007414	0.8398608	0.8324008	0.8640653	0.9184854	0.8524192	0.8379287	0.8188763	1.036181	1.011117	0.8657291	1.107828	1.357334	1.169977	1.118777	1.018899	0.9908844	1.039991	1.037898	1.192625	1.000759	1.030385	0.8171589	0.9393625	1.030975	1.00253	0.9693096	0.8976619	1.306939	1.119045	0.8091623	1.054267	0.6111786	0.5952391	0.8287514	0.7655834	0.8336889	0.7251709	0.6070998	0.7854408	0.512321	0.6438629	0.6468683	0.7132564	0.7316648	0.8054592	0.5439318	0.6030747	0.7393931	0.6518595	0.7937057	0.7809326	0.7978382	0.6732733	0.9092007	0.9995787	0.6659743	0.7335432	0.6235761	0.736495	0.6726293	0.8149049	0.6093539	0.7401444
L2T1114	18.54492	0.7700772	0.9856883	0.7860134	0.890595	0.8021594	0.8824172	0.9275	1.036747	0.8639123	0.8412661	0.8402701	1.032501	1.066995	1.446214	1.303417	1.095302	1.047756	1.158733	1.007496	1.108408	1.074858	1.229765	1.275214	1.326588	0.988257	1.11365	0.9991083	0.8252774	0.8380159	0.8541094	0.8973575	0.8555772	0.8368626	0.8129058	1.040469	1.005294	0.8595613	1.128328	1.362444	1.187408	1.121828	0.9974832	0.9962775	1.039421	1.028727	1.185678	0.9925556	1.023799	0.8206119	0.9455332	1.025267	0.9749418	0.9659777	0.8868731	1.302107	1.127961	0.8099702	1.036485	0.607517	0.6129689	0.8289469	0.7524634	0.8200876	0.718861	0.6052628	0.784598	0.5138915	0.6313689	0.632994	0.723579	0.7285591	0.7947679	0.5464455	0.5999158	0.7388862	0.6562693	0.7798276	0.7752145	0.8000101	0.6591001	0.9159148	0.9776678	0.6555354	0.7364748	0.6330464	0.7150342	0.6757178	0.8118574	0.5966132	0.7396725
L2T1115	18.2683	0.7916517	0.9811381	0.7954665	0.8887988	0.807329	0.8790788	0.9247521	1.012336	0.8696725	0.8584893	0.8589074	1.0335	1.065116	1.43416	1.306129	1.099711	1.045311	1.154007	1.009984	1.109169	1.056128	1.248279	1.275297	1.313445	0.9948819	1.09992	1.012649	0.8340327	0.8244173	0.8656486	0.8917775	0.8586983	0.840983	0.8179896	1.047871	1.028588	0.8619383	1.128453	1.357916	1.174805	1.13279	1.016778	1.009305	1.050118	1.025087	1.181128	1.011395	1.038308	0.8181986	0.9372939	1.027752	0.9917987	0.9604441	0.9090748	1.307853	1.131274	0.7954665	1.048185	0.617111	0.6086453	0.8352346	0.7723686	0.8195051	0.7169232	0.6006499	0.7888298	0.5110279	0.6398431	0.6414109	0.7130039	0.7314509	0.8177283	0.5491761	0.6053531	0.7452992	0.6423515	0.7870531	0.7736228	0.8142793	0.6637772	0.8970032	0.976853	0.6671217	0.7297786	0.6381709	0.7385579	0.6721384	0.8108826	0.6140801	0.7417979
L2T1116	18.46501	0.7822231	0.969936	0.7968494	0.8893104	0.8208303	0.8771649	0.9429057	1.027304	0.8630037	0.8377307	0.865071	1.025237	1.063534	1.440924	1.295177	1.105604	1.04007	1.159148	1.019345	1.116406	1.047771	1.226439	1.275435	1.310114	0.9887486	1.125657	1.009887	0.829358	0.8241897	0.8619701	0.8988718	0.8548378	0.8399014	0.8191765	1.03547	1.007768	0.8407283	1.111289	1.363244	1.175376	1.105966	1.004719	0.9894205	1.038881	1.020482	1.182198	0.9828567	1.023376	0.8213989	0.9250234	1.011127	0.9866296	0.9710213	0.9097252	1.303912	1.121988	0.8068759	1.059141	0.6197316	0.5930631	0.8294614	0.772455	0.8235179	0.7186012	0.6060872	0.7897688	0.5089748	0.6353915	0.6371487	0.7224775	0.7281626	0.8123543	0.549546	0.5992134	0.7470786	0.6500178	0.7833601	0.774419	0.8099769	0.6770481	0.9018177	0.9926765	0.6692956	0.7368971	0.634668	0.7403598	0.6823197	0.8082714	0.601074	0.7310052
L2T1117	18.01802	0.7822617	0.9851658	0.7983062	0.8879699	0.8274546	0.8770844	0.9255791	1.026438	0.8695522	0.8486066	0.8615041	1.038046	1.08556	1.455668	1.308739	1.090719	1.050015	1.176772	1.025148	1.118526	1.062706	1.228001	1.277579	1.320915	1.002294	1.116256	1.010548	0.828796	0.8335939	0.8688815	0.8961211	0.8479875	0.8453564	0.8264228	1.05342	1.010651	0.8626391	1.129773	1.368945	1.190907	1.122396	1.009516	0.9983728	1.048003	1.019112	1.195499	0.9999721	1.025974	0.8230695	0.9432746	1.019061	1.009723	0.9698435	0.8999388	1.324629	1.124459	0.8061479	1.061313	0.6077321	0.6123237	0.8427253	0.7794758	0.8386497	0.7136983	0.6034501	0.8060963	0.5136317	0.6301223	0.6400792	0.7333026	0.727834	0.8206963	0.5448953	0.6033986	0.7414022	0.6601477	0.7864405	0.77215	0.8121324	0.6733548	0.9091735	0.9846499	0.6681442	0.7340248	0.6433293	0.7342828	0.6632431	0.8148666	0.6101053	0.7352114
L2T1118	18.25283	0.7771574	0.9709543	0.8031766	0.8836187	0.8115215	0.8818564	0.9360201	1.036832	0.8587915	0.8470258	0.8655814	1.026984	1.068812	1.445936	1.315839	1.10727	1.061244	1.152571	1.016929	1.131216	1.066479	1.215339	1.282045	1.329937	1.004074	1.118259	1.011953	0.8357266	0.8287813	0.8653223	0.8784874	0.8657369	0.8473368	0.8237018	1.045643	1.008584	0.8571329	1.125204	1.355127	1.182996	1.124686	0.9979065	0.9888879	1.043466	1.024185	1.204972	1.001327	1.046939	0.8209547	0.9505328	1.014026	0.9853115	0.9707988	0.8929483	1.299201	1.119088	0.7955056	1.042015	0.622804	0.6017605	0.836245	0.7678277	0.8211102	0.7211796	0.5922236	0.7885602	0.5141139	0.6304232	0.6400119	0.7382321	0.7276067	0.7997039	0.5520025	0.6102608	0.7539888	0.6598115	0.7918774	0.7758616	0.8002223	0.6729248	0.9046622	0.9703323	0.6606408	0.7315459	0.6343623	0.7205058	0.6802848	0.8153051	0.6041447	0.7366772
L2T1119	18.3953	0.7794762	0.9864118	0.7914396	0.8892093	0.8028873	0.8852387	0.9411881	1.030088	0.8624979	0.8473375	0.8565163	1.040299	1.074178	1.448497	1.289467	1.080262	1.039938	1.153332	1.010081	1.119401	1.054325	1.219801	1.288848	1.307721	0.9987361	1.123166	1.025344	0.8334661	0.817429	0.8593524	0.8851355	0.8566194	0.8277938	0.8182541	1.050354	1.020342	0.86915	1.133479	1.354853	1.164367	1.135438	0.9966219	1.006935	1.035812	1.013845	1.190563	0.9918778	1.03179	0.8243389	0.9307202	1.025241	0.9990455	0.9739843	0.9059168	1.294624	1.114141	0.8019591	1.047466	0.6067291	0.6028101	0.8353741	0.7633359	0.8258859	0.7212063	0.6046149	0.7809201	0.5054013	0.6292636	0.6427739	0.7198656	0.7260535	0.8065485	0.5527392	0.5975503	0.7490521	0.6573156	0.7898926	0.7728241	0.8012372	0.6772202	0.9158175	0.985432	0.6529325	0.7340463	0.6267884	0.7227533	0.6662366	0.8268656	0.612453	0.7361605
L2T1120	18.30135	0.7867836	0.9795941	0.8005815	0.8916266	0.8123276	0.8809576	0.9412269	1.025501	0.8500792	0.8451038	0.8585426	1.015448	1.062073	1.455491	1.306485	1.11034	1.050635	1.151169	1.019962	1.102287	1.054687	1.216106	1.270733	1.310383	1.001086	1.111776	1.016012	0.8353581	0.848284	0.867365	0.9031162	0.8620818	0.836743	0.8270487	1.044428	1.008369	0.8553624	1.122189	1.351622	1.179124	1.127728	0.9971363	0.9929816	1.037401	1.02068	1.186151	0.997085	1.036478	0.8225862	0.9319942	1.00401	0.9952385	0.9642575	0.9054757	1.312229	1.11629	0.8055056	1.062637	0.6178244	0.6046934	0.8415133	0.7768841	0.8315624	0.7177432	0.6031033	0.7820134	0.5009789	0.6262365	0.6415218	0.724001	0.7341057	0.8041207	0.5532465	0.6105408	0.7451337	0.6548067	0.782475	0.7760634	0.8182775	0.6757855	0.9172731	0.9757984	0.6606028	0.7450311	0.6309041	0.7396453	0.6800942	0.7926823	0.5952042	0.7548281
L2T1121	18.09615	0.7783771	0.9830147	0.794691	0.8899235	0.8132991	0.8826332	0.9489084	1.02696	0.8729978	0.8389935	0.8531662	1.034454	1.065043	1.449235	1.30032	1.105063	1.056682	1.145287	1.009831	1.110212	1.069784	1.237817	1.266316	1.309395	1.001725	1.133154	1.011819	0.8333346	0.82426	0.8576015	0.9029236	0.848272	0.829715	0.8351699	1.047098	1.031752	0.8642291	1.128616	1.351964	1.185001	1.132746	1.021556	1.000654	1.052757	1.029866	1.190609	0.9963207	1.036494	0.8284404	0.9421789	1.011564	0.9864814	0.9701165	0.9094492	1.305316	1.128514	0.8048872	1.05607	0.6194695	0.5992301	0.8404719	0.7676711	0.8336405	0.7303021	0.6054498	0.7820478	0.5073624	0.6330305	0.6415443	0.7266825	0.7325453	0.7926008	0.5496256	0.5949987	0.7477886	0.6638229	0.7932126	0.7832713	0.8003499	0.6693799	0.9067982	0.9852578	0.6768741	0.7545181	0.6445012	0.7320355	0.6799839	0.8132481	0.6124851	0.7505925
L2T1122	18.03451	0.7922916	0.9702559	0.8067648	0.894814	0.8140266	0.8886112	0.9352077	1.021593	0.8711627	0.8452926	0.8534117	1.045042	1.077266	1.469756	1.292851	1.111911	1.044689	1.163904	1.019828	1.11534	1.046908	1.236875	1.272326	1.325983	0.9985466	1.107927	1.018264	0.8310212	0.8326853	0.8515458	0.9075221	0.8602196	0.8523527	0.8231038	1.046404	1.00949	0.8720704	1.119829	1.376361	1.169047	1.124619	0.9966808	1.007977	1.046454	1.034402	1.190278	0.9963782	1.042017	0.8224986	0.9382839	1.012314	0.9941089	0.9794844	0.9133215	1.309946	1.122905	0.8149847	1.056338	0.626632	0.6141256	0.8363666	0.7713635	0.8228012	0.720531	0.6107973	0.786694	0.5136708	0.6325826	0.6468037	0.7233046	0.7263808	0.8024279	0.5485173	0.6118059	0.7540159	0.6619828	0.793401	0.7783227	0.813371	0.6608734	0.9254244	0.9867462	0.6668744	0.7397445	0.6362135	0.7313733	0.6764055	0.8105974	0.6094357	0.7304151
