SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	3927347	1808071
1	1101	6915	6915
2	1101	11452	11452
3	1101	10386	10386
4	1101	8978	8978
5	1101	11037	11037
6	1101	9755	9755
7	1101	5704	5704
8	1101	6065	6065
9	1101	8058	8058
10	1101	11079	11079
11	1101	9627	9627
12	1101	7638	7638
13	1101	8424	8424
14	1101	9064	9064
15	1101	8802	8802
16	1101	10281	10281
17	1101	9394	9394
18	1101	11898	11898
0	1102	3926607	1824210
1	1102	6899	6899
2	1102	11496	11496
3	1102	10251	10251
4	1102	9032	9032
5	1102	11162	11162
6	1102	9866	9866
7	1102	5793	5793
8	1102	5969	5969
9	1102	8106	8106
10	1102	11356	11356
11	1102	9634	9634
12	1102	7938	7938
13	1102	8418	8418
14	1102	8894	8894
15	1102	8952	8952
16	1102	10179	10179
17	1102	9380	9380
18	1102	11972	11972
0	1103	3928588	1807689
1	1103	6648	6648
2	1103	11449	11449
3	1103	10193	10193
4	1103	9023	9023
5	1103	10904	10904
6	1103	10011	10011
7	1103	5758	5758
8	1103	6096	6096
9	1103	8012	8012
10	1103	11074	11074
11	1103	9558	9558
12	1103	7617	7617
13	1103	8364	8364
14	1103	9070	9070
15	1103	8430	8430
16	1103	10067	10067
17	1103	9297	9297
18	1103	11745	11745
0	1104	3934736	1727642
1	1104	6384	6384
2	1104	10793	10793
3	1104	9698	9698
4	1104	8674	8674
5	1104	10802	10802
6	1104	9369	9369
7	1104	5466	5466
8	1104	5868	5868
9	1104	7826	7826
10	1104	10639	10639
11	1104	9084	9084
12	1104	7460	7460
13	1104	8064	8064
14	1104	8905	8905
15	1104	8196	8196
16	1104	9698	9698
17	1104	8847	8847
18	1104	11395	11395
0	1105	3932855	1758785
1	1105	6449	6449
2	1105	10881	10881
3	1105	9848	9848
4	1105	8884	8884
5	1105	10708	10708
6	1105	9589	9589
7	1105	5691	5691
8	1105	5743	5743
9	1105	7809	7809
10	1105	10756	10756
11	1105	9199	9199
12	1105	7405	7405
13	1105	8216	8216
14	1105	8758	8758
15	1105	8469	8469
16	1105	9888	9888
17	1105	9128	9128
18	1105	11628	11628
0	1106	3935659	1718542
