Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
16s-A06_S96_L001_R1_001	(2.0, 277.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 3.0)	(20.0, 17.0)	(21.0, 30.0)	(22.0, 111.0)	(23.0, 446.0)	(24.0, 1174.0)	(25.0, 2787.0)	(26.0, 5495.0)	(27.0, 9627.0)	(28.0, 14366.0)	(29.0, 19646.0)	(30.0, 26562.0)	(31.0, 35762.0)	(32.0, 49498.0)	(33.0, 72224.0)	(34.0, 108394.0)	(35.0, 205667.0)	(36.0, 312798.0)	(37.0, 331.0)
16s-A06_S96_L001_R2_001	(2.0, 269.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 106.0)	(13.0, 392.0)	(14.0, 338.0)	(15.0, 246.0)	(16.0, 284.0)	(17.0, 372.0)	(18.0, 480.0)	(19.0, 634.0)	(20.0, 882.0)	(21.0, 1232.0)	(22.0, 1718.0)	(23.0, 2434.0)	(24.0, 4028.0)	(25.0, 6376.0)	(26.0, 9611.0)	(27.0, 13623.0)	(28.0, 18888.0)	(29.0, 26073.0)	(30.0, 35115.0)	(31.0, 48018.0)	(32.0, 64624.0)	(33.0, 86702.0)	(34.0, 123006.0)	(35.0, 232174.0)	(36.0, 187511.0)	(37.0, 79.0)
16s-A07_S104_L001_R1_001	(2.0, 79.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 3.0)	(20.0, 7.0)	(21.0, 33.0)	(22.0, 82.0)	(23.0, 168.0)	(24.0, 445.0)	(25.0, 1231.0)	(26.0, 2961.0)	(27.0, 5713.0)	(28.0, 9421.0)	(29.0, 14604.0)	(30.0, 20287.0)	(31.0, 28472.0)	(32.0, 40020.0)	(33.0, 59821.0)	(34.0, 90950.0)	(35.0, 177674.0)	(36.0, 248062.0)	(37.0, 306.0)
16s-A07_S104_L001_R2_001	(2.0, 78.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 95.0)	(13.0, 290.0)	(14.0, 245.0)	(15.0, 217.0)	(16.0, 253.0)	(17.0, 402.0)	(18.0, 487.0)	(19.0, 600.0)	(20.0, 772.0)	(21.0, 1155.0)	(22.0, 1739.0)	(23.0, 2914.0)	(24.0, 4967.0)	(25.0, 7892.0)	(26.0, 10980.0)	(27.0, 14761.0)	(28.0, 19053.0)	(29.0, 25597.0)	(30.0, 33529.0)	(31.0, 45056.0)	(32.0, 59234.0)	(33.0, 78707.0)	(34.0, 115426.0)	(35.0, 190922.0)	(36.0, 84898.0)	(37.0, 72.0)
16s-A08_S112_L001_R1_001	(2.0, 195.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 1.0)	(20.0, 8.0)	(21.0, 22.0)	(22.0, 72.0)	(23.0, 351.0)	(24.0, 992.0)	(25.0, 2393.0)	(26.0, 4711.0)	(27.0, 8353.0)	(28.0, 12557.0)	(29.0, 17490.0)	(30.0, 23729.0)	(31.0, 33109.0)	(32.0, 44751.0)	(33.0, 62835.0)	(34.0, 89670.0)	(35.0, 172182.0)	(36.0, 160441.0)	(37.0, 114.0)
16s-A08_S112_L001_R2_001	(2.0, 197.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 2.0)	(12.0, 75.0)	(13.0, 274.0)	(14.0, 217.0)	(15.0, 169.0)	(16.0, 200.0)	(17.0, 266.0)	(18.0, 310.0)	(19.0, 419.0)	(20.0, 559.0)	(21.0, 850.0)	(22.0, 1063.0)	(23.0, 1394.0)	(24.0, 2191.0)	(25.0, 3545.0)	(26.0, 5340.0)	(27.0, 7984.0)	(28.0, 11310.0)	(29.0, 16061.0)	(30.0, 23197.0)	(31.0, 32982.0)	(32.0, 46676.0)	(33.0, 65626.0)	(34.0, 98336.0)	(35.0, 186529.0)	(36.0, 128081.0)	(37.0, 125.0)
16s-A09_S120_L001_R1_001	(2.0, 82.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 1.0)	(20.0, 12.0)	(21.0, 39.0)	(22.0, 174.0)	(23.0, 656.0)	(24.0, 1849.0)	(25.0, 4270.0)	(26.0, 7856.0)	(27.0, 12391.0)	(28.0, 17176.0)	(29.0, 22381.0)	(30.0, 29918.0)	(31.0, 40584.0)	(32.0, 54422.0)	(33.0, 72064.0)	(34.0, 107223.0)	(35.0, 177353.0)	(36.0, 68502.0)	(37.0, 10.0)
16s-A09_S120_L001_R2_001	(2.0, 82.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 86.0)	(13.0, 291.0)	(14.0, 258.0)	(15.0, 194.0)	(16.0, 183.0)	(17.0, 241.0)	(18.0, 274.0)	(19.0, 378.0)	(20.0, 559.0)	(21.0, 731.0)	(22.0, 904.0)	(23.0, 1042.0)	(24.0, 1420.0)	(25.0, 2184.0)	(26.0, 3266.0)	(27.0, 5019.0)	(28.0, 7887.0)	(29.0, 11884.0)	(30.0, 18156.0)	(31.0, 28539.0)	(32.0, 43219.0)	(33.0, 64142.0)	(34.0, 95824.0)	(35.0, 180800.0)	(36.0, 149340.0)	(37.0, 61.0)
16s-A10_S128_L001_R1_001	(2.0, 260.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 1.0)	(20.0, 11.0)	(21.0, 34.0)	(22.0, 147.0)	(23.0, 558.0)	(24.0, 1601.0)	(25.0, 3710.0)	(26.0, 7292.0)	(27.0, 11845.0)	(28.0, 17002.0)	(29.0, 22972.0)	(30.0, 30399.0)	(31.0, 41594.0)	(32.0, 55446.0)	(33.0, 73708.0)	(34.0, 106962.0)	(35.0, 173563.0)	(36.0, 78001.0)	(37.0, 25.0)
16s-A10_S128_L001_R2_001	(2.0, 259.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 73.0)	(13.0, 267.0)	(14.0, 238.0)	(15.0, 169.0)	(16.0, 175.0)	(17.0, 251.0)	(18.0, 335.0)	(19.0, 401.0)	(20.0, 578.0)	(21.0, 819.0)	(22.0, 923.0)	(23.0, 1171.0)	(24.0, 1632.0)	(25.0, 2647.0)	(26.0, 4270.0)	(27.0, 6712.0)	(28.0, 10125.0)	(29.0, 15546.0)	(30.0, 22957.0)	(31.0, 33587.0)	(32.0, 48507.0)	(33.0, 68605.0)	(34.0, 98071.0)	(35.0, 171008.0)	(36.0, 135749.0)	(37.0, 57.0)
