Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
16s-B04_S81_L001_R1_001	(2.0, 268.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 4.0)	(20.0, 12.0)	(21.0, 30.0)	(22.0, 74.0)	(23.0, 227.0)	(24.0, 647.0)	(25.0, 1675.0)	(26.0, 3831.0)	(27.0, 7509.0)	(28.0, 12618.0)	(29.0, 18791.0)	(30.0, 27088.0)	(31.0, 37647.0)	(32.0, 52647.0)	(33.0, 78623.0)	(34.0, 118172.0)	(35.0, 225429.0)	(36.0, 320594.0)	(37.0, 270.0)
16s-B04_S81_L001_R2_001	(2.0, 265.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 91.0)	(13.0, 393.0)	(14.0, 307.0)	(15.0, 258.0)	(16.0, 249.0)	(17.0, 344.0)	(18.0, 466.0)	(19.0, 605.0)	(20.0, 798.0)	(21.0, 1223.0)	(22.0, 1714.0)	(23.0, 2348.0)	(24.0, 3822.0)	(25.0, 6452.0)	(26.0, 9541.0)	(27.0, 13908.0)	(28.0, 18862.0)	(29.0, 26032.0)	(30.0, 35604.0)	(31.0, 50296.0)	(32.0, 69457.0)	(33.0, 94935.0)	(34.0, 132135.0)	(35.0, 233147.0)	(36.0, 202820.0)	(37.0, 85.0)
16s-B05_S89_L001_R1_001	(2.0, 86.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 3.0)	(20.0, 7.0)	(21.0, 25.0)	(22.0, 76.0)	(23.0, 251.0)	(24.0, 611.0)	(25.0, 1563.0)	(26.0, 3293.0)	(27.0, 6240.0)	(28.0, 9816.0)	(29.0, 14855.0)	(30.0, 20832.0)	(31.0, 28575.0)	(32.0, 39699.0)	(33.0, 59022.0)	(34.0, 91474.0)	(35.0, 164278.0)	(36.0, 313579.0)	(37.0, 992.0)
16s-B05_S89_L001_R2_001	(2.0, 84.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 94.0)	(13.0, 333.0)	(14.0, 301.0)	(15.0, 246.0)	(16.0, 250.0)	(17.0, 331.0)	(18.0, 494.0)	(19.0, 606.0)	(20.0, 822.0)	(21.0, 1125.0)	(22.0, 1519.0)	(23.0, 2270.0)	(24.0, 3856.0)	(25.0, 6130.0)	(26.0, 8833.0)	(27.0, 12074.0)	(28.0, 16370.0)	(29.0, 22085.0)	(30.0, 28666.0)	(31.0, 39206.0)	(32.0, 53730.0)	(33.0, 73382.0)	(34.0, 104471.0)	(35.0, 197199.0)	(36.0, 180701.0)	(37.0, 102.0)
16s-B06_S97_L001_R1_001	(2.0, 118.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 1.0)	(20.0, 9.0)	(21.0, 26.0)	(22.0, 103.0)	(23.0, 373.0)	(24.0, 1164.0)	(25.0, 2667.0)	(26.0, 5133.0)	(27.0, 8953.0)	(28.0, 13635.0)	(29.0, 19966.0)	(30.0, 28415.0)	(31.0, 40073.0)	(32.0, 54764.0)	(33.0, 76340.0)	(34.0, 116238.0)	(35.0, 198415.0)	(36.0, 82327.0)	(37.0, 4.0)
16s-B06_S97_L001_R2_001	(2.0, 115.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 82.0)	(13.0, 253.0)	(14.0, 295.0)	(15.0, 204.0)	(16.0, 228.0)	(17.0, 422.0)	(18.0, 454.0)	(19.0, 578.0)	(20.0, 697.0)	(21.0, 984.0)	(22.0, 1213.0)	(23.0, 1668.0)	(24.0, 2544.0)	(25.0, 4166.0)	(26.0, 6329.0)	(27.0, 9572.0)	(28.0, 14079.0)	(29.0, 20787.0)	(30.0, 29760.0)	(31.0, 42715.0)	(32.0, 58071.0)	(33.0, 81907.0)	(34.0, 126588.0)	(35.0, 183779.0)	(36.0, 61200.0)	(37.0, 38.0)
16s-B07_S105_L001_R1_001	(2.0, 36.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 3.0)	(20.0, 7.0)	(21.0, 37.0)	(22.0, 96.0)	(23.0, 393.0)	(24.0, 1121.0)	(25.0, 2655.0)	(26.0, 5826.0)	(27.0, 10002.0)	(28.0, 14704.0)	(29.0, 20334.0)	(30.0, 27377.0)	(31.0, 37183.0)	(32.0, 50536.0)	(33.0, 75342.0)	(34.0, 113235.0)	(35.0, 220003.0)	(36.0, 277444.0)	(37.0, 210.0)
16s-B07_S105_L001_R2_001	(2.0, 36.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 2.0)	(12.0, 122.0)	(13.0, 399.0)	(14.0, 343.0)	(15.0, 264.0)	(16.0, 323.0)	(17.0, 390.0)	(18.0, 501.0)	(19.0, 644.0)	(20.0, 854.0)	(21.0, 1292.0)	(22.0, 1771.0)	(23.0, 2457.0)	(24.0, 3948.0)	(25.0, 6470.0)	(26.0, 9661.0)	(27.0, 13600.0)	(28.0, 18716.0)	(29.0, 26018.0)	(30.0, 35011.0)	(31.0, 47886.0)	(32.0, 65479.0)	(33.0, 87506.0)	(34.0, 126744.0)	(35.0, 240600.0)	(36.0, 165397.0)	(37.0, 110.0)
16s-B08_S113_L001_R1_001	(2.0, 111.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 4.0)	(20.0, 5.0)	(21.0, 17.0)	(22.0, 74.0)	(23.0, 312.0)	(24.0, 830.0)	(25.0, 2061.0)	(26.0, 4531.0)	(27.0, 7988.0)	(28.0, 12440.0)	(29.0, 17906.0)	(30.0, 24399.0)	(31.0, 33391.0)	(32.0, 45181.0)	(33.0, 64090.0)	(34.0, 92357.0)	(35.0, 179191.0)	(36.0, 186704.0)	(37.0, 104.0)
16s-B08_S113_L001_R2_001	(2.0, 112.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 97.0)	(13.0, 310.0)	(14.0, 200.0)	(15.0, 170.0)	(16.0, 177.0)	(17.0, 302.0)	(18.0, 340.0)	(19.0, 387.0)	(20.0, 608.0)	(21.0, 808.0)	(22.0, 1092.0)	(23.0, 1241.0)	(24.0, 1935.0)	(25.0, 3231.0)	(26.0, 5255.0)	(27.0, 7600.0)	(28.0, 10982.0)	(29.0, 16030.0)	(30.0, 22650.0)	(31.0, 32026.0)	(32.0, 45588.0)	(33.0, 65040.0)	(34.0, 96772.0)	(35.0, 190955.0)	(36.0, 167659.0)	(37.0, 130.0)
16s-B09_S121_L001_R1_001	(2.0, 129.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 3.0)	(19.0, 2.0)	(20.0, 10.0)	(21.0, 25.0)	(22.0, 109.0)	(23.0, 306.0)	(24.0, 811.0)	(25.0, 1991.0)	(26.0, 4349.0)	(27.0, 8027.0)	(28.0, 12815.0)	(29.0, 18194.0)	(30.0, 25103.0)	(31.0, 35264.0)	(32.0, 48636.0)	(33.0, 72680.0)	(34.0, 109254.0)	(35.0, 210737.0)	(36.0, 286476.0)	(37.0, 210.0)
16s-B09_S121_L001_R2_001	(2.0, 129.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 99.0)	(13.0, 362.0)	(14.0, 338.0)	(15.0, 264.0)	(16.0, 265.0)	(17.0, 385.0)	(18.0, 510.0)	(19.0, 615.0)	(20.0, 880.0)	(21.0, 1251.0)	(22.0, 1760.0)	(23.0, 2733.0)	(24.0, 4580.0)	(25.0, 6880.0)	(26.0, 10045.0)	(27.0, 14273.0)	(28.0, 18923.0)	(29.0, 25550.0)	(30.0, 34967.0)	(31.0, 47359.0)	(32.0, 64943.0)	(33.0, 87321.0)	(34.0, 121565.0)	(35.0, 219611.0)	(36.0, 169425.0)	(37.0, 101.0)
16s-B10_S129_L001_R1_001	(2.0, 121.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 4.0)	(20.0, 12.0)	(21.0, 37.0)	(22.0, 111.0)	(23.0, 366.0)	(24.0, 1031.0)	(25.0, 2470.0)	(26.0, 4934.0)	(27.0, 8825.0)	(28.0, 13088.0)	(29.0, 18986.0)	(30.0, 25284.0)	(31.0, 35291.0)	(32.0, 48166.0)	(33.0, 70579.0)	(34.0, 103688.0)	(35.0, 196268.0)	(36.0, 253706.0)	(37.0, 138.0)
16s-B10_S129_L001_R2_001	(2.0, 114.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 131.0)	(13.0, 368.0)	(14.0, 308.0)	(15.0, 207.0)	(16.0, 173.0)	(17.0, 313.0)	(18.0, 423.0)	(19.0, 514.0)	(20.0, 769.0)	(21.0, 1084.0)	(22.0, 1308.0)	(23.0, 1917.0)	(24.0, 2885.0)	(25.0, 4796.0)	(26.0, 7183.0)	(27.0, 10765.0)	(28.0, 14941.0)	(29.0, 21046.0)	(30.0, 29200.0)	(31.0, 41350.0)	(32.0, 57768.0)	(33.0, 79791.0)	(34.0, 111021.0)	(35.0, 203203.0)	(36.0, 191457.0)	(37.0, 72.0)
16s-B11_S137_L001_R1_001	(2.0, 213.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 2.0)	(18.0, 3.0)	(19.0, 1.0)	(20.0, 5.0)	(21.0, 31.0)	(22.0, 84.0)	(23.0, 261.0)	(24.0, 755.0)	(25.0, 1939.0)	(26.0, 4448.0)	(27.0, 8530.0)	(28.0, 13922.0)	(29.0, 20695.0)	(30.0, 28973.0)	(31.0, 40441.0)	(32.0, 56502.0)	(33.0, 84290.0)	(34.0, 127770.0)	(35.0, 249438.0)	(36.0, 303535.0)	(37.0, 235.0)
16s-B11_S137_L001_R2_001	(2.0, 209.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 76.0)	(13.0, 323.0)	(14.0, 346.0)	(15.0, 334.0)	(16.0, 331.0)	(17.0, 474.0)	(18.0, 778.0)	(19.0, 900.0)	(20.0, 1205.0)	(21.0, 1696.0)	(22.0, 2572.0)	(23.0, 4220.0)	(24.0, 6650.0)	(25.0, 10324.0)	(26.0, 14818.0)	(27.0, 20200.0)	(28.0, 27148.0)	(29.0, 36205.0)	(30.0, 47807.0)	(31.0, 63315.0)	(32.0, 80956.0)	(33.0, 104458.0)	(34.0, 152688.0)	(35.0, 248311.0)	(36.0, 115616.0)	(37.0, 114.0)
16s-B12_S145_L001_R1_001	(2.0, 109.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 1.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 2.0)	(20.0, 3.0)	(21.0, 28.0)	(22.0, 129.0)	(23.0, 387.0)	(24.0, 1154.0)	(25.0, 2946.0)	(26.0, 5854.0)	(27.0, 9717.0)	(28.0, 14523.0)	(29.0, 20129.0)	(30.0, 26541.0)	(31.0, 35120.0)	(32.0, 46821.0)	(33.0, 62882.0)	(34.0, 90033.0)	(35.0, 161920.0)	(36.0, 103957.0)	(37.0, 45.0)
16s-B12_S145_L001_R2_001	(2.0, 110.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 99.0)	(13.0, 264.0)	(14.0, 212.0)	(15.0, 169.0)	(16.0, 191.0)	(17.0, 286.0)	(18.0, 305.0)	(19.0, 342.0)	(20.0, 503.0)	(21.0, 739.0)	(22.0, 872.0)	(23.0, 1017.0)	(24.0, 1556.0)	(25.0, 2590.0)	(26.0, 3968.0)	(27.0, 6024.0)	(28.0, 8834.0)	(29.0, 13395.0)	(30.0, 19673.0)	(31.0, 29224.0)	(32.0, 42256.0)	(33.0, 61497.0)	(34.0, 95327.0)	(35.0, 178624.0)	(36.0, 114140.0)	(37.0, 87.0)
16s-C01_S58_L001_R1_001	(2.0, 51.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 4.0)	(20.0, 11.0)	(21.0, 31.0)	(22.0, 189.0)	(23.0, 721.0)	(24.0, 2080.0)	(25.0, 4549.0)	(26.0, 8225.0)	(27.0, 12762.0)	(28.0, 17083.0)	(29.0, 22453.0)	(30.0, 29667.0)	(31.0, 40267.0)	(32.0, 54779.0)	(33.0, 74358.0)	(34.0, 112011.0)	(35.0, 189381.0)	(36.0, 75785.0)	(37.0, 12.0)
16s-C01_S58_L001_R2_001	(2.0, 51.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 70.0)	(13.0, 291.0)	(14.0, 256.0)	(15.0, 197.0)	(16.0, 183.0)	(17.0, 236.0)	(18.0, 301.0)	(19.0, 366.0)	(20.0, 609.0)	(21.0, 864.0)	(22.0, 1015.0)	(23.0, 1196.0)	(24.0, 1580.0)	(25.0, 2228.0)	(26.0, 3389.0)	(27.0, 5390.0)	(28.0, 8399.0)	(29.0, 12987.0)	(30.0, 19665.0)	(31.0, 30023.0)	(32.0, 44407.0)	(33.0, 64339.0)	(34.0, 96117.0)	(35.0, 189592.0)	(36.0, 160608.0)	(37.0, 62.0)
16s-C02_S66_L001_R1_001	(2.0, 81.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 4.0)	(20.0, 9.0)	(21.0, 38.0)	(22.0, 139.0)	(23.0, 525.0)	(24.0, 1402.0)	(25.0, 3495.0)	(26.0, 6618.0)	(27.0, 11150.0)	(28.0, 15649.0)	(29.0, 21889.0)	(30.0, 29192.0)	(31.0, 40187.0)	(32.0, 55308.0)	(33.0, 77279.0)	(34.0, 111731.0)	(35.0, 208404.0)	(36.0, 147010.0)	(37.0, 39.0)
16s-C02_S66_L001_R2_001	(2.0, 79.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 79.0)	(13.0, 315.0)	(14.0, 259.0)	(15.0, 218.0)	(16.0, 217.0)	(17.0, 309.0)	(18.0, 374.0)	(19.0, 488.0)	(20.0, 661.0)	(21.0, 1005.0)	(22.0, 1199.0)	(23.0, 1349.0)	(24.0, 1957.0)	(25.0, 3015.0)	(26.0, 4481.0)	(27.0, 7098.0)	(28.0, 10668.0)	(29.0, 16296.0)	(30.0, 24243.0)	(31.0, 36362.0)	(32.0, 52949.0)	(33.0, 73812.0)	(34.0, 108999.0)	(35.0, 207190.0)	(36.0, 176448.0)	(37.0, 82.0)
16s-C03_S74_L001_R1_001	(2.0, 212.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 3.0)	(20.0, 9.0)	(21.0, 45.0)	(22.0, 112.0)	(23.0, 285.0)	(24.0, 829.0)	(25.0, 2028.0)	(26.0, 4692.0)	(27.0, 8642.0)	(28.0, 13783.0)	(29.0, 19886.0)	(30.0, 27125.0)	(31.0, 37219.0)	(32.0, 50936.0)	(33.0, 75462.0)	(34.0, 112049.0)	(35.0, 210123.0)	(36.0, 306803.0)	(37.0, 271.0)
16s-C03_S74_L001_R2_001	(2.0, 211.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 129.0)	(13.0, 478.0)	(14.0, 384.0)	(15.0, 247.0)	(16.0, 297.0)	(17.0, 432.0)	(18.0, 550.0)	(19.0, 644.0)	(20.0, 950.0)	(21.0, 1444.0)	(22.0, 1975.0)	(23.0, 2967.0)	(24.0, 4694.0)	(25.0, 7378.0)	(26.0, 10469.0)	(27.0, 14700.0)	(28.0, 20069.0)	(29.0, 26498.0)	(30.0, 36259.0)	(31.0, 49531.0)	(32.0, 67818.0)	(33.0, 91088.0)	(34.0, 130324.0)	(35.0, 239554.0)	(36.0, 161203.0)	(37.0, 223.0)
16s-C04_S82_L001_R1_001	(2.0, 229.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 3.0)	(20.0, 12.0)	(21.0, 21.0)	(22.0, 84.0)	(23.0, 293.0)	(24.0, 768.0)	(25.0, 2090.0)	(26.0, 4254.0)	(27.0, 7917.0)	(28.0, 12648.0)	(29.0, 19116.0)	(30.0, 26888.0)	(31.0, 37181.0)	(32.0, 52400.0)	(33.0, 77279.0)	(34.0, 112363.0)	(35.0, 225325.0)	(36.0, 230851.0)	(37.0, 78.0)
16s-C04_S82_L001_R2_001	(2.0, 226.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 79.0)	(13.0, 326.0)	(14.0, 279.0)	(15.0, 245.0)	(16.0, 218.0)	(17.0, 272.0)	(18.0, 358.0)	(19.0, 463.0)	(20.0, 673.0)	(21.0, 1018.0)	(22.0, 1411.0)	(23.0, 1821.0)	(24.0, 2783.0)	(25.0, 4530.0)	(26.0, 6984.0)	(27.0, 10184.0)	(28.0, 14343.0)	(29.0, 20422.0)	(30.0, 29316.0)	(31.0, 43300.0)	(32.0, 62144.0)	(33.0, 87136.0)	(34.0, 118829.0)	(35.0, 204873.0)	(36.0, 197464.0)	(37.0, 103.0)
16s-C05_S90_L001_R1_001	(2.0, 184.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 2.0)	(18.0, 2.0)	(19.0, 2.0)	(20.0, 10.0)	(21.0, 28.0)	(22.0, 125.0)	(23.0, 535.0)	(24.0, 1488.0)	(25.0, 3477.0)	(26.0, 7113.0)	(27.0, 11630.0)	(28.0, 17112.0)	(29.0, 23618.0)	(30.0, 31280.0)	(31.0, 43105.0)	(32.0, 58360.0)	(33.0, 79759.0)	(34.0, 114562.0)	(35.0, 214240.0)	(36.0, 156707.0)	(37.0, 50.0)
16s-C05_S90_L001_R2_001	(2.0, 188.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 3.0)	(12.0, 124.0)	(13.0, 414.0)	(14.0, 266.0)	(15.0, 215.0)	(16.0, 209.0)	(17.0, 300.0)	(18.0, 349.0)	(19.0, 459.0)	(20.0, 699.0)	(21.0, 960.0)	(22.0, 1056.0)	(23.0, 1197.0)	(24.0, 1605.0)	(25.0, 2510.0)	(26.0, 4125.0)	(27.0, 6279.0)	(28.0, 9769.0)	(29.0, 14618.0)	(30.0, 21931.0)	(31.0, 32734.0)	(32.0, 48908.0)	(33.0, 70670.0)	(34.0, 105110.0)	(35.0, 211673.0)	(36.0, 226863.0)	(37.0, 156.0)
16s-C06_S98_L001_R1_001	(2.0, 233.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 2.0)	(20.0, 15.0)	(21.0, 34.0)	(22.0, 160.0)	(23.0, 507.0)	(24.0, 1391.0)	(25.0, 3165.0)	(26.0, 5847.0)	(27.0, 8745.0)	(28.0, 12727.0)	(29.0, 17722.0)	(30.0, 24699.0)	(31.0, 34184.0)	(32.0, 48936.0)	(33.0, 73384.0)	(34.0, 109934.0)	(35.0, 210470.0)	(36.0, 253560.0)	(37.0, 148.0)
16s-C06_S98_L001_R2_001	(2.0, 232.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 3.0)	(12.0, 101.0)	(13.0, 344.0)	(14.0, 299.0)	(15.0, 257.0)	(16.0, 306.0)	(17.0, 515.0)	(18.0, 650.0)	(19.0, 821.0)	(20.0, 1095.0)	(21.0, 1553.0)	(22.0, 2170.0)	(23.0, 3286.0)	(24.0, 5082.0)	(25.0, 7878.0)	(26.0, 11283.0)	(27.0, 15799.0)	(28.0, 21820.0)	(29.0, 29924.0)	(30.0, 39930.0)	(31.0, 54103.0)	(32.0, 69976.0)	(33.0, 91973.0)	(34.0, 133965.0)	(35.0, 215059.0)	(36.0, 97351.0)	(37.0, 89.0)
16s-C07_S106_L001_R1_001	(2.0, 69.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 6.0)	(20.0, 11.0)	(21.0, 26.0)	(22.0, 111.0)	(23.0, 400.0)	(24.0, 1221.0)	(25.0, 3040.0)	(26.0, 6304.0)	(27.0, 10600.0)	(28.0, 15701.0)	(29.0, 21361.0)	(30.0, 29083.0)	(31.0, 39938.0)	(32.0, 54694.0)	(33.0, 77091.0)	(34.0, 112578.0)	(35.0, 215270.0)	(36.0, 129382.0)	(37.0, 29.0)
16s-C07_S106_L001_R2_001	(2.0, 70.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 128.0)	(13.0, 345.0)	(14.0, 255.0)	(15.0, 188.0)	(16.0, 217.0)	(17.0, 288.0)	(18.0, 315.0)	(19.0, 382.0)	(20.0, 598.0)	(21.0, 866.0)	(22.0, 1122.0)	(23.0, 1243.0)	(24.0, 1729.0)	(25.0, 2749.0)	(26.0, 4254.0)	(27.0, 6489.0)	(28.0, 9857.0)	(29.0, 14985.0)	(30.0, 22049.0)	(31.0, 33476.0)	(32.0, 49312.0)	(33.0, 72373.0)	(34.0, 108279.0)	(35.0, 211490.0)	(36.0, 173758.0)	(37.0, 99.0)
