Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
16s-A01_S56_L001_R1_001	93.33910578914396	56.0	250.29445543308466	251	36.36363636363637	0.731058
16s-A01_S56_L001_R2_001	91.91651004434668	54.0	250.78019527862358	251	36.36363636363637	0.731058
16s-A02_S64_L001_R1_001	93.7919403209967	55.0	250.39352825407985	251	27.27272727272727	0.756581
16s-A02_S64_L001_R2_001	92.14452913832095	53.0	250.82849423921562	251	36.36363636363637	0.756581
16s-A03_S72_L001_R1_001	95.2595750471544	55.0	250.02742260934744	251	36.36363636363637	0.896523
16s-A03_S72_L001_R2_001	93.53747756610818	53.0	250.3962307715474	251	36.36363636363637	0.896523
16s-A04_S80_L001_R1_001	95.04032258064517	54.0	250.03217716654868	251	36.36363636363637	0.7911199999999999
16s-A04_S80_L001_R2_001	93.81990089998989	52.0	250.76742592779857	251	36.36363636363637	0.7911199999999999
16s-A05_S88_L001_R1_001	96.70821524212664	55.0	249.34536337915395	251	36.36363636363637	0.819282
16s-A05_S88_L001_R2_001	94.97291530877037	53.0	250.59507593234076	251	36.36363636363637	0.819282
16s-A06_S96_L001_R1_001	96.4389239218877	55.0	248.61439108846807	247	36.36363636363637	0.865216
16s-A06_S96_L001_R2_001	94.7460518529477	53.0	250.7451711480139	251	36.36363636363637	0.865216
16s-A07_S104_L001_R1_001	96.528548235788	54.0	249.47005958525918	251	36.36363636363637	0.700341
16s-A07_S104_L001_R2_001	92.70398277410575	51.0	250.7351318857528	251	36.36363636363637	0.700341
16s-A08_S112_L001_R1_001	96.36753956761906	53.0	249.46159961386672	251	36.36363636363637	0.6339779999999999
16s-A08_S112_L001_R2_001	95.12159727940086	51.0	250.53538450861072	251	36.36363636363637	0.6339779999999999
16s-A09_S120_L001_R1_001	92.84367832859239	55.0	250.4474159798368	251	36.36363636363637	0.616965
16s-A09_S120_L001_R2_001	94.86664559577935	52.0	250.86290794453495	251	36.36363636363637	0.616965
16s-A10_S128_L001_R1_001	94.2660110184729	54.0	249.6571108181952	251	36.36363636363637	0.625132
16s-A10_S128_L001_R2_001	94.98601895279717	53.0	250.77431166537627	251	36.36363636363637	0.625132
16s-A11_S136_L001_R1_001	90.02886215952559	58.0	250.09046337206442	251	27.27272727272727	0.792387
16s-A11_S136_L001_R2_001	90.64623725528057	56.0	250.66034778460525	251	27.27272727272727	0.792387
16s-A12_S144_L001_R1_001	96.6742743617126	53.0	248.97941128690775	251	36.36363636363637	0.7509939999999999
16s-A12_S144_L001_R2_001	95.66960588233728	51.0	250.5947331137133	251	36.36363636363637	0.7509939999999999
16s-B01_S57_L001_R1_001	92.35132118798526	56.0	250.314409821192	251	36.36363636363637	0.6227349999999999
16s-B01_S57_L001_R2_001	91.83649545954539	54.0	250.82319445671112	251	36.36363636363637	0.6227349999999999
