filename_fastq	filename_fast5	filename_pod5	parent_read_id	read_id	run_id	channel	mux	minknow_events	start_time	duration	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	median_template	mad_template	pore_type	experiment_id	sample_id	end_reason
PBG11294_pass_16ee63fc_0af2d590_1.fastq.gz	-	PBG11294_16ee63fc_0af2d590_0.pod5	407b399c-f860-40ea-a9f1-83c20ab67cb8	407b399c-f860-40ea-a9f1-83c20ab67cb8	0af2d590871668e412829923c101bf11d76c1d41	2530	2	3033	693.654600	4.969400	TRUE	693.656600	4139	4.967400	1927	24.851904	747.171814	125.193878	not_set	20250929_ORID0085C	LIS14-11-24	signal_positive
PBG11294_fail_16ee63fc_0af2d590_0.fastq.gz	-	PBG11294_16ee63fc_0af2d590_0.pod5	b7a579e6-4f72-47bd-93da-6c64a56244b3	b7a579e6-4f72-47bd-93da-6c64a56244b3	0af2d590871668e412829923c101bf11d76c1d41	2947	4	264	42.321200	0.470400	FALSE	42.323200	390	0.468400	5	2.372845	731.171814	125.193878	not_set	20250929_ORID0085C	LIS14-11-24	signal_positive
PBG11294_fail_16ee63fc_0af2d590_0.fastq.gz	-	PBG11294_16ee63fc_0af2d590_0.pod5	3603ad4b-fa25-4220-b6d7-e3b677d3c6f9	3603ad4b-fa25-4220-b6d7-e3b677d3c6f9	0af2d590871668e412829923c101bf11d76c1d41	2567	4	433	42.209000	0.651600	FALSE	42.211000	541	0.649600	26	6.785490	739.171814	125.193878	not_set	20250929_ORID0085C	LIS14-11-24	signal_positive
PBG11294_fail_16ee63fc_0af2d590_0.fastq.gz	-	PBG11294_16ee63fc_0af2d590_0.pod5	c4747568-b8e8-44fc-8a76-238fd06b664a	c4747568-b8e8-44fc-8a76-238fd06b664a	0af2d590871668e412829923c101bf11d76c1d41	2827	1	296	20.295200	0.487200	FALSE	20.297200	404	0.485200	7	3.590926	741.171814	125.193878	not_set	20250929_ORID0085C	LIS14-11-24	signal_positive
PBG11294_fail_16ee63fc_0af2d590_0.fastq.gz	-	PBG11294_16ee63fc_0af2d590_0.pod5	f5c74d52-6e79-43d2-9862-9c656d5fe696	f5c74d52-6e79-43d2-9862-9c656d5fe696	0af2d590871668e412829923c101bf11d76c1d41	2047	4	406	41.982200	0.809200	FALSE	41.984200	672	0.807200	5	1.953989	762.171814	125.193878	not_set	20250929_ORID0085C	LIS14-11-24	signal_positive
PBG11294_fail_16ee63fc_0af2d590_0.fastq.gz	-	PBG11294_16ee63fc_0af2d590_0.pod5	e5981c0f-977f-4917-b018-548e6a636a94	e5981c0f-977f-4917-b018-548e6a636a94	0af2d590871668e412829923c101bf11d76c1d41	2841	3	290	35.092600	0.475200	FALSE	35.094600	394	0.473200	4	1.471281	722.171814	125.193878	not_set	20250929_ORID0085C	LIS14-11-24	signal_positive
PBG11294_fail_16ee63fc_0af2d590_0.fastq.gz	-	PBG11294_16ee63fc_0af2d590_0.pod5	899d5515-5b01-44bf-b93a-d6505adba953	899d5515-5b01-44bf-b93a-d6505adba953	0af2d590871668e412829923c101bf11d76c1d41	2587	3	331	34.961600	0.605800	FALSE	34.963600	503	0.603800	7	2.861518	729.171814	125.193878	not_set	20250929_ORID0085C	LIS14-11-24	signal_positive
PBG11294_pass_16ee63fc_0af2d590_0.fastq.gz	-	PBG11294_16ee63fc_0af2d590_0.pod5	53f25ae5-74c9-4ab9-a942-a0f91db7d8aa	53f25ae5-74c9-4ab9-a942-a0f91db7d8aa	0af2d590871668e412829923c101bf11d76c1d41	2311	4	298	42.097000	0.542200	TRUE	42.099000	450	0.540200	79	7.874480	734.171814	125.193878	not_set	20250929_ORID0085C	LIS14-11-24	signal_positive
PBG11294_fail_16ee63fc_0af2d590_0.fastq.gz	-	PBG11294_16ee63fc_0af2d590_0.pod5	09f4c858-0a02-4a0d-9068-c336753eb563	09f4c858-0a02-4a0d-9068-c336753eb563	0af2d590871668e412829923c101bf11d76c1d41	2518	3	238	34.961600	0.443000	FALSE	34.963600	367	0.441000	10	2.227570	757.171814	125.193878	not_set	20250929_ORID0085C	LIS14-11-24	signal_positive
PBG11294_fail_16ee63fc_0af2d590_0.fastq.gz	-	PBG11294_16ee63fc_0af2d590_0.pod5	cc0c11dd-d5cc-4346-ac6e-c991bb9ef288	cc0c11dd-d5cc-4346-ac6e-c991bb9ef288	0af2d590871668e412829923c101bf11d76c1d41	2568	2	218	27.540800	0.423200	FALSE	27.542800	351	0.421200	9	3.074179	726.171814	125.193878	not_set	20250929_ORID0085C	LIS14-11-24	signal_positive
PBG11294_fail_16ee63fc_0af2d590_0.fastq.gz	-	PBG11294_16ee63fc_0af2d590_0.pod5	13bf03a2-aa38-4c28-8109-8368ba7e55e9	13bf03a2-aa38-4c28-8109-8368ba7e55e9	0af2d590871668e412829923c101bf11d76c1d41	1803	3	632	34.586600	0.980600	FALSE	34.588600	815	0.978600	5	3.322733	740.171814	125.193878	not_set	20250929_ORID0085C	LIS14-11-24	signal_positive
PBG11294_fail_16ee63fc_0af2d590_0.fastq.gz	-	PBG11294_16ee63fc_0af2d590_0.pod5	57fa4a06-ada9-4677-9e7e-6a62a4247d30	57fa4a06-ada9-4677-9e7e-6a62a4247d30	0af2d590871668e412829923c101bf11d76c1d41	2538	1	311	20.183000	0.599400	FALSE	20.185000	497	0.597400	4	1.942562	742.171814	125.193878	not_set	20250929_ORID0085C	LIS14-11-24	signal_positive
PBG11294_fail_16ee63fc_0af2d590_0.fastq.gz	-	PBG11294_16ee63fc_0af2d590_0.pod5	a0a29220-fc3d-449a-bc9a-b02704dbce04	a0a29220-fc3d-449a-bc9a-b02704dbce04	0af2d590871668e412829923c101bf11d76c1d41	19	4	759	41.056000	1.584400	FALSE	41.058000	1318	1.582400	30	4.532881	762.171814	125.193878	not_set	20250929_ORID0085C	LIS14-11-24	signal_positive
PBG11294_fail_16ee63fc_0af2d590_0.fastq.gz	-	PBG11294_16ee63fc_0af2d590_0.pod5	6f1c6d07-bcb3-4a02-91ab-20399caece19	6f1c6d07-bcb3-4a02-91ab-20399caece19	0af2d590871668e412829923c101bf11d76c1d41	2862	4	1898	42.321200	3.390800	FALSE	42.323200	2824	3.388800	1	1.000000	739.171814	125.193878	not_set	20250929_ORID0085C	LIS14-11-24	signal_positive
PBG11294_fail_16ee63fc_0af2d590_0.fastq.gz	-	PBG11294_16ee63fc_0af2d590_0.pod5	0fb6f2af-17ad-411a-8ddb-c4cd60736db8	0fb6f2af-17ad-411a-8ddb-c4cd60736db8	0af2d590871668e412829923c101bf11d76c1d41	944	4	764	41.418800	1.372600	FALSE	41.420800	1142	1.370600	4	1.229251	730.171814	125.193878	not_set	20250929_ORID0085C	LIS14-11-24	signal_positive
PBG11294_fail_16ee63fc_0af2d590_0.fastq.gz	-	PBG11294_16ee63fc_0af2d590_0.pod5	91fec545-540d-446f-b7f5-d33829371164	91fec545-540d-446f-b7f5-d33829371164	0af2d590871668e412829923c101bf11d76c1d41	2567	2	1265	27.540800	2.212000	FALSE	27.542800	1841	2.210000	2	1.471281	739.171814	125.193878	not_set	20250929_ORID0085C	LIS14-11-24	signal_positive
