channel,well,adapter,collinear_confidence,conductance,conductance_filtered_data,event,experiment_tag,flow_cell_id,group_1_adjusted_offset_0mv_pa,group_1_adjusted_offset_0mv_std,group_1_offset_voltage_mv,group_order,include_well,initial_0mv_current_pa,initial_0mv_current_std,initial_current_0_pa,initial_current_1_pa,initial_current_2_pa,initial_voltage_0_mv,initial_voltage_1_mv,initial_voltage_2_mv,intercept,intercept_adjusted_0mv_current_pa,intercept_adjusted_0mv_current_std,multiple,mux_scan_assessment,mux_uncertain,pore,pore_1,pore_median,pore_sd,previous_offset,reserve_pore_intercept_median_mv,scan_number,scan_offset_voltage_mv,scan_running_voltage_mv,seconds_since_start_of_run,strand,strand2,strand_median,strand_range,total_good_samples,total_time_active,transition,unavailable,unclassed,unknown_negative,unknown_positive,zero
24,2,16875,-0.04,0.983,True,43,sample3,PAW72062,5.569,0.52,12,1,1,15.693,0.692,42.43,52.259,62.084,-30,-40,-50,13.178,4.847,0.554,0,single_pore,0,432,872,235.77,1.03,0,12.658,1,13,-177,6,34061,0,98.92,73.8,51411,0.0,0,0,0,0,6017,0
24,3,661,3.09,0.903,True,3,sample3,PAW72062,5.178,0.564,12,2,1,14.021,0.635,38.232,47.107,56.291,-30,-40,-50,12.279,4.518,0.517,0,single_pore,0,2651,165,216.81,1.12,0,12.658,1,13,-177,6,54429,0,105.93,62.0,57744,0.0,0,0,0,0,0,0
24,4,0,,,False,0,sample3,PAW72062,,,12,0,0,,,,,,-30,-40,-50,,,,0,saturated,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,0
25,1,455,1.68,0.91,True,36,sample3,PAW72062,6.556,0.638,12,1,1,15.683,0.754,39.781,48.796,57.979,-30,-40,-50,13.688,5.619,0.625,0,single_pore,0,2068,21,217.5,1.08,0,12.658,1,13,-177,6,55070,0,111.07,62.5,57629,0.0,0,0,0,0,0,0
25,2,0,,,False,0,sample3,PAW72062,,,12,0,0,,,,,,-30,-40,-50,,,,0,saturated,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,0
25,3,719,6.34,0.897,True,50,sample3,PAW72062,5.545,0.591,12,2,1,14.572,0.603,38.391,47.049,56.341,-30,-40,-50,12.636,4.878,0.511,0,single_pore,0,3349,0,212.95,1.0,0,12.658,1,13,-177,6,50229,0,106.16,61.7,54347,0.0,0,0,0,0,0,0
25,4,5225,12.97,1.137,False,2427,sample3,PAW72062,4.576,0.799,12,0,0,15.836,1.137,44.587,55.304,67.318,-30,-40,-50,8.987,4.173,0.649,0,other,0,962,41881,178.42,1.68,0,12.658,1,13,-177,6,0,0,,,8614,0.0,0,0,0,0,5048,0
26,1,0,0.96,0.893,True,0,sample3,PAW72062,5.384,0.647,12,1,1,14.298,0.703,38.18,47.057,56.03,-30,-40,-50,12.76,4.468,0.624,0,single_pore,0,0,0,,,0,12.658,1,13,-177,6,55056,0,102.22,62.4,55056,0.0,0,0,0,0,0,0
26,2,0,,,False,0,sample3,PAW72062,,,12,0,0,,,,,,-30,-40,-50,,,,0,saturated,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,0
26,3,914,5.24,0.898,True,28,sample3,PAW72062,4.632,0.673,12,3,1,13.632,0.653,37.563,46.282,55.525,-30,-40,-50,11.713,3.904,0.468,0,single_pore,0,2538,45,213.84,0.97,0,12.658,1,13,-177,6,55048,0,107.71,63.2,58528,0.0,0,0,0,0,0,0
