SampleNumber	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90
L3T1110	17.68529	0.7861624	0.9817621	0.7996794	0.8844923	0.8083197	0.8857645	0.9511764	1.0582	0.8708692	0.8257594	0.8755869	1.027826	1.099122	1.458994	1.295729	1.088149	1.053959	1.18738	1.02931	1.109989	1.076646	1.257139	1.318469	1.36835	1.022313	1.130344	1.016906	0.8551788	0.8444712	0.8728305	0.9113674	0.8941928	0.8614868	0.8053513	1.033021	1.016482	0.8717704	1.117251	1.364904	1.2027	1.140998	0.9929998	0.9993077	1.052687	1.032544	1.19671	1.021518	1.037686	0.836308	0.9527136	1.013143	0.9919396	0.9691991	0.9082929	1.30209	1.137447	0.8178082	1.06138	0.6215724	0.6110768	0.8421919	0.7887597	0.8306891	0.7117921	0.6011643	0.7932124	0.5019862	0.6275623	0.6413974	0.7263693	0.7347976	0.803549	0.5526619	0.5935841	0.7426427	0.6438888	0.803814	0.7662313	0.8187623	0.6609573	0.9140708	0.9857377	0.6671063	0.7504349	0.632015	0.7212275	0.6836448	0.8155288	0.6089565	0.7331543
L3T1111	17.56608	0.7820821	0.9881742	0.8087224	0.8966775	0.805868	0.8854188	0.9192478	1.040292	0.8765916	0.8339883	0.8590429	1.036433	1.082102	1.463787	1.305479	1.11683	1.051762	1.196592	1.031095	1.134273	1.076129	1.258805	1.311187	1.359446	1.023642	1.132106	1.033843	0.8400141	0.8387984	0.8636943	0.9001661	0.9004833	0.8651744	0.8212496	1.043992	1.022267	0.8847317	1.140351	1.345175	1.211551	1.139453	1.00419	1.005459	1.051233	1.027289	1.207745	1.01862	1.033315	0.8318212	0.9366379	1.003767	0.9949399	0.984527	0.8895946	1.320067	1.155257	0.8189767	1.065875	0.6160033	0.5974503	0.8551843	0.788055	0.8275925	0.7217715	0.6018903	0.7866807	0.5008793	0.6325477	0.6523694	0.7280087	0.7380517	0.8069781	0.5513584	0.5954417	0.7406945	0.646185	0.8012166	0.7817649	0.8158581	0.6699181	0.9055048	0.9995386	0.6558051	0.7376288	0.6326006	0.7299644	0.6794854	0.8177082	0.6064361	0.7373116
L3T1112	16.71972	0.8016281	1.002456	0.8324287	0.8973346	0.8006928	0.8982699	0.9619287	1.062561	0.8918479	0.8482655	0.8712725	1.039429	1.090618	1.472073	1.306223	1.128153	1.074033	1.194555	1.062748	1.140311	1.082887	1.287892	1.340141	1.382788	1.033568	1.155773	1.057012	0.8559345	0.8600496	0.8654117	0.9005144	0.879752	0.8710855	0.8236375	1.034878	1.032508	0.8957135	1.131956	1.370256	1.227538	1.162944	1.012681	1.030638	1.05165	1.042297	1.21432	1.006135	1.030389	0.8274408	0.9467778	1.017357	1.017233	0.9818806	0.9147925	1.331287	1.169054	0.8203953	1.062062	0.6283587	0.612896	0.8548122	0.8005681	0.8438387	0.7324201	0.5981192	0.8020022	0.4977987	0.6374617	0.6700082	0.7343529	0.7564247	0.817839	0.5473666	0.5953134	0.7673358	0.643572	0.8172155	0.779681	0.8149709	0.6668284	0.9180347	0.9960963	0.671754	0.7450147	0.6314762	0.7114083	0.6923917	0.8187742	0.6183828	0.7523096
L3T1113	17.00331	0.7931682	0.9900499	0.8238534	0.9002877	0.8101535	0.8948325	0.9411394	1.067724	0.8822485	0.8353217	0.8773512	1.053032	1.087003	1.479651	1.310107	1.115953	1.067538	1.207698	1.031893	1.125995	1.105476	1.290952	1.331865	1.3778	1.033381	1.145708	1.033319	0.8503854	0.8667508	0.8596219	0.9158473	0.891609	0.8632794	0.8093477	1.056938	1.023401	0.891733	1.13238	1.35505	1.2395	1.149985	1.020053	1.034125	1.064129	1.029042	1.215385	1.026562	1.034063	0.8425746	0.9554592	1.0053	1.015156	0.9793256	0.9061148	1.322133	1.17131	0.8276968	1.058425	0.6359603	0.6083126	0.8419547	0.78108	0.8246593	0.7104729	0.6060189	0.7861632	0.5147069	0.6304432	0.6540615	0.7285121	0.7381826	0.813997	0.5515293	0.5845082	0.7526264	0.6416634	0.8075499	0.780832	0.8210639	0.6558592	0.917583	0.9785197	0.6554873	0.7351451	0.6260418	0.7241108	0.6992526	0.82001	0.5962244	0.7479771
L3T1114	17.40975	0.7923109	0.9966134	0.8415335	0.8809691	0.7995792	0.8854308	0.9483264	1.064906	0.8838477	0.8380793	0.8577251	1.043893	1.090093	1.465955	1.289934	1.095634	1.069512	1.186523	1.024391	1.128593	1.083113	1.285976	1.349807	1.385357	1.030148	1.119958	1.038424	0.8575812	0.8536233	0.8790981	0.9209805	0.8062717	0.877443	0.815411	1.040727	1.046268	0.8989598	1.12298	1.348512	1.227254	1.161552	1.001003	1.01813	1.067353	1.016475	1.227902	1.030364	1.036337	0.8321783	0.9504852	1.024247	0.9987004	0.9717862	0.9003991	1.346065	1.160905	0.8077829	1.05404	0.6249253	0.590671	0.8452036	0.7646772	0.8344811	0.7104892	0.5895916	0.7861221	0.4946006	0.6068627	0.642916	0.7253135	0.7438799	0.8110213	0.5528186	0.5817476	0.7464706	0.6443553	0.8218157	0.764965	0.8178577	0.6611226	0.9232833	0.9898489	0.6547899	0.7188369	0.6305384	0.7034368	0.6732124	0.8190091	0.6016813	0.7362519
L3T1115	17.98644	0.7838038	0.987486	0.8200692	0.8834093	0.7906346	0.8714244	0.9205441	1.048901	0.8767027	0.8236088	0.8559619	1.021143	1.100194	1.474895	1.288973	1.095537	1.041263	1.183778	1.047535	1.114104	1.068835	1.266928	1.300151	1.351444	1.029092	1.140558	1.03201	0.8529191	0.8312468	0.8617992	0.9006726	0.8965121	0.865463	0.804793	1.038717	1.019218	0.8774479	1.097338	1.350202	1.213275	1.122363	1.012698	1.032693	1.060948	1.032507	1.197813	1.014747	1.03586	0.8336066	0.9387389	0.9977322	0.9868029	0.9779849	0.8908611	1.299219	1.13944	0.8113133	1.047535	0.6087489	0.6147724	0.8440391	0.7876539	0.819945	0.7147506	0.5962051	0.7803263	0.5066594	0.6253912	0.6346439	0.7240032	0.7313308	0.8004461	0.5549718	0.5931001	0.7507675	0.6306696	0.7962855	0.7484078	0.8028679	0.6610977	0.9129681	0.9730171	0.6638921	0.7312066	0.6243355	0.7132602	0.6668107	0.8034268	0.6077553	0.7283501
L3T1116	17.61664	0.7868263	0.9737498	0.8175424	0.8920545	0.8060708	0.8909824	0.9390132	1.054963	0.8818694	0.8238143	0.8761872	1.042419	1.08986	1.459633	1.295974	1.100099	1.063325	1.184903	1.042848	1.103047	1.073028	1.257057	1.318221	1.354994	1.013579	1.147218	1.016045	0.8394672	0.845203	0.8610703	0.891572	0.8837456	0.8649299	0.821402	1.036147	1.016527	0.8800468	1.1239	1.357675	1.193587	1.140625	1.001678	1.021995	1.061395	1.0295	1.204148	0.9989981	1.028374	0.8376446	0.9569175	1.022049	1.018511	0.9765909	0.9085115	1.316988	1.125722	0.7963681	1.076298	0.6296004	0.6007068	0.8446669	0.7835563	0.8212412	0.7243219	0.5943814	0.7866654	0.5225496	0.6255263	0.6542055	0.7305938	0.7274846	0.8108417	0.5595912	0.5898785	0.7480693	0.6488449	0.8003885	0.7825378	0.8136828	0.6646586	0.9124783	0.9827555	0.666374	0.7290392	0.6299756	0.7155841	0.6808476	0.8145405	0.6027975	0.7420654
L3T1117	17.73584	0.7790696	0.9702765	0.825152	0.8940862	0.809719	0.8866675	0.9327499	1.034283	0.8784907	0.8412349	0.8521733	1.038074	1.096881	1.44778	1.306229	1.100022	1.050095	1.183956	1.030926	1.121574	1.077062	1.267132	1.31224	1.345109	1.01154	1.126069	1.029788	0.8677688	0.844863	0.8630577	0.9095733	0.8977143	0.854556	0.8295924	1.040023	1.018308	0.8748626	1.144426	1.350308	1.204371	1.138632	1.01181	1.012514	1.042189	1.036611	1.191537	1.009428	1.017496	0.8184915	0.9440133	1.028922	0.9885796	0.9676773	0.9023171	1.312998	1.134841	0.8098273	1.070456	0.6073569	0.6114724	0.8511445	0.7709469	0.825856	0.7209656	0.5924113	0.784593	0.5086398	0.6315624	0.6495947	0.7180956	0.7341784	0.8106937	0.5508234	0.5886749	0.7440339	0.6521398	0.7919575	0.7721383	0.8175167	0.6577173	0.9012883	0.9906373	0.6564177	0.7352615	0.6279343	0.7301171	0.6820311	0.8161088	0.6081151	0.73759
L3T1118	18.03871	0.7866836	0.9843265	0.8170411	0.8899522	0.8029808	0.8791939	0.9199368	1.040301	0.8756788	0.8205561	0.8520853	1.027519	1.083814	1.459394	1.300097	1.098353	1.04861	1.172543	1.019051	1.108313	1.045627	1.23853	1.298553	1.318951	1.026507	1.114704	1.025815	0.8437769	0.8330719	0.8642282	0.9055037	0.8881946	0.8538961	0.7927551	1.030768	1.020116	0.8762114	1.12216	1.350959	1.201036	1.132492	1.009039	1.004884	1.049568	1.007388	1.216268	0.999878	1.032046	0.8288112	0.9395892	1.021448	0.9891198	0.9872557	0.9070482	1.303985	1.120988	0.8099577	1.058676	0.6176939	0.6110366	0.8432443	0.7613325	0.8386108	0.718193	0.5892005	0.7995722	0.5065431	0.6279196	0.6532174	0.7315077	0.733425	0.8113424	0.5498956	0.5878691	0.7442365	0.6432581	0.7992527	0.7732092	0.8150705	0.6640289	0.9092851	0.9849124	0.669195	0.7361412	0.6223807	0.7261285	0.6799	0.8181595	0.6099181	0.7293773
L3T1119	16.93186	0.8031032	1.000768	0.8463867	0.9018178	0.8085284	0.8866627	0.9433912	1.053664	0.880294	0.8485096	0.8876062	1.049241	1.102608	1.483314	1.316431	1.107149	1.036268	1.184812	1.044111	1.123896	1.077959	1.261649	1.320618	1.369445	1.027364	1.13687	1.04417	0.8525195	0.8481558	0.8729818	0.909248	0.8851295	0.8622494	0.8181404	1.057379	1.028661	0.8815914	1.127965	1.36113	1.213176	1.146187	1.014744	1.004955	1.05962	1.062745	1.236115	1.031786	1.030784	0.8426126	0.9632049	1.02754	0.9947535	0.9864388	0.8928545	1.326043	1.160457	0.8117127	1.059856	0.6214187	0.6147552	0.8498069	0.7802231	0.8420819	0.7325169	0.60933	0.8013931	0.5129152	0.6320332	0.6460679	0.7338732	0.738119	0.8371285	0.5606803	0.6041407	0.7354064	0.6519059	0.8095309	0.7892454	0.8340031	0.6639946	0.9244031	0.9848467	0.6739604	0.7451364	0.6384019	0.7309248	0.6858132	0.8213247	0.6018409	0.7435442
L3T1120	17.40507	0.7853285	0.9925084	0.8162833	0.8982864	0.8120474	0.8837865	0.9342917	1.047087	0.8811798	0.8497905	0.8577736	1.036117	1.086622	1.460089	1.316556	1.093084	1.051051	1.18079	1.041493	1.122464	1.072774	1.262358	1.310963	1.351204	1.023029	1.124202	1.037257	0.8654851	0.8277963	0.8718933	0.9074099	0.8810168	0.8485958	0.8185642	1.045077	1.031283	0.8820487	1.116979	1.355114	1.209083	1.14234	1.010484	1.018467	1.056699	1.029057	1.213808	1.017381	1.022703	0.8396352	0.9448272	1.020313	0.995441	0.9856658	0.8997526	1.305641	1.133651	0.8214424	1.073588	0.6205621	0.6100266	0.85218	0.7831562	0.832521	0.7147299	0.6010117	0.7900532	0.5098309	0.6289254	0.6521686	0.7244508	0.7441098	0.817641	0.5509953	0.5965043	0.7636059	0.6443484	0.8068339	0.7839165	0.8168807	0.6585225	0.9171308	0.9903361	0.6630842	0.7477483	0.6490731	0.7351492	0.6889885	0.8255154	0.6119274	0.7433495
L3T1121	17.76416	0.7939303	0.9920623	0.8080566	0.9035131	0.8002144	0.8766627	0.9143675	1.054904	0.8738582	0.8384385	0.8610303	1.042076	1.091726	1.462334	1.297128	1.091414	1.046646	1.163032	1.028624	1.115408	1.074327	1.254438	1.295207	1.34896	1.029611	1.117174	1.032623	0.8550577	0.8435282	0.8498642	0.8934896	0.8755721	0.85485	0.8150678	1.040621	1.031533	0.8844529	1.119355	1.370253	1.200893	1.137065	1.008006	1.006968	1.055683	1.036571	1.21263	1.005929	1.012888	0.8337644	0.9398157	1.01455	0.99388	0.9849472	0.9007605	1.296557	1.125639	0.8167817	1.062902	0.6139755	0.6067565	0.8477349	0.781362	0.8367247	0.7160278	0.6030172	0.7951767	0.5090668	0.6385408	0.6557312	0.730206	0.7283364	0.805356	0.559236	0.6031211	0.7571083	0.6481487	0.8031747	0.7664047	0.8135617	0.6617038	0.9030976	0.9816233	0.6552638	0.7341011	0.627946	0.7285441	0.6801407	0.8176126	0.6066527	0.7327508
