SampleNumber	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90
SampleName	None	CT304_1434281_TP53_CAPPSEQ	RMGEM162_71300511_TP53_CAPPSEQ	RMGEM18_1738932_TP53_CAPPSEQ	RM576_1328892_TP53_CAPPSEQ	RMPTV275_71018943_CD19_CAPPSEQ	RMPTV275_75749577_risortato_CD19_CAPPSEQ	RMPTV275_71018943_CD3_CAPPSEQ	RMPTV275_75749577_risortato_CD3_CAPPSEQ	UD76_1575916_CD19_CAPPSEQ	TS399_73474005_CD19_CAPPSEQ	RMGEM336_74329796_CD19_CAPPSEQ	CRO103_1508198_rifatto_CD19_CAPPSEQ	RMPTV238_1693390_rifatto_CD19_CAPPSEQ	RMPTV238_75720908_rifatto_CD19_CAPPSEQ	RMGEM353_74554258_CD19_CAPPSEQ	CT225_737450_CD19_CAPPSEQ	CT421_1741622_CD19_CAPPSEQ	RM682_1180273_CD19_CAPPSEQ	RMSA98_74333761_CD19_CAPPSEQ	CT515_71596181_CD19_CAPPSEQ	CT274_754027_CD19_CAPPSEQ	CT366_1548706_CD19_CAPPSEQ	RIO72_1215551_CD19_CAPPSEQ	RM222_17896_CD19_CAPPSEQ	UD76_1575916_CD3_CAPPSEQ	TS399_73474005_CD3_CAPPSEQ	RMGEM336_74329796_CD3_CAPPSEQ	CRO103_1508198_rifatto_CD3_CAPPSEQ	RMPTV238_1693390_rifatto_CD3_CAPPSEQ	RMPTV238_75720908_rifatto_CD3_CAPPSEQ	RMGEM353_74554258_CD3_CAPPSEQ	CT225_737450_CD3_CAPPSEQ	CT421_1741622_CD3_CAPPSEQ	RM682_1180273_CD3_CAPPSEQ	RMSA98_74333761_CD3_CAPPSEQ	CT515_71596181_CD3_CAPPSEQ	CT274_754027_CD3_CAPPSEQ	CT366_1548706_CD3_CAPPSEQ	RIO72_1215551_CD3_CAPPSEQ	RM222_17896_CD3_CAPPSEQ	CT385_76313131_CD19_CAPPSEQ	RMPTV599_74204575_CD19_CAPPSEQ	CT385_73682553_CD19_CAPPSEQ	CT86_801852_CD19_CAPPSEQ	CT56_982721_CD19_CAPPSEQ	CT56_72349293_CD19_CAPPSEQ	RMPTV153_1638020_CD19_CAPPSEQ	CT404_1656880_CD19_CAPPSEQ	RMPTV105_742756_CD19_CAPPSEQ	CT385_76313131_CD3_CAPPSEQ	RMPTV599_74204575_CD3_CAPPSEQ	CT385_73682553_CD3_CAPPSEQ	CT86_801852_CD3_CAPPSEQ	CT56_982721_CD3_CAPPSEQ	CT56_72349293_CD3_CAPPSEQ	RMPTV153_1638020_CD3_CAPPSEQ	CT404_1656880_CD3_CAPPSEQ	RMPTV105_742756_CD3_CAPPSEQ	RMPTV441_71641950_TP53_CAPPSEQ	CT265_1308463_TP53_CAPPSEQ	RMPTV354_1725423_TP53_CAPPSEQ	RMPTV472_71854414_TP53_CAPPSEQ	TS242_72258495_TP53_CAPPSEQ	UD185_71424472_TP53_CAPPSEQ	RM731_1731335_TP53_CAPPSEQ	CT297_1716527_TP53_CAPPSEQ	RMGEM113_1728098_TP53_CAPPSEQ	RM499_1781010_TP53_CAPPSEQ	RMPTV162_71070456_TP53_CAPPSEQ	RMPTV13_1754919_TP53_CAPPSEQ	RMGEM15_70900705_TP53_CAPPSEQ	RM442_1444318_TP53_CAPPSEQ	RM678_1798162_TP53_CAPPSEQ	UD162_1740075_TP53_CAPPSEQ	CT398_1649277_TP53_CAPPSEQ	CT92_72077680_TP53_CAPPSEQ	RMGEM128_70992690_TP53_CAPPSEQ	RMGEM36_1783087_TP53_CAPPSEQ	RM113_1296957_TP53_CAPPSEQ	RMSA41_72195363_TP53_CAPPSEQ	RMPTV324_1711993_TP53_CAPPSEQ	RMSA25_71794251_TP53_CAPPSEQ	TS134_71741925_TP53_CAPPSEQ	UD13_1434331_TP53_CAPPSEQ	CT151_71530455_TP53_CAPPSEQ	CT447_1789524_TP53_CAPPSEQ	RMPTV133_71453788_TP53_CAPPSEQ	UD22_1297016_TP53_CAPPSEQ	TS235_1569503_TP53_CAPPSEQ	TS31_1776222_TP53_CAPPSEQ
L4T1101	17.51678	0.8077695	0.9895979	0.8280811	0.9056556	0.8166936	0.8887371	0.9357744	1.053228	0.8664268	0.8450927	0.8661944	1.040214	1.075446	1.455277	1.303196	1.122065	1.041469	1.191691	1.025527	1.115929	1.080791	1.242122	1.287021	1.318023	1.020972	1.133638	1.02641	0.8564802	0.8356573	0.8600126	0.906074	0.8779073	0.8561084	0.8336122	1.042956	1.022645	0.8750256	1.123413	1.357252	1.187415	1.126806	1.00898	1.030128	1.053926	1.026782	1.20438	1.01558	1.033846	0.8348672	0.9455352	1.01637	0.9971276	0.9776991	0.8868314	1.303847	1.145305	0.81014	1.061781	0.6167382	0.6062803	0.840863	0.78611	0.8326826	0.7435812	0.6053972	0.7967539	0.5153197	0.649181	0.6540149	0.7263837	0.7297302	0.8145556	0.5574767	0.6066057	0.7490193	0.6502965	0.805492	0.7666815	0.8041906	0.6709335	0.9182516	0.9861584	0.6627996	0.7519475	0.6427204	0.7289866	0.6802759	0.8204585	0.6185974	0.7472066
L4T1102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L4T1103	17.317	0.8013184	0.9873075	0.8272152	0.8907692	0.7958276	0.8919375	0.9447045	1.06235	0.8707528	0.8446614	0.8799821	1.04428	1.09841	1.468636	1.313022	1.101097	1.057754	1.160173	1.026406	1.121036	1.073915	1.242147	1.277234	1.317033	1.007168	1.12271	1.032208	0.8557989	0.8459854	0.8550979	0.907125	0.883448	0.8533845	0.8331344	1.041788	1.036414	0.8741797	1.136107	1.357572	1.189029	1.134471	1.01706	1.018695	1.066127	1.037387	1.208033	0.9868402	1.033299	0.832044	0.9516752	1.026367	0.9896051	0.9776887	0.9029971	1.29764	1.11387	0.8327839	1.06784	0.6140053	0.6178217	0.863159	0.7777193	0.8377686	0.7473053	0.5977663	0.8041223	0.5088608	0.6369814	0.6619824	0.7335586	0.7377644	0.8111319	0.5647821	0.6063726	0.7565736	0.6625665	0.8104699	0.792128	0.8236714	0.6860488	0.914563	1.001327	0.6755733	0.7492135	0.6413819	0.7431384	0.6959792	0.8277603	0.6092933	0.7486683
L4T1104	17.76996	0.7872831	0.9696319	0.8199686	0.8893721	0.806941	0.8982123	0.9335344	1.036011	0.8623474	0.8379205	0.8680858	1.048535	1.084593	1.46732	1.303234	1.1103	1.046906	1.158107	1.028063	1.105066	1.060787	1.225261	1.293036	1.339409	1.020618	1.104833	1.033103	0.8576171	0.8362145	0.8493973	0.8896435	0.8764995	0.8492422	0.8215971	1.047255	1.046441	0.8688612	1.12957	1.367286	1.172957	1.127205	0.9999135	1.016625	1.045278	1.030156	1.20099	0.9890959	1.023953	0.8347799	0.9443908	1.021432	0.9847533	0.982078	0.8935208	1.312733	1.12674	0.8147343	1.056483	0.6249411	0.6176906	0.8445119	0.7627011	0.8218297	0.7317604	0.6010958	0.7990313	0.5195177	0.6457621	0.6572001	0.7321869	0.730791	0.8110509	0.5513502	0.6061363	0.7563811	0.6605346	0.8011638	0.7689048	0.8094224	0.6867838	0.9077892	0.98549	0.6527413	0.7399027	0.6373484	0.7380416	0.6893816	0.8208217	0.6147826	0.7470757
L4T1105	17.61164	0.7858334	0.9839162	0.8190907	0.8939484	0.8013663	0.8871432	0.9296664	1.04055	0.876224	0.8457734	0.8664583	1.056698	1.090801	1.465474	1.312875	1.111178	1.049585	1.154355	1.035013	1.116638	1.046086	1.224138	1.283809	1.31572	1.017596	1.130787	1.031092	0.8458503	0.8525018	0.8570002	0.8892578	0.8711105	0.8658047	0.819206	1.052007	1.023825	0.875109	1.134631	1.378159	1.192957	1.13317	1.011675	1.026439	1.037282	1.020864	1.21245	1.002756	1.033937	0.8270878	0.9414314	1.015751	0.9872996	0.9837239	0.8944098	1.302609	1.112447	0.8101708	1.061081	0.621354	0.6193162	0.8462732	0.7774518	0.823666	0.7361589	0.6155099	0.7973677	0.5083176	0.6485365	0.6517661	0.7339674	0.7353131	0.8084407	0.5619906	0.6048983	0.7593044	0.6608398	0.7986365	0.7791819	0.8088251	0.6755268	0.9247066	0.9892604	0.6678373	0.7477317	0.6371175	0.7339674	0.6791409	0.835777	0.616548	0.7398114
L4T1106	17.7289	0.7986512	0.9770428	0.8196384	0.8831875	0.8110634	0.8816996	0.9421554	1.049793	0.8685043	0.8426226	0.8686217	1.043489	1.085307	1.449139	1.31926	1.107469	1.041532	1.165928	1.038556	1.11902	1.045643	1.204653	1.284882	1.32251	1.019957	1.121174	1.023599	0.8426618	0.8478694	0.8499838	0.9037049	0.8859284	0.8420744	0.8130603	1.05273	1.029903	0.8749258	1.119138	1.360922	1.188756	1.112129	1.007036	1.016198	1.053826	1.031077	1.194551	0.9990481	1.03417	0.8294273	0.9479113	1.006683	0.9988132	0.9798229	0.8973226	1.291656	1.120821	0.8093797	1.070037	0.6171662	0.6168922	0.8521374	0.7689714	0.8327946	0.7373339	0.6058112	0.7993951	0.5063567	0.6413251	0.6528759	0.7402314	0.7423458	0.8109851	0.5609	0.6022089	0.7551105	0.6595715	0.803389	0.7788386	0.8082442	0.676604	0.9128281	0.9957591	0.6621557	0.7457132	0.6426564	0.7432855	0.6876458	0.8219094	0.6043233	0.7386652
L4T1107	17.66792	0.7879536	0.97387	0.819996	0.8859197	0.8040726	0.8870151	0.9237524	1.046797	0.8643624	0.8439007	0.867375	1.034551	1.1065	1.445899	1.327471	1.107126	1.045623	1.163073	1.031617	1.112916	1.055169	1.220076	1.285843	1.320037	1.011311	1.126531	1.033338	0.8475001	0.8302465	0.8530948	0.8900277	0.8782905	0.8485955	0.8233215	1.058377	1.025983	0.8834157	1.113229	1.380327	1.183769	1.134591	1.02074	1.020427	1.052431	1.024261	1.190029	0.9958576	1.03326	0.828212	0.941945	1.033886	0.9901064	0.970701	0.9012171	1.29895	1.123401	0.819996	1.05646	0.6131093	0.6238292	0.8514907	0.7771554	0.8277817	0.7357233	0.6080232	0.8025077	0.5048928	0.6426087	0.6531721	0.7284463	0.7379534	0.8041118	0.5673736	0.6010592	0.7573979	0.657241	0.809863	0.7888143	0.8201916	0.6680783	0.9090027	0.9985962	0.6606056	0.7557156	0.6356837	0.7411615	0.6850189	0.8235954	0.618391	0.7387359
L4T1108	17.63538	0.7889153	0.9879212	0.8194676	0.8869247	0.8207154	0.8893068	0.9449287	1.044072	0.8728207	0.8407559	0.855843	1.05432	1.086195	1.470406	1.305204	1.102341	1.025507	1.166244	1.027397	1.120869	1.05432	1.204888	1.260964	1.318287	0.9978659	1.122344	1.017604	0.8487721	0.83187	0.8542549	0.8951299	0.8739929	0.8561077	0.8251394	1.06744	1.037191	0.8649935	1.117995	1.38166	1.17392	1.128583	1.017906	1.013255	1.050425	1.023162	1.212072	0.9788841	1.054925	0.8390543	0.9502602	1.023427	0.983951	0.9725695	0.8913109	1.29628	1.110282	0.8174635	1.058441	0.6249991	0.6157729	0.8573933	0.7816931	0.8220766	0.7475864	0.6036351	0.7967046	0.5077432	0.6490855	0.6390652	0.7335959	0.7380956	0.8108464	0.5592435	0.6151301	0.7655473	0.6604292	0.8058552	0.789974	0.8154973	0.6772178	0.9197835	0.9901522	0.6597485	0.770841	0.6521861	0.7492124	0.6786925	0.8263872	0.6228438	0.7404399
L4T1109	17.14493	0.8002694	0.9904	0.8149425	0.8897936	0.8184715	0.8887411	0.9526958	1.071504	0.8754301	0.8731394	0.8612524	1.057884	1.108404	1.464519	1.3363	1.122396	1.060236	1.173535	1.046306	1.124377	1.068842	1.230741	1.299958	1.336981	1.019808	1.137316	1.035038	0.8614381	0.8584664	0.8490558	0.8857694	0.6843709	0.8560518	0.8405739	1.055841	1.043025	0.8871314	1.132239	1.400379	1.198485	1.130382	1.02798	1.023027	1.055098	1.038939	1.217306	0.9928145	1.036772	0.8434218	0.9453283	1.033924	1.001173	0.995972	0.9060145	1.309864	1.146851	0.8265819	1.061413	0.6164539	0.6231403	0.80968	0.77049	0.8247245	0.7362528	0.6130487	0.7974834	0.5196241	0.6521769	0.6567583	0.7336525	0.7483875	0.807575	0.5459366	0.6060527	0.7789099	0.6509386	0.8200812	0.759284	0.841936	0.6870331	0.9276216	1.010336	0.6770034	0.759222	0.6436331	0.7430012	0.6796656	0.8340113	0.6173826	0.7586029
