SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	2462201	342925
1	1101	15492	15492
2	1101	19321	19321
3	1101	16531	16531
4	1101	17652	17652
5	1101	15865	15865
6	1101	17760	17760
7	1101	18314	18314
8	1101	20999	20999
9	1101	16925	16925
10	1101	16585	16585
11	1101	17378	17378
12	1101	20488	20488
13	1101	21500	21500
14	1101	29176	29176
15	1101	26043	26043
16	1101	22095	22095
17	1101	21071	21071
18	1101	23677	23677
19	1101	20315	20315
20	1101	22177	22177
21	1101	21223	21223
22	1101	25040	25040
23	1101	25789	25789
24	1101	26712	26712
25	1101	20266	20266
26	1101	22456	22456
27	1101	20088	20088
28	1101	16702	16702
29	1101	16744	16744
30	1101	17024	17024
31	1101	17983	17983
32	1101	17415	17415
33	1101	16996	16996
34	1101	15895	15895
35	1101	20376	20376
36	1101	19974	19974
37	1101	17516	17516
38	1101	22181	22181
39	1101	26840	26840
40	1101	23846	23846
41	1101	22299	22299
42	1101	19915	19915
43	1101	20282	20282
44	1101	20820	20820
45	1101	20297	20297
46	1101	24323	24323
47	1101	19804	19804
48	1101	20863	20863
49	1101	16451	16451
50	1101	18694	18694
51	1101	19827	19827
52	1101	19972	19972
53	1101	19020	19020
54	1101	17961	17961
55	1101	25823	25823
56	1101	22688	22688
57	1101	16276	16276
58	1101	21139	21139
59	1101	12130	12130
60	1101	12101	12101
61	1101	16659	16659
62	1101	15370	15370
63	1101	16272	16272
64	1101	14226	14226
65	1101	11869	11869
66	1101	15648	15648
67	1101	10219	10219
68	1101	12591	12591
69	1101	12860	12860
70	1101	14389	14389
71	1101	14234	14234
72	1101	15956	15956
73	1101	10896	10896
74	1101	11705	11705
75	1101	14665	14665
76	1101	12767	12767
77	1101	15560	15560
78	1101	15301	15301
79	1101	16024	16024
80	1101	13114	13114
81	1101	18216	18216
82	1101	19544	19544
83	1101	13075	13075
84	1101	14529	14529
85	1101	12521	12521
86	1101	14342	14342
87	1101	13485	13485
88	1101	16220	16220
89	1101	11732	11732
90	1101	14599	14599
0	1102	2450876	348479
1	1102	15707	15707
2	1102	19899	19899
3	1102	16293	16293
4	1102	18056	18056
5	1102	15947	15947
6	1102	17656	17656
7	1102	18436	18436
8	1102	20871	20871
9	1102	17421	17421
10	1102	16884	16884
11	1102	17302	17302
12	1102	20738	20738
13	1102	21685	21685
14	1102	29218	29218
15	1102	25644	25644
16	1102	22013	22013
17	1102	21343	21343
18	1102	24028	24028
19	1102	20482	20482
20	1102	22167	22167
21	1102	21253	21253
22	1102	24843	24843
23	1102	26221	26221
24	1102	26618	26618
25	1102	20381	20381
26	1102	22627	22627
27	1102	20349	20349
28	1102	16866	16866
29	1102	16681	16681
30	1102	17468	17468
31	1102	17979	17979
32	1102	17702	17702
33	1102	16909	16909
34	1102	16164	16164
35	1102	20519	20519
36	1102	20369	20369
37	1102	17384	17384
38	1102	22541	22541
39	1102	26934	26934
40	1102	23860	23860
41	1102	22926	22926
42	1102	20081	20081
43	1102	20063	20063
44	1102	21008	21008
45	1102	20619	20619
46	1102	24362	24362
47	1102	20081	20081
48	1102	20568	20568
49	1102	16433	16433
50	1102	18983	18983
51	1102	20194	20194
52	1102	20060	20060
53	1102	19548	19548
54	1102	17838	17838
55	1102	25966	25966
56	1102	22880	22880
57	1102	16282	16282
58	1102	21248	21248
59	1102	12436	12436
60	1102	12101	12101
61	1102	16726	16726
62	1102	15358	15358
63	1102	16502	16502
64	1102	14150	14150
65	1102	11961	11961
66	1102	15958	15958
67	1102	10199	10199
68	1102	12799	12799
69	1102	12874	12874
70	1102	14481	14481
71	1102	14587	14587
72	1102	16196	16196
73	1102	10982	10982
74	1102	11828	11828
75	1102	15103	15103
76	1102	12735	12735
77	1102	15759	15759
78	1102	15261	15261
79	1102	16307	16307
80	1102	13393	13393
81	1102	18286	18286
82	1102	19528	19528
83	1102	13150	13150
84	1102	14741	14741
85	1102	12644	12644
86	1102	14347	14347
87	1102	13466	13466
88	1102	15985	15985
89	1102	12028	12028
90	1102	14559	14559
0	1103	2468678	347779
1	1103	15198	15198
2	1103	19134	19134
3	1103	16351	16351
4	1103	17469	17469
5	1103	15708	15708
6	1103	17300	17300
7	1103	18240	18240
8	1103	20752	20752
9	1103	16980	16980
10	1103	16494	16494
11	1103	17178	17178
12	1103	20189	20189
13	1103	21415	21415
14	1103	28742	28742
15	1103	25665	25665
16	1103	21784	21784
17	1103	20761	20761
