SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	2722842	312097
1	1101	12845	12845
2	1101	16149	16149
3	1101	13201	13201
4	1101	14907	14907
5	1101	13492	13492
6	1101	14751	14751
7	1101	15718	15718
8	1101	17366	17366
9	1101	14415	14415
10	1101	14345	14345
11	1101	14333	14333
12	1101	17123	17123
13	1101	17665	17665
14	1101	24092	24092
15	1101	21695	21695
16	1101	18801	18801
17	1101	17589	17589
18	1101	19380	19380
19	1101	17182	17182
20	1101	18903	18903
21	1101	18043	18043
22	1101	20762	20762
23	1101	21962	21962
24	1101	22220	22220
25	1101	16673	16673
26	1101	18925	18925
27	1101	17081	17081
28	1101	14020	14020
29	1101	13907	13907
30	1101	14628	14628
31	1101	14935	14935
32	1101	14079	14079
33	1101	13849	13849
34	1101	13844	13844
35	1101	17580	17580
36	1101	16937	16937
37	1101	14369	14369
38	1101	18828	18828
39	1101	22352	22352
40	1101	19653	19653
41	1101	19060	19060
42	1101	16648	16648
43	1101	16997	16997
44	1101	17596	17596
45	1101	17510	17510
46	1101	20184	20184
47	1101	16787	16787
48	1101	17598	17598
49	1101	13990	13990
50	1101	15858	15858
51	1101	17118	17118
52	1101	16897	16897
53	1101	16217	16217
54	1101	14935	14935
55	1101	22082	22082
56	1101	19199	19199
57	1101	13641	13641
58	1101	17316	17316
59	1101	10313	10313
60	1101	10109	10109
61	1101	14102	14102
62	1101	12982	12982
63	1101	13537	13537
64	1101	11931	11931
65	1101	10060	10060
66	1101	13295	13295
67	1101	8738	8738
68	1101	10484	10484
69	1101	10785	10785
70	1101	11995	11995
71	1101	12231	12231
72	1101	13452	13452
73	1101	9192	9192
74	1101	9995	9995
75	1101	12388	12388
76	1101	10831	10831
77	1101	13034	13034
78	1101	12924	12924
79	1101	13425	13425
80	1101	10968	10968
81	1101	15304	15304
82	1101	16429	16429
83	1101	10842	10842
84	1101	12314	12314
85	1101	10457	10457
86	1101	12154	12154
87	1101	11184	11184
88	1101	13253	13253
89	1101	9898	9898
90	1101	12224	12224
0	1102	2719151	315858
1	1102	13234	13234
2	1102	16362	16362
3	1102	13202	13202
4	1102	14856	14856
5	1102	13400	13400
6	1102	14863	14863
7	1102	15747	15747
8	1102	17259	17259
9	1102	14606	14606
10	1102	14171	14171
11	1102	14576	14576
12	1102	17317	17317
13	1102	17771	17771
14	1102	24101	24101
15	1102	21726	21726
16	1102	18613	18613
17	1102	17730	17730
18	1102	19664	19664
19	1102	17058	17058
20	1102	19317	19317
21	1102	17865	17865
22	1102	21227	21227
23	1102	21629	21629
24	1102	22551	22551
25	1102	16759	16759
26	1102	19014	19014
27	1102	17084	17084
28	1102	14128	14128
29	1102	13870	13870
30	1102	14679	14679
31	1102	15173	15173
32	1102	14518	14518
33	1102	13846	13846
34	1102	13780	13780
35	1102	17378	17378
36	1102	16866	16866
37	1102	14555	14555
38	1102	18789	18789
39	1102	22683	22683
40	1102	19708	19708
41	1102	18496	18496
42	1102	16872	16872
43	1102	17060	17060
44	1102	17541	17541
45	1102	17474	17474
46	1102	19896	19896
47	1102	16868	16868
48	1102	17269	17269
49	1102	13968	13968
50	1102	15807	15807
51	1102	17171	17171
52	1102	17013	17013
53	1102	16243	16243
54	1102	15237	15237
55	1102	22145	22145
56	1102	19428	19428
57	1102	13437	13437
58	1102	17821	17821
59	1102	10218	10218
60	1102	10035	10035
61	1102	13922	13922
62	1102	13044	13044
63	1102	13798	13798
64	1102	12055	12055
65	1102	9891	9891
66	1102	13163	13163
67	1102	8608	8608
68	1102	10701	10701
69	1102	10894	10894
70	1102	12007	12007
71	1102	12161	12161
72	1102	13437	13437
73	1102	9046	9046
74	1102	9994	9994
75	1102	12492	12492
76	1102	10752	10752
77	1102	13381	13381
78	1102	12883	12883
79	1102	13347	13347
80	1102	11090	11090
81	1102	15293	15293
82	1102	16516	16516
83	1102	10725	10725
84	1102	12110	12110
85	1102	10636	10636
86	1102	12089	12089
87	1102	11245	11245
88	1102	13402	13402
89	1102	9972	9972
90	1102	12425	12425
0	1103	2688842	342026
1	1103	13584	13584
2	1103	16684	16684
3	1103	13631	13631
4	1103	15170	15170
5	1103	13736	13736
6	1103	14966	14966
