Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
16s-A01_S56_L001_R1_001	16s-A01_S56_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	731058.0	182.7 Mbp	0.0	35-251	56.0	6.660894210856047	250.29445543308466	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-A01_S56_L001_R2_001	16s-A01_S56_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	731058.0	183 Mbp	0.0	35-251	54.0	8.083489955653315	250.78019527862358	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-A02_S64_L001_R1_001	16s-A02_S64_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	756581.0	189.2 Mbp	0.0	35-251	55.0	6.208059679003306	250.39352825407985	251	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
16s-A02_S64_L001_R2_001	16s-A02_S64_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	756581.0	189.5 Mbp	0.0	35-251	53.0	7.855470861679054	250.82849423921562	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-A03_S72_L001_R1_001	16s-A03_S72_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	896523.0	223.9 Mbp	0.0	35-251	55.0	4.740424952845604	250.02742260934744	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-A03_S72_L001_R2_001	16s-A03_S72_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	896523.0	224.2 Mbp	0.0	35-251	53.0	6.462522433891825	250.3962307715474	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-A04_S80_L001_R1_001	16s-A04_S80_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	791120.0	197.5 Mbp	0.0	35-251	54.0	4.959677419354839	250.03217716654868	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-A04_S80_L001_R2_001	16s-A04_S80_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	791120.0	198 Mbp	0.0	35-251	52.0	6.180099100010112	250.76742592779857	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-A05_S88_L001_R1_001	16s-A05_S88_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	819282.0	204.6 Mbp	0.0	35-251	55.0	3.2917847578733577	249.34536337915395	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-A05_S88_L001_R2_001	16s-A05_S88_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	819282.0	205 Mbp	0.0	35-251	53.0	5.027084691229637	250.59507593234076	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-A06_S96_L001_R1_001	16s-A06_S96_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	865216.0	215.6 Mbp	0.0	35-251	55.0	3.5610760781122868	248.61439108846807	247	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-A06_S96_L001_R2_001	16s-A06_S96_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	865216.0	216.8 Mbp	0.0	35-251	53.0	5.253948147052297	250.7451711480139	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-A07_S104_L001_R1_001	16s-A07_S104_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	700341.0	174.9 Mbp	0.0	35-251	54.0	3.4714517642120053	249.47005958525918	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-A07_S104_L001_R2_001	16s-A07_S104_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	700341.0	175.5 Mbp	0.0	35-251	51.0	7.296017225894243	250.7351318857528	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-A08_S112_L001_R1_001	16s-A08_S112_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	633978.0	158.3 Mbp	0.0	35-251	53.0	3.632460432380934	249.46159961386672	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-A08_S112_L001_R2_001	16s-A08_S112_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	633978.0	158.7 Mbp	0.0	35-251	51.0	4.878402720599138	250.53538450861072	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-A09_S120_L001_R1_001	16s-A09_S120_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	616965.0	154.2 Mbp	0.0	35-251	55.0	7.156321671407616	250.4474159798368	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-A09_S120_L001_R2_001	16s-A09_S120_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	616965.0	154.5 Mbp	0.0	35-251	52.0	5.133354404220661	250.86290794453495	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-A10_S128_L001_R1_001	16s-A10_S128_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	625132.0	156.2 Mbp	0.0	35-251	54.0	5.7339889815271015	249.6571108181952	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-A10_S128_L001_R2_001	16s-A10_S128_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	625132.0	156.5 Mbp	0.0	35-251	53.0	5.01398104720283	250.77431166537627	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-A11_S136_L001_R1_001	16s-A11_S136_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	792387.0	198 Mbp	0.0	35-251	58.0	9.971137840474414	250.09046337206442	251	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
16s-A11_S136_L001_R2_001	16s-A11_S136_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	792387.0	198.2 Mbp	0.0	35-251	56.0	9.353762744719436	250.66034778460525	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
16s-A12_S144_L001_R1_001	16s-A12_S144_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	750994.0	187.4 Mbp	0.0	35-251	53.0	3.32572563828739	248.97941128690775	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-A12_S144_L001_R2_001	16s-A12_S144_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	750994.0	188.1 Mbp	0.0	35-251	51.0	4.330394117662725	250.5947331137133	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-B01_S57_L001_R1_001	16s-B01_S57_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	622735.0	155.7 Mbp	0.0	35-251	56.0	7.648678812014742	250.314409821192	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-B01_S57_L001_R2_001	16s-B01_S57_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	622735.0	155.9 Mbp	0.0	35-251	54.0	8.163504540454609	250.82319445671112	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-B02_S65_L001_R1_001	16s-B02_S65_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5.0	1.2 kbp	0.0	250-251	57.0	60.0	250.2	250	pass	pass	fail	pass	fail	fail	pass	warn	warn	fail	pass
16s-B02_S65_L001_R2_001	16s-B02_S65_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5.0	1.2 kbp	0.0	250-251	56.0	60.0	250.8	251	pass	pass	fail	pass	fail	fail	pass	warn	warn	fail	pass
16s-B03_S73_L001_R1_001	16s-B03_S73_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	667650.0	166.8 Mbp	0.0	35-251	55.0	6.528720137796749	250.15361491799595	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-B03_S73_L001_R2_001	16s-B03_S73_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	667650.0	167.1 Mbp	0.0	35-251	53.0	8.06904815397289	250.54148281285106	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-B04_S81_L001_R1_001	16s-B04_S81_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	906158.0	226.4 Mbp	0.0	35-251	54.0	4.348137962695247	250.1473749610995	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
