Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
16s-A01_S56_L001_R1_001	2.124455241581379	62.940833695821674
16s-A01_S56_L001_R2_001	1.2981186171275056	57.15510944412071
16s-A02_S64_L001_R1_001	4.453720090776797	63.619229137395735
16s-A02_S64_L001_R2_001	2.4523481292815967	58.72325633342629
16s-A03_S72_L001_R1_001	6.517847283337962	68.37649452384379
16s-A03_S72_L001_R2_001	1.769391303959854	64.83916196238134
16s-A04_S80_L001_R1_001	3.7968955404995453	74.02669632925472
16s-A04_S80_L001_R2_001	1.914753766811609	71.07594296693296
16s-A05_S88_L001_R1_001	9.00178448934555	75.55383860502245
16s-A05_S88_L001_R2_001	1.9667220810416928	82.06344091533806
16s-A06_S96_L001_R1_001	8.337340039943783	75.75010170870627
16s-A06_S96_L001_R2_001	2.538210111694652	78.62279477032325
16s-A07_S104_L001_R1_001	6.165996278955537	77.88234588578993
16s-A07_S104_L001_R2_001	1.9441957560674012	72.22795752354924
16s-A08_S112_L001_R1_001	12.50879368053781	72.56939515251318
16s-A08_S112_L001_R2_001	2.7726514169261396	79.80355785216523
16s-A09_S120_L001_R1_001	4.550014992746752	66.26664397494186
16s-A09_S120_L001_R2_001	1.9399803878664108	73.63626785960305
16s-A10_S128_L001_R1_001	4.74939692736894	72.18427468118733
16s-A10_S128_L001_R2_001	1.3497949233121964	79.04186635782523
16s-A11_S136_L001_R1_001	2.2405718417894285	43.966269007442065
16s-A11_S136_L001_R2_001	0.6968817004822139	35.048404378163696
16s-A12_S144_L001_R1_001	9.875311919935445	73.6663675075966
16s-A12_S144_L001_R2_001	3.036775260521389	82.50239016556722
16s-B01_S57_L001_R1_001	2.6565071820276684	61.177226267995216
16s-B01_S57_L001_R2_001	1.6687676138325291	57.15095506114158
16s-B02_S65_L001_R1_001	60.0	40.0
16s-B02_S65_L001_R2_001	60.0	40.0
16s-B03_S73_L001_R1_001	6.370852991837041	65.84587733093687
16s-B03_S73_L001_R2_001	1.7805736538605554	63.39594098704411
16s-B04_S81_L001_R1_001	3.5432010753091623	75.09871346939497
16s-B04_S81_L001_R2_001	2.1129869183961296	71.53708293697126
16s-B05_S89_L001_R1_001	9.758367757652792	75.39746848850757
16s-B05_S89_L001_R2_001	1.9260406736574514	81.32427708929139
16s-B06_S97_L001_R1_001	8.160585021765671	73.31793910544944
16s-B06_S97_L001_R2_001	2.778976705183066	77.18088320528788
16s-B07_S105_L001_R1_001	6.095308588934135	77.10076773639183
16s-B07_S105_L001_R2_001	1.9686087346359324	73.35011394627713
16s-B08_S113_L001_R1_001	13.460960133869685	72.44118636649208
16s-B08_S113_L001_R2_001	2.5853880761890013	80.36156129689235
16s-B09_S121_L001_R1_001	5.480677352376984	68.09937087940378
16s-B09_S121_L001_R2_001	2.2086275974873493	69.69887467160959
16s-B10_S129_L001_R1_001	5.02830392270788	75.39378399120427
16s-B10_S129_L001_R2_001	1.5359331483437129	79.77785921974902
16s-B11_S137_L001_R1_001	2.3607487309914084	45.83567745208975
16s-B11_S137_L001_R2_001	0.7124705702524431	34.12937837155043
16s-B12_S145_L001_R1_001	8.918537396274111	74.3566934110018
16s-B12_S145_L001_R2_001	2.9148005165686652	84.4594919492224
16s-C01_S58_L001_R1_001	2.5537653180141553	60.92942346695716
16s-C01_S58_L001_R2_001	1.6028341720707426	59.70879285436074
16s-C02_S66_L001_R1_001	4.4829021902288835	61.07084552257612
16s-C02_S66_L001_R2_001	2.667800677119285	60.15815884911635
16s-C03_S74_L001_R1_001	7.407560573269187	71.82774354520768
16s-C03_S74_L001_R2_001	1.8587826070973996	75.30556589425123
16s-C04_S82_L001_R1_001	3.733514448011855	74.03371202766115
16s-C04_S82_L001_R2_001	1.9567794517164732	72.6947394418375
16s-C05_S90_L001_R1_001	9.919307300331416	73.00567206801243
16s-C05_S90_L001_R2_001	2.126829012693381	83.14072754424345
16s-C06_S98_L001_R1_001	8.395461268898972	74.71632930618566
16s-C06_S98_L001_R2_001	3.030784350709301	75.71426444164277
16s-C07_S106_L001_R1_001	6.8411083027858215	74.81545955174664
16s-C07_S106_L001_R2_001	2.1606436458385643	76.0111365906187
16s-C08_S114_L001_R1_001	11.61815387359222	73.7701757790985
16s-C08_S114_L001_R2_001	2.1813708776365552	76.72513730283208
16s-C09_S122_L001_R1_001	5.597056230127072	63.6744192556344
16s-C09_S122_L001_R2_001	2.170674015912338	68.85846212962716
16s-C10_S130_L001_R1_001	4.9870991810784515	74.29254204832134
16s-C10_S130_L001_R2_001	1.2634715073217693	77.77471961263628
16s-C11_S138_L001_R1_001	2.233561595179024	43.81823226413501
16s-C11_S138_L001_R2_001	0.7062311596854464	37.104546069888606
