Module	Section	Sample Name	Source
FastQC	all_sections	16s-A01_S56_L001_R1_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-A01_S56_L001_R1_001_fastqc.zip
FastQC	all_sections	16s-A01_S56_L001_R2_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-A01_S56_L001_R2_001_fastqc.zip
FastQC	all_sections	16s-A02_S64_L001_R1_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-A02_S64_L001_R1_001_fastqc.zip
FastQC	all_sections	16s-A02_S64_L001_R2_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-A02_S64_L001_R2_001_fastqc.zip
FastQC	all_sections	16s-A03_S72_L001_R1_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-A03_S72_L001_R1_001_fastqc.zip
FastQC	all_sections	16s-A03_S72_L001_R2_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-A03_S72_L001_R2_001_fastqc.zip
FastQC	all_sections	16s-A04_S80_L001_R1_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-A04_S80_L001_R1_001_fastqc.zip
FastQC	all_sections	16s-A04_S80_L001_R2_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-A04_S80_L001_R2_001_fastqc.zip
FastQC	all_sections	16s-A05_S88_L001_R1_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-A05_S88_L001_R1_001_fastqc.zip
FastQC	all_sections	16s-A05_S88_L001_R2_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-A05_S88_L001_R2_001_fastqc.zip
FastQC	all_sections	16s-A06_S96_L001_R1_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-A06_S96_L001_R1_001_fastqc.zip
FastQC	all_sections	16s-A06_S96_L001_R2_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-A06_S96_L001_R2_001_fastqc.zip
FastQC	all_sections	16s-A07_S104_L001_R1_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-A07_S104_L001_R1_001_fastqc.zip
FastQC	all_sections	16s-A07_S104_L001_R2_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-A07_S104_L001_R2_001_fastqc.zip
FastQC	all_sections	16s-A08_S112_L001_R1_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-A08_S112_L001_R1_001_fastqc.zip
FastQC	all_sections	16s-A08_S112_L001_R2_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-A08_S112_L001_R2_001_fastqc.zip
FastQC	all_sections	16s-A09_S120_L001_R1_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-A09_S120_L001_R1_001_fastqc.zip
FastQC	all_sections	16s-A09_S120_L001_R2_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-A09_S120_L001_R2_001_fastqc.zip
FastQC	all_sections	16s-A10_S128_L001_R1_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-A10_S128_L001_R1_001_fastqc.zip
FastQC	all_sections	16s-A10_S128_L001_R2_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-A10_S128_L001_R2_001_fastqc.zip
FastQC	all_sections	16s-A11_S136_L001_R1_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-A11_S136_L001_R1_001_fastqc.zip
FastQC	all_sections	16s-A11_S136_L001_R2_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-A11_S136_L001_R2_001_fastqc.zip
FastQC	all_sections	16s-A12_S144_L001_R1_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-A12_S144_L001_R1_001_fastqc.zip
FastQC	all_sections	16s-A12_S144_L001_R2_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-A12_S144_L001_R2_001_fastqc.zip
FastQC	all_sections	16s-B01_S57_L001_R1_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-B01_S57_L001_R1_001_fastqc.zip
FastQC	all_sections	16s-B01_S57_L001_R2_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-B01_S57_L001_R2_001_fastqc.zip
FastQC	all_sections	16s-B02_S65_L001_R1_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-B02_S65_L001_R1_001_fastqc.zip
FastQC	all_sections	16s-B02_S65_L001_R2_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-B02_S65_L001_R2_001_fastqc.zip
FastQC	all_sections	16s-B03_S73_L001_R1_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-B03_S73_L001_R1_001_fastqc.zip
FastQC	all_sections	16s-B03_S73_L001_R2_001	/orfeo/LTS/LAGE/post_run/ORID0087_C/ORID0087-02--16S/FASTQC/16s-B03_S73_L001_R2_001_fastqc.zip
