Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
16s-A07_S104_L001_R1_001	(1.0, 2.2773191916509243)	(2.0, 0.8090344560721133)	(3.0, 0.5581566693939095)	(4.0, 0.4637740757716598)	(5.0, 0.37838709999842934)	(6.0, 0.34783055682874486)	(7.0, 0.28486123188561)	(8.0, 0.29128667320633805)	(9.0, 0.25958782935741304)	('>10', 3.716903622663817)	('>50', 1.4001750575790937)	('>100', 3.5309941871174186)	('>500', 3.3139570580617157)	('>1k', 15.597544624689972)	('>5k', 14.012602432243721)	('>10k+', 52.75758523347912)
16s-A07_S104_L001_R2_001	(1.0, 5.706220255561219)	(2.0, 1.3307802913152307)	(3.0, 0.8245983028267657)	(4.0, 0.6471133347897667)	(5.0, 0.4961868575451102)	(6.0, 0.3683919690550746)	(7.0, 0.34683104373440937)	(8.0, 0.26158685554608396)	(9.0, 0.23388606407450085)	('>10', 2.555183831876186)	('>50', 1.27666379663621)	('>100', 7.313580098837566)	('>500', 10.943526082294197)	('>1k', 41.58031587469533)	('>5k', 17.882431558340866)	('>10k+', 8.232703782871486)
16s-A08_S112_L001_R1_001	(1.0, 2.499140348718725)	(2.0, 0.7495528235995571)	(3.0, 0.5091659332027295)	(4.0, 0.39622826028663455)	(5.0, 0.3738300067194761)	(6.0, 0.30284962569679075)	(7.0, 0.31357554994021875)	(8.0, 0.2372322067958194)	(9.0, 0.2555293716816672)	('>10', 4.3111906091378565)	('>50', 1.781765297849452)	('>100', 2.8373224307468083)	('>500', 1.4729217733107458)	('>1k', 12.657694746505399)	('>5k', 11.220578632066097)	('>10k+', 60.08142238374202)
16s-A08_S112_L001_R2_001	(1.0, 3.6110085838940784)	(2.0, 0.952083510784286)	(3.0, 0.6937149238617113)	(4.0, 0.5274630980885772)	(5.0, 0.4022221591285502)	(6.0, 0.3482770695513093)	(7.0, 0.26830584026575055)	(8.0, 0.25111281464025564)	(9.0, 0.24843133357939864)	('>10', 2.6559281236888346)	('>50', 0.405219108549508)	('>100', 4.653789248207351)	('>500', 7.871093318695602)	('>1k', 25.309553328348933)	('>5k', 29.6636476344605)	('>10k+', 22.138149904255354)
16s-A09_S120_L001_R1_001	(1.0, 5.1599361390030225)	(2.0, 1.5501689723079917)	(3.0, 0.9987600593226521)	(4.0, 0.720948514097234)	(5.0, 0.6215911761607222)	(6.0, 0.5095913058277212)	(7.0, 0.43681570267357145)	(8.0, 0.35917758705923347)	(9.0, 0.33259585227687144)	('>10', 4.926859708411336)	('>50', 2.1680322222492365)	('>100', 9.492758908528035)	('>500', 6.852738810143201)	('>1k', 25.847495400873633)	('>5k', 18.848232881930095)	('>10k+', 21.174296759135444)
16s-A09_S120_L001_R2_001	(1.0, 3.829228562398191)	(2.0, 1.0088092517403744)	(3.0, 0.6442829009749338)	(4.0, 0.4492961513213878)	(5.0, 0.299044516301573)	(6.0, 0.27619070773868853)	(7.0, 0.22010973069785159)	(8.0, 0.1957971683969107)	(9.0, 0.17796795604288737)	('>10', 3.8160997787556825)	('>50', 2.8852528101269925)	('>100', 8.250711142447303)	('>500', 11.031257850931576)	('>1k', 35.04607230556028)	('>5k', 28.153947144489557)	('>10k+', 3.7159320220758065)
16s-A10_S128_L001_R1_001	(1.0, 4.09417531017449)	(2.0, 1.160714857022197)	(3.0, 0.7750363123308357)	(4.0, 0.5835567528138057)	(5.0, 0.4998944222980107)	(6.0, 0.4482253348092883)	(7.0, 0.4075939161649059)	(8.0, 0.3352891869237217)	(9.0, 0.3311300653302023)	('>10', 5.2996807074345895)	('>50', 1.9586263381173898)	('>100', 5.904672933076535)	('>500', 5.216338309349065)	('>1k', 16.432369483565072)	('>5k', 17.67754650217874)	('>10k+', 38.875149568411146)
16s-A10_S128_L001_R2_001	(1.0, 3.7070570695469116)	(2.0, 1.1018472898523832)	(3.0, 0.7088102992647952)	(4.0, 0.5067729695488312)	(5.0, 0.3943167203086708)	(6.0, 0.2908185791160907)	(7.0, 0.20827601210624316)	(8.0, 0.21883378230517717)	(9.0, 0.16412533672888285)	('>10', 2.355822450298497)	('>50', 1.3576332678538294)	('>100', 6.394649450036153)	('>500', 4.873690676529117)	('>1k', 56.98540468253105)	('>5k', 20.731941413973367)	('>10k+', 0.0)
16s-A11_S136_L001_R1_001	(1.0, 7.401938699145745)	(2.0, 2.1224477433375357)	(3.0, 1.2221300955215066)	(4.0, 0.8399935889912379)	(5.0, 0.6890572409693748)	(6.0, 0.5353444718300527)	(7.0, 0.46908896789068977)	(8.0, 0.38970856412333876)	(9.0, 0.353236486716718)	('>10', 6.672623351973216)	('>50', 4.649874366944435)	('>100', 20.157953121391444)	('>500', 11.92700031676441)	('>1k', 30.220839059701888)	('>5k', 7.250749949204113)	('>10k+', 5.098013975494298)
16s-A11_S136_L001_R2_001	(1.0, 7.079747648560615)	(2.0, 1.6148674826820733)	(3.0, 0.9321202897069235)	(4.0, 0.6764371449809247)	(5.0, 0.6108126458409843)	(6.0, 0.4679531592517293)	(7.0, 0.42933566552707203)	(8.0, 0.3917277794814908)	(9.0, 0.38049589405177014)	('>10', 8.605769655484)	('>50', 6.961875952028492)	('>100', 24.352368224112713)	('>500', 17.524643892441446)	('>1k', 28.578207365845227)	('>5k', 1.3936372000045434)	('>10k+', 0.0)
