Sample	Unique Reads	Duplicate Reads
16s-A01_S56_L001_R1_001	48695.0	682363.0
16s-A01_S56_L001_R2_001	59096.0	671962.0
16s-A02_S64_L001_R1_001	46969.0	709612.0
16s-A02_S64_L001_R2_001	59433.0	697148.0
16s-A03_S72_L001_R1_001	42499.0	854024.0
16s-A03_S72_L001_R2_001	57938.0	838585.0
16s-A04_S80_L001_R1_001	39237.0	751883.0
16s-A04_S80_L001_R2_001	48892.0	742228.0
16s-A05_S88_L001_R1_001	26969.0	792313.0
16s-A05_S88_L001_R2_001	41186.0	778096.0
16s-A06_S96_L001_R1_001	30811.0	834405.0
16s-A06_S96_L001_R2_001	45458.0	819758.0
16s-A07_S104_L001_R1_001	24312.0	676029.0
16s-A07_S104_L001_R2_001	51097.0	649244.0
16s-A08_S112_L001_R1_001	23029.0	610949.0
16s-A08_S112_L001_R2_001	30928.0	603050.0
16s-A09_S120_L001_R1_001	44152.0	572813.0
16s-A09_S120_L001_R2_001	31671.0	585294.0
16s-A10_S128_L001_R1_001	35845.0	589287.0
16s-A10_S128_L001_R2_001	31344.0	593788.0
16s-A11_S136_L001_R1_001	79010.0	713377.0
16s-A11_S136_L001_R2_001	74118.0	718269.0
16s-A12_S144_L001_R1_001	24976.0	726018.0
16s-A12_S144_L001_R2_001	32521.0	718473.0
16s-B01_S57_L001_R1_001	47631.0	575104.0
16s-B01_S57_L001_R2_001	50837.0	571898.0
16s-B02_S65_L001_R1_001	3.0	2.0
16s-B02_S65_L001_R2_001	3.0	2.0
16s-B03_S73_L001_R1_001	43589.0	624061.0
16s-B03_S73_L001_R2_001	53873.0	613777.0
16s-B04_S81_L001_R1_001	39401.0	866757.0
16s-B04_S81_L001_R2_001	52518.0	853640.0
16s-B05_S89_L001_R1_001	23905.0	731375.0
16s-B05_S89_L001_R2_001	41842.0	713438.0
16s-B06_S97_L001_R1_001	30516.0	618212.0
16s-B06_S97_L001_R2_001	36428.0	612300.0
16s-B07_S105_L001_R1_001	30337.0	826207.0
16s-B07_S105_L001_R2_001	48308.0	808236.0
16s-B08_S113_L001_R1_001	22158.0	649540.0
16s-B08_S113_L001_R2_001	29725.0	641973.0
16s-B09_S121_L001_R1_001	41700.0	793434.0
16s-B09_S121_L001_R2_001	54887.0	780247.0
16s-B10_S129_L001_R1_001	32556.0	750551.0
16s-B10_S129_L001_R2_001	40800.0	742307.0
16s-B11_S137_L001_R1_001	74430.0	867644.0
16s-B11_S137_L001_R2_001	101019.0	841055.0
16s-B12_S145_L001_R1_001	23134.0	559170.0
16s-B12_S145_L001_R2_001	23035.0	559269.0
16s-C01_S58_L001_R1_001	56349.0	588072.0
16s-C01_S58_L001_R2_001	43545.0	600876.0
16s-C02_S66_L001_R1_001	53484.0	676668.0
16s-C02_S66_L001_R2_001	46300.0	683852.0
16s-C03_S74_L001_R1_001	35327.0	835189.0
16s-C03_S74_L001_R2_001	55342.0	815174.0
16s-C04_S82_L001_R1_001	39468.0	770332.0
16s-C04_S82_L001_R2_001	42307.0	767493.0
16s-C05_S90_L001_R1_001	30997.0	732393.0
16s-C05_S90_L001_R2_001	30093.0	733297.0
16s-C06_S98_L001_R1_001	31403.0	774461.0
16s-C06_S98_L001_R2_001	51687.0	754177.0
16s-C07_S106_L001_R1_001	30823.0	686093.0
16s-C07_S106_L001_R2_001	32232.0	684684.0
16s-C08_S114_L001_R1_001	23450.0	739098.0
16s-C08_S114_L001_R2_001	45169.0	717379.0
16s-C09_S122_L001_R1_001	53067.0	732864.0
16s-C09_S122_L001_R2_001	41871.0	744060.0
16s-C10_S130_L001_R1_001	33614.0	733004.0
16s-C10_S130_L001_R2_001	42974.0	723644.0
16s-C11_S138_L001_R1_001	80232.0	665841.0
16s-C11_S138_L001_R2_001	59014.0	687059.0
16s-C12_S146_L001_R1_001	22889.0	759104.0
16s-C12_S146_L001_R2_001	34878.0	747115.0
16s-D01_S59_L001_R1_001	44200.0	646118.0
16s-D01_S59_L001_R2_001	59507.0	630811.0
16s-D02_S67_L001_R1_001	53300.0	787991.0
16s-D02_S67_L001_R2_001	66056.0	775235.0
16s-D03_S75_L001_R1_001	37063.0	833246.0
16s-D03_S75_L001_R2_001	47934.0	822375.0
16s-D04_S83_L001_R1_001	36443.0	705697.0
16s-D04_S83_L001_R2_001	42896.0	699244.0
16s-D05_S91_L001_R1_001	35164.0	717791.0
16s-D05_S91_L001_R2_001	27479.0	725476.0
16s-D06_S99_L001_R1_001	22601.0	629821.0
16s-D06_S99_L001_R2_001	38093.0	614329.0
16s-D07_S107_L001_R1_001	32071.0	705560.0
16s-D07_S107_L001_R2_001	33904.0	703727.0
16s-D08_S115_L001_R1_001	18390.0	626672.0
16s-D08_S115_L001_R2_001	35617.0	609445.0
16s-D09_S123_L001_R1_001	39571.0	625850.0
16s-D09_S123_L001_R2_001	38452.0	626969.0
16s-D10_S131_L001_R1_001	30231.0	719262.0
16s-D10_S131_L001_R2_001	41101.0	708392.0
16s-D11_S139_L001_R1_001	70144.0	760177.0
16s-D11_S139_L001_R2_001	83860.0	746461.0
16s-D12_S147_L001_R1_001	19676.0	672011.0
16s-D12_S147_L001_R2_001	35332.0	656355.0
16s-E01_S60_L001_R1_001	49774.0	782884.0
16s-E01_S60_L001_R2_001	62327.0	770331.0
16s-E02_S68_L001_R1_001	48357.0	863478.0
16s-E02_S68_L001_R2_001	57031.0	854804.0
16s-E03_S76_L001_R1_001	46057.0	775433.0
16s-E03_S76_L001_R2_001	51396.0	770094.0
16s-E04_S84_L001_R1_001	32719.0	685921.0
16s-E04_S84_L001_R2_001	47056.0	671584.0
16s-E05_S92_L001_R1_001	32380.0	612112.0
16s-E05_S92_L001_R2_001	27563.0	616929.0
16s-E06_S100_L001_R1_001	32834.0	774026.0
16s-E06_S100_L001_R2_001	48111.0	758749.0
16s-E07_S108_L001_R1_001	20183.0	698647.0
16s-E07_S108_L001_R2_001	34515.0	684315.0
16s-E08_S116_L001_R1_001	47234.0	711495.0
16s-E08_S116_L001_R2_001	50257.0	708472.0
16s-E09_S124_L001_R1_001	35787.0	583650.0
16s-E09_S124_L001_R2_001	43012.0	576425.0
16s-E10_S132_L001_R1_001	32393.0	740168.0
16s-E10_S132_L001_R2_001	38422.0	734139.0
16s-E11_S140_L001_R1_001	17120.0	652880.0
16s-E11_S140_L001_R2_001	27288.0	642712.0
16s-E12_S148_L001_R1_001	17432.0	566055.0
16s-E12_S148_L001_R2_001	24948.0	558539.0
16s-F01_S61_L001_R1_001	43023.0	727533.0
16s-F01_S61_L001_R2_001	50247.0	720309.0
16s-F02_S69_L001_R1_001	47841.0	698185.0
16s-F02_S69_L001_R2_001	42746.0	703280.0
16s-F03_S77_L001_R1_001	46647.0	713518.0
16s-F03_S77_L001_R2_001	49709.0	710456.0
16s-F04_S85_L001_R1_001	46056.0	722206.0
16s-F04_S85_L001_R2_001	39891.0	728371.0
16s-F05_S93_L001_R1_001	24415.0	646735.0
16s-F05_S93_L001_R2_001	34655.0	636495.0
16s-F06_S101_L001_R1_001	41349.0	646626.0
16s-F06_S101_L001_R2_001	33105.0	654870.0
16s-F07_S109_L001_R1_001	33697.0	747433.0
16s-F07_S109_L001_R2_001	46877.0	734253.0
16s-F08_S117_L001_R1_001	40369.0	749666.0
16s-F08_S117_L001_R2_001	44720.0	745315.0
16s-F09_S125_L001_R1_001	38595.0	646736.0
16s-F09_S125_L001_R2_001	45850.0	639481.0
16s-F10_S133_L001_R1_001	32387.0	808024.0
16s-F10_S133_L001_R2_001	44120.0	796291.0
