[Header],,,,,,
INVESTIGATOR NAME,BeadStudio User,,,,,
PROJECT NAME,20211011_QEIC21-03-10_MCU03_1-12,,,,,
EXPERIMENT NAME,20211011_QEIC21-03-10_MCU03_1-12,,,,,
DATE,20211011,,,,,
[Manifests],,,,,,
A,MethylationEPIC_v-1-0_B4,,,,,
[Data],,,,,,
Sample_Name,Sample_Plate,Sample_Well,Sample_group,Pool_ID,Sentrix_ID,Sentrix_Position
400323,MCU03,A01,Group1,,205751550143,R01C01
215549,MCU03,B01,Group1,,205751550143,R02C01
404555,MCU03,C01,Group1,,205751550143,R03C01
403094,MCU03,D01,Group1,,205751550143,R04C01
210939,MCU03,E01,Group1,,205751550143,R05C01
214014,MCU03,F01,Group1,,205751550143,R06C01
216715,MCU03,G01,Group1,,205751550143,R07C01
205504,MCU03,H01,Group1,,205751550143,R08C01
215906,MCU03,A02,Group1,,205756360125,R01C01
218645,MCU03,B02,Group1,,205756360125,R02C01
213357,MCU03,C02,Group1,,205756360125,R03C01
404201,MCU03,D02,Group1,,205756360125,R04C01
404938,MCU03,E02,Group1,,205756360125,R05C01
209400,MCU03,F02,Group1,,205756360125,R06C01
401455,MCU03,G02,Group1,,205756360125,R07C01
213954,MCU03,H02,Group1,,205756360125,R08C01
402361,MCU03,A03,Group1,,205756360118,R01C01
211256,MCU03,B03,Group1,,205756360118,R02C01
207809,MCU03,C03,Group1,,205756360118,R03C01
410947,MCU03,D03,Group1,,205756360118,R04C01
206473,MCU03,E03,Group1,,205756360118,R05C01
207413,MCU03,F03,Group1,,205756360118,R06C01
401571,MCU03,G03,Group1,,205756360118,R07C01
205304,MCU03,H03,Group1,,205756360118,R08C01
216796,MCU03,A04,Group1,,205751540014,R01C01
402866,MCU03,B04,Group1,,205751540014,R02C01
214659,MCU03,C04,Group1,,205751540014,R03C01
211258,MCU03,D04,Group1,,205751540014,R04C01
202339,MCU03,E04,Group1,,205751540014,R05C01
400686,MCU03,F04,Group1,,205751540014,R06C01
218529,MCU03,G04,Group1,,205751540014,R07C01
404847,MCU03,H04,Group1,,205751540014,R08C01
214873,MCU03,A05,Group1,,205724780131,R01C01
214656,MCU03,B05,Group1,,205724780131,R02C01
212568,MCU03,C05,Group1,,205724780131,R03C01
404544,MCU03,D05,Group1,,205724780131,R04C01
208740,MCU03,E05,Group1,,205724780131,R05C01
211210,MCU03,F05,Group1,,205724780131,R06C01
206125,MCU03,G05,Group1,,205724780131,R07C01
211119,MCU03,H05,Group1,,205724780131,R08C01
206002,MCU03,A06,Group1,,205724780118,R01C01
201153,MCU03,B06,Group1,,205724780118,R02C01
404955,MCU03,C06,Group1,,205724780118,R03C01
208711,MCU03,D06,Group1,,205724780118,R04C01
400235,MCU03,E06,Group1,,205724780118,R05C01
209421,MCU03,F06,Group1,,205724780118,R06C01
213901,MCU03,G06,Group1,,205724780118,R07C01
209004,MCU03,H06,Group1,,205724780118,R08C01
218361,MCU03,A07,Group1,,205724780132,R01C01
207661,MCU03,B07,Group1,,205724780132,R02C01
403777,MCU03,C07,Group1,,205724780132,R03C01
212247,MCU03,D07,Group1,,205724780132,R04C01
pool_men,MCU03,E07,Group1,,205724780132,R05C01
404803,MCU03,F07,Group1,,205724780132,R06C01
pool_women,MCU03,G07,Group1,,205724780132,R07C01
214754,MCU03,H07,Group1,,205724780132,R08C01
208829,MCU03,A08,Group1,,205724780169,R01C01
207924,MCU03,B08,Group1,,205724780169,R02C01
218431,MCU03,C08,Group1,,205724780169,R03C01
217859,MCU03,D08,Group1,,205724780169,R04C01
218732,MCU03,E08,Group1,,205724780169,R05C01
218507,MCU03,F08,Group1,,205724780169,R06C01
216078,MCU03,G08,Group1,,205724780169,R07C01
400099,MCU03,H08,Group1,,205724780169,R08C01
404400,MCU03,A09,Group1,,205724790032,R01C01
400593,MCU03,B09,Group1,,205724790032,R02C01
215665,MCU03,C09,Group1,,205724790032,R03C01
204841,MCU03,D09,Group1,,205724790032,R04C01
204082,MCU03,E09,Group1,,205724790032,R05C01
219119,MCU03,F09,Group1,,205724790032,R06C01
204565,MCU03,G09,Group1,,205724790032,R07C01
207010,MCU03,H09,Group1,,205724790032,R08C01
205511,MCU03,A10,Group1,,205724790031,R01C01
202280,MCU03,B10,Group1,,205724790031,R02C01
202345,MCU03,C10,Group1,,205724790031,R03C01
403982,MCU03,D10,Group1,,205724790031,R04C01
218906,MCU03,E10,Group1,,205724790031,R05C01
207364,MCU03,F10,Group1,,205724790031,R06C01
400174,MCU03,G10,Group1,,205724790031,R07C01
202368,MCU03,H10,Group1,,205724790031,R08C01
211006,MCU03,A11,Group1,,205724780137,R01C01
215798,MCU03,B11,Group1,,205724780137,R02C01
404239,MCU03,C11,Group1,,205724780137,R03C01
211459,MCU03,D11,Group1,,205724780137,R04C01
402838,MCU03,E11,Group1,,205724780137,R05C01
218424,MCU03,F11,Group1,,205724780137,R06C01
206136,MCU03,G11,Group1,,205724780137,R07C01
212086,MCU03,H11,Group1,,205724780137,R08C01
218392,MCU03,A12,Group1,,205724780152,R01C01
215088,MCU03,B12,Group1,,205724780152,R02C01
400501,MCU03,C12,Group1,,205724780152,R03C01
400341,MCU03,D12,Group1,,205724780152,R04C01
208777,MCU03,E12,Group1,,205724780152,R05C01
404400,MCU03,F12,Group1,,205724780152,R06C01
402796,MCU03,G12,Group1,,205724780152,R07C01
215665,MCU03,H12,Group1,,205724780152,R08C01
