[Header],,,,,,
INVESTIGATOR NAME,BeadStudio User,,,,,
PROJECT NAME,20210721_QEIC21-03-9_pt24_1-12,,,,,
EXPERIMENT NAME,20210721_QEIC21-03-9_pt24_1-12,,,,,
DATE,20210721,,,,,
[Manifests],,,,,,
A,MethylationEPIC_v-1-0_B4,,,,,
[Data],,,,,,
Sample_Name,Sample_Plate,Sample_Well,Sample_group,Pool_ID,Sentrix_ID,Sentrix_Position
200341,24,A01,Group1,,205460720064,R01C01
200343,24,B01,Group1,,205460720064,R02C01
240341,24,C01,Group1,,205460720064,R03C01
240343,24,D01,Group1,,205460720064,R04C01
200421,24,E01,Group1,,205460720064,R05C01
200447,24,F01,Group1,,205460720064,R06C01
240421,24,G01,Group1,,205460720064,R07C01
240447,24,H01,Group1,,205460720064,R08C01
200516,24,A02,Group1,,205460720065,R01C01
200616,24,B02,Group1,,205460720065,R02C01
240516,24,C02,Group1,,205460720065,R03C01
240616,24,D02,Group1,,205460720065,R04C01
201302,24,E02,Group1,,205460720065,R05C01
201721,24,F02,Group1,,205460720065,R06C01
241302,24,G02,Group1,,205460720065,R07C01
241721,24,H02,Group1,,205460720065,R08C01
201748,24,A03,Group1,,205460730194,R01C01
202507,24,B03,Group1,,205460730194,R02C01
241748,24,C03,Group1,,205460730194,R03C01
242507,24,D03,Group1,,205460730194,R04C01
202515,24,E03,Group1,,205460730194,R05C01
203142,24,F03,Group1,,205460730194,R06C01
242515,24,G03,Group1,,205460730194,R07C01
243142,24,H03,Group1,,205460730194,R08C01
203296,24,A04,Group1,,205460730085,R01C01
203340,24,B04,Group1,,205460730085,R02C01
243296,24,C04,Group1,,205460730085,R03C01
243340,24,D04,Group1,,205460730085,R04C01
203581,24,E04,Group1,,205460730085,R05C01
204393,24,F04,Group1,,205460730085,R06C01
243581,24,G04,Group1,,205460730085,R07C01
244393,24,H04,Group1,,205460730085,R08C01
204474,24,A05,Group1,,205460730110,R01C01
205137,24,B05,Group1,,205460730110,R02C01
244474,24,C05,Group1,,205460730110,R03C01
245137,24,D05,Group1,,205460730110,R04C01
205316,24,E05,Group1,,205460730110,R05C01
205485,24,F05,Group1,,205460730110,R06C01
245316,24,G05,Group1,,205460730110,R07C01
245485,24,H05,Group1,,205460730110,R08C01
205524,24,A06,Group1,,205460720157,R01C01
205616,24,B06,Group1,,205460720157,R02C01
245524,24,C06,Group1,,205460720157,R03C01
245616,24,D06,Group1,,205460720157,R04C01
205728,24,E06,Group1,,205460720157,R05C01
205757,24,F06,Group1,,205460720157,R06C01
245728,24,G06,Group1,,205460720157,R07C01
245757,24,H06,Group1,,205460720157,R08C01
206869,24,A07,Group1,,205460730039,R01C01
210199,24,B07,Group1,,205460730039,R02C01
246869,24,C07,Group1,,205460730039,R03C01
250199,24,D07,Group1,,205460730039,R04C01
210228,24,E07,Group1,,205460730039,R05C01
210454,24,F07,Group1,,205460730039,R06C01
250228,24,G07,Group1,,205460730039,R07C01
250454,24,H07,Group1,,205460730039,R08C01
210929,24,A08,Group1,,205537630065,R01C01
211579,24,B08,Group1,,205537630065,R02C01
250929,24,C08,Group1,,205537630065,R03C01
251579,24,D08,Group1,,205537630065,R04C01
211785,24,E08,Group1,,205537630065,R05C01
212587,24,F08,Group1,,205537630065,R06C01
251785,24,G08,Group1,,205537630065,R07C01
252587,24,H08,Group1,,205537630065,R08C01
212715,24,A09,Group1,,205460720140,R01C01
212947,24,B09,Group1,,205460720140,R02C01
252715,24,C09,Group1,,205460720140,R03C01
252947,24,D09,Group1,,205460720140,R04C01
213482,24,E09,Group1,,205460720140,R05C01
213633,24,F09,Group1,,205460720140,R06C01
253482,24,G09,Group1,,205460720140,R07C01
253633,24,H09,Group1,,205460720140,R08C01
214971,24,A10,Group1,,205537630013,R01C01
214975,24,B10,Group1,,205537630013,R02C01
254971,24,C10,Group1,,205537630013,R03C01
254975,24,D10,Group1,,205537630013,R04C01
216469,24,E10,Group1,,205537630013,R05C01
216999,24,F10,Group1,,205537630013,R06C01
256469,24,G10,Group1,,205537630013,R07C01
256999,24,H10,Group1,,205537630013,R08C01
217026,24,A11,Group1,,205537630066,R01C01
pool_women,24,B11,Group1,,205537630066,R02C01
257026,24,C11,Group1,,205537630066,R03C01
pool_men,24,D11,Group1,,205537630066,R04C01
200929,24,E11,Group1,,205537630066,R05C01
213210,24,F11,Group1,,205537630066,R06C01
240929,24,G11,Group1,,205537630066,R07C01
253210,24,H11,Group1,,205537630066,R08C01
205901,24,A12,Group1,,205537630125,R01C01
213141,24,B12,Group1,,205537630125,R02C01
245901,24,C12,Group1,,205537630125,R03C01
253141,24,D12,Group1,,205537630125,R04C01
202196,24,E12,Group1,,205537630125,R05C01
200569,24,F12,Group1,,205537630125,R06C01
242196,24,G12,Group1,,205537630125,R07C01
240569,24,H12,Group1,,205537630125,R08C01
