Sample	Unique Reads	Duplicate Reads
its-D08_S211_L001_R2_001	12539.0	652524.0
its-D09_S219_L001_R1_001	18926.0	651746.0
its-D09_S219_L001_R2_001	21336.0	649336.0
its-D10_S227_L001_R1_001	16236.0	519541.0
its-D10_S227_L001_R2_001	17759.0	518018.0
its-D11_S235_L001_R1_001	30201.0	894974.0
its-D11_S235_L001_R2_001	27324.0	897851.0
its-D12_S243_L001_R1_001	20256.0	802656.0
its-D12_S243_L001_R2_001	23085.0	799827.0
its-E01_S156_L001_R1_001	26778.0	756976.0
its-E01_S156_L001_R2_001	26737.0	757017.0
its-E02_S164_L001_R1_001	21331.0	461093.0
its-E02_S164_L001_R2_001	31677.0	450747.0
its-E03_S172_L001_R1_001	22952.0	764834.0
its-E03_S172_L001_R2_001	27839.0	759947.0
its-E04_S180_L001_R1_001	24509.0	787150.0
its-E04_S180_L001_R2_001	21237.0	790422.0
its-E05_S188_L001_R1_001	24640.0	889886.0
its-E05_S188_L001_R2_001	21625.0	892901.0
its-E06_S196_L001_R1_001	19773.0	703077.0
its-E06_S196_L001_R2_001	20058.0	702792.0
its-E07_S204_L001_R1_001	20759.0	893920.0
its-E07_S204_L001_R2_001	17390.0	897289.0
its-E08_S212_L001_R1_001	26090.0	783492.0
its-E08_S212_L001_R2_001	24323.0	785259.0
its-E09_S220_L001_R1_001	19498.0	577217.0
its-E09_S220_L001_R2_001	22100.0	574615.0
its-E10_S228_L001_R1_001	18542.0	787042.0
its-E10_S228_L001_R2_001	20209.0	785375.0
its-E11_S236_L001_R1_001	22711.0	799599.0
its-E11_S236_L001_R2_001	26645.0	795665.0
its-E12_S244_L001_R1_001	22064.0	898397.0
its-E12_S244_L001_R2_001	21100.0	899361.0
its-F01_S157_L001_R1_001	28902.0	768776.0
its-F01_S157_L001_R2_001	27499.0	770179.0
its-F02_S165_L001_R1_001	25196.0	587290.0
its-F02_S165_L001_R2_001	34749.0	577737.0
its-F03_S173_L001_R1_001	22398.0	800333.0
its-F03_S173_L001_R2_001	21637.0	801094.0
its-F04_S181_L001_R1_001	24305.0	798275.0
its-F04_S181_L001_R2_001	23422.0	799158.0
its-F05_S189_L001_R1_001	20498.0	687267.0
its-F05_S189_L001_R2_001	20614.0	687151.0
its-F06_S197_L001_R1_001	22310.0	800958.0
its-F06_S197_L001_R2_001	22248.0	801020.0
its-F07_S205_L001_R1_001	27450.0	718883.0
its-F07_S205_L001_R2_001	9911.0	736422.0
its-F08_S213_L001_R1_001	20021.0	735459.0
its-F08_S213_L001_R2_001	24593.0	730887.0
its-F09_S221_L001_R1_001	22772.0	801884.0
its-F09_S221_L001_R2_001	29663.0	794993.0
its-F10_S229_L001_R1_001	15034.0	622866.0
its-F10_S229_L001_R2_001	18782.0	619118.0
its-F11_S237_L001_R1_001	37247.0	1008105.0
its-F11_S237_L001_R2_001	23837.0	1021515.0
its-F12_S245_L001_R1_001	22085.0	744788.0
its-F12_S245_L001_R2_001	22187.0	744686.0
its-G01_S158_L001_R1_001	26955.0	1028124.0
its-G01_S158_L001_R2_001	28051.0	1027028.0
its-G02_S166_L001_R1_001	35193.0	751165.0
its-G02_S166_L001_R2_001	27490.0	758868.0
its-G03_S174_L001_R1_001	19307.0	681791.0
its-G03_S174_L001_R2_001	22403.0	678695.0
its-G04_S182_L001_R1_001	2700.0	41330.0
its-G04_S182_L001_R2_001	2814.0	41216.0
its-G05_S190_L001_R1_001	24643.0	800248.0
its-G05_S190_L001_R2_001	27001.0	797890.0
its-G06_S198_L001_R1_001	16190.0	615417.0
its-G06_S198_L001_R2_001	20104.0	611503.0
its-G07_S206_L001_R1_001	19583.0	652742.0
its-G07_S206_L001_R2_001	13766.0	658559.0
its-G08_S214_L001_R1_001	25399.0	725281.0
its-G08_S214_L001_R2_001	25959.0	724721.0
its-G09_S222_L001_R1_001	16238.0	742903.0
its-G09_S222_L001_R2_001	25581.0	733560.0
its-G10_S230_L001_R1_001	19217.0	511319.0
its-G10_S230_L001_R2_001	12721.0	517815.0
its-G11_S238_L001_R1_001	26082.0	937217.0
its-G11_S238_L001_R2_001	23817.0	939482.0
