Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
its-E09_S220_L001_R2_001	its-E09_S220_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	596715.0	149 Mbp	0.0	35-251	56.0	3.703610601375866	249.9656921646012	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-E10_S228_L001_R1_001	its-E10_S228_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	805584.0	200.8 Mbp	0.0	35-251	62.0	2.30168424397704	249.9796296848001	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-E10_S228_L001_R2_001	its-E10_S228_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	805584.0	201 Mbp	0.0	35-251	60.0	2.5084907346719896	249.77547344535145	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-E11_S236_L001_R1_001	its-E11_S236_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	822310.0	205.3 Mbp	0.0	35-251	64.0	2.761853802094101	250.19701572399703	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-E11_S236_L001_R2_001	its-E11_S236_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	822310.0	204.7 Mbp	0.0	35-251	62.0	3.2402621882258518	248.62550619596016	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-E12_S244_L001_R1_001	its-E12_S244_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	920461.0	229.9 Mbp	0.0	35-251	60.0	2.3970597341984075	250.14723926380367	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-E12_S244_L001_R2_001	its-E12_S244_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	920461.0	229.3 Mbp	0.0	35-251	58.0	2.2923296044047494	249.06352903599392	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-F01_S157_L001_R1_001	its-F01_S157_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	797678.0	199.1 Mbp	0.0	35-251	58.0	3.6232665311065366	250.5134653331294	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-F01_S157_L001_R2_001	its-F01_S157_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	797678.0	199.4 Mbp	0.0	35-251	56.0	3.447381023420478	250.25902431808325	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-F02_S165_L001_R1_001	its-F02_S165_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	612486.0	152.4 Mbp	0.0	35-251	55.0	4.113726681099649	249.23330492452072	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
