Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
its-C03_S170_L001_R1_001	(1.0, 4.210999118698135)	(2.0, 0.9211110427254621)	(3.0, 0.5331025099424731)	(4.0, 0.42113919724269067)	(5.0, 0.3358899380993475)	(6.0, 0.2647834131917663)	(7.0, 0.22458138161418362)	(8.0, 0.20533154890439642)	(9.0, 0.18385554506490598)	('>10', 3.67501568141134)	('>50', 2.4992044711992385)	('>100', 5.768664153275811)	('>500', 1.8853050443728288)	('>1k', 7.74301604283677)	('>5k', 5.0070517244314425)	('>10k+', 66.12094918698921)
its-C03_S170_L001_R2_001	(1.0, 2.7566546147872764)	(2.0, 0.5382096084164982)	(3.0, 0.3189972277621873)	(4.0, 0.2650453156776138)	(5.0, 0.22327186918494638)	(6.0, 0.19014120472524465)	(7.0, 0.20166491410253223)	(8.0, 0.1644747611121951)	(9.0, 0.1614628825249495)	('>10', 3.21485301377738)	('>50', 1.248751052520615)	('>100', 2.707809801176728)	('>500', 2.863248926527186)	('>1k', 10.25492278459961)	('>5k', 5.006527919459748)	('>10k+', 69.8839641036453)
its-C04_S178_L001_R1_001	(1.0, 2.1594980283182923)	(2.0, 0.5043319105161553)	(3.0, 0.3106150177351155)	(4.0, 0.22800700943423532)	(5.0, 0.19037694635378047)	(6.0, 0.19171292492468422)	(7.0, 0.15508484577240714)	(8.0, 0.13448850947097474)	(9.0, 0.1392757660167131)	('>10', 2.700124023343999)	('>50', 1.4152466327773436)	('>100', 3.8067596062425824)	('>500', 1.4288290815815314)	('>1k', 3.8992761222776653)	('>5k', 2.438160891899294)	('>10k+', 80.29821268333522)
its-C04_S178_L001_R2_001	(1.0, 2.0188862837306756)	(2.0, 0.3408971986755999)	(3.0, 0.22043646419911425)	(4.0, 0.17902112850109883)	(5.0, 0.14751430053728606)	(6.0, 0.14228171780124646)	(7.0, 0.13638114577975502)	(8.0, 0.12291002852314249)	(9.0, 0.14328370172942426)	('>10', 2.725396284643594)	('>50', 1.3176088655537965)	('>100', 1.178555762632234)	('>500', 0.393668352226297)	('>1k', 2.631432458490033)	('>5k', 6.719192890812698)	('>10k+', 81.58253341616401)
its-C05_S186_L001_R1_001	(1.0, 2.046893658528633)	(2.0, 0.46244282296618217)	(3.0, 0.2881437213605383)	(4.0, 0.22116830663600015)	(5.0, 0.17525007098307138)	(6.0, 0.1687291381092827)	(7.0, 0.13693959034956274)	(8.0, 0.1184636138738281)	(9.0, 0.09047794362381825)	('>10', 2.61869795989898)	('>50', 1.548313999220205)	('>100', 4.056427805801185)	('>500', 0.7996293936483397)	('>1k', 3.3133131637256805)	('>5k', 3.1119793612474544)	('>10k+', 80.84312945002723)
its-C05_S186_L001_R2_001	(1.0, 2.3522906814510707)	(2.0, 0.3763121679248897)	(3.0, 0.25146347394547686)	(4.0, 0.18638999797579375)	(5.0, 0.18679755628040556)	(6.0, 0.15731750558015245)	(7.0, 0.13598862097213524)	(8.0, 0.12607136889324827)	(9.0, 0.1332715656080566)	('>10', 2.52020470295113)	('>50', 1.0983696309287847)	('>100', 1.8958253802858613)	('>500', 1.453760472550269)	('>1k', 3.645065623679681)	('>5k', 3.6401749240243393)	('>10k+', 81.8406963269487)
its-C06_S194_L001_R1_001	(1.0, 2.250386648069606)	(2.0, 0.4808194092586794)	(3.0, 0.2778884745666221)	(4.0, 0.23104001214501912)	(5.0, 0.17612649796476046)	(6.0, 0.15228715379579288)	(7.0, 0.12536411336616285)	(8.0, 0.1242966800451643)	(9.0, 0.10140616549486209)	('>10', 2.3340022582144924)	('>50', 1.8364597269268357)	('>100', 4.28645640602317)	('>500', 1.181767290047726)	('>1k', 1.3108081181862175)	('>5k', 1.5930849297391667)	('>10k+', 83.53780611615572)
its-C06_S194_L001_R2_001	(1.0, 1.8413224787224958)	(2.0, 0.27492338200829275)	(3.0, 0.14908485383279724)	(4.0, 0.11433396904917785)	(5.0, 0.0996271099598645)	(6.0, 0.10247359881586063)	(7.0, 0.08219236571688822)	(8.0, 0.07116222139990322)	(9.0, 0.07685519911189548)	('>10', 2.0368999838698962)	('>50', 1.4192119021187366)	('>100', 1.9299194443653755)	('>500', 1.0025570958223031)	('>1k', 1.121042194453142)	('>5k', 0.0)	('>10k+', 89.67839420075337)
its-C07_S202_L001_R1_001	(1.0, 1.8625000513028882)	(2.0, 0.42273579833450303)	(3.0, 0.2667750183664339)	(4.0, 0.20356986016884807)	(5.0, 0.1710096271579705)	(6.0, 0.1617067034405769)	(7.0, 0.1216220468347486)	(8.0, 0.11382400783634516)	(9.0, 0.10712043045175272)	('>10', 2.297138119687586)	('>50', 1.4392170221614795)	('>100', 4.159501363288748)	('>500', 1.1066374992646586)	('>1k', 2.5699326769299806)	('>5k', 1.0007483381284432)	('>10k+', 83.99596143664503)
its-C07_S202_L001_R2_001	(1.0, 1.88507332208774)	(2.0, 0.2807294039425244)	(3.0, 0.19084674390829506)	(4.0, 0.14173277898852593)	(5.0, 0.1436480868126952)	(6.0, 0.1379021633401874)	(7.0, 0.10342662250514055)	(8.0, 0.11163508460872314)	(9.0, 0.11204550771390226)	('>10', 2.2469296931540055)	('>50', 1.3393473999012249)	('>100', 2.2294183073330296)	('>500', 0.431081068139812)	('>1k', 0.344208177543563)	('>5k', 0.0)	('>10k+', 90.30197564002063)
its-C08_S210_L001_R1_001	(1.0, 2.916954756737885)	(2.0, 0.6133751377698063)	(3.0, 0.360939778336083)	(4.0, 0.2902578776946405)	(5.0, 0.2216296884519808)	(6.0, 0.18688773728923788)	(7.0, 0.17011576086584473)	(8.0, 0.17251175749775802)	(9.0, 0.15094778781053828)	('>10', 2.8392560088172676)	('>50', 1.4427322576449406)	('>100', 5.0314217844013776)	('>500', 1.0674164995173778)	('>1k', 3.763083853036412)	('>5k', 2.3058044729834264)	('>10k+', 78.46666484114543)
its-C08_S210_L001_R2_001	(1.0, 1.843205980407593)	(2.0, 0.32243268960890487)	(3.0, 0.21153227407463188)	(4.0, 0.16635062330140954)	(5.0, 0.15231692874306016)	(6.0, 0.1530014992093211)	(7.0, 0.12698782149140522)	(8.0, 0.1122695564667949)	(9.0, 0.11244069908336014)	('>10', 2.365704388781259)	('>50', 1.1468266736036474)	('>100', 2.3689560984959988)	('>500', 0.8642702136544426)	('>1k', 0.4281988266462209)	('>5k', 4.604592098687679)	('>10k+', 85.02091362774428)
its-C09_S218_L001_R1_001	(1.0, 1.999393368214661)	(2.0, 0.47187286731012973)	(3.0, 0.29638295797991615)	(4.0, 0.22012067639444066)	(5.0, 0.16574046992297942)	(6.0, 0.15794091839719215)	(7.0, 0.140283600359646)	(8.0, 0.11699327288680901)	(9.0, 0.12674271229404308)	('>10', 2.1141117719064484)	('>50', 1.1196689523685721)	('>100', 3.716269647828583)	('>500', 1.5309869682493256)	('>1k', 4.678214336009013)	('>5k', 2.326216242566052)	('>10k+', 80.81906123731218)
its-C09_S218_L001_R2_001	(1.0, 2.440501337839741)	(2.0, 0.4077432214314344)	(3.0, 0.24536089174872444)	(4.0, 0.15729095577004323)	(5.0, 0.14678322663113536)	(6.0, 0.11634331025966006)	(7.0, 0.09630279592256778)	(8.0, 0.10312740350763164)	(9.0, 0.07507068343570245)	('>10', 2.2630615406280805)	('>50', 1.3701212180299631)	('>100', 2.373013551720776)	('>500', 0.7891629564633367)	('>1k', 3.014201683403204)	('>5k', 4.9803386305287445)	('>10k+', 81.42157659267926)
its-C10_S226_L001_R1_001	(1.0, 2.0605815911530394)	(2.0, 0.45519896798589843)	(3.0, 0.30059380200691294)	(4.0, 0.20187298742479)	(5.0, 0.17725433042176683)	(6.0, 0.15657465853922736)	(7.0, 0.14131109119735302)	(8.0, 0.12604752385547865)	(9.0, 0.10302907955765198)	('>10', 1.9880796462791364)	('>50', 1.128396143733567)	('>100', 3.791150085180553)	('>500', 1.8769264099104863)	('>1k', 3.438610916897261)	('>5k', 3.479600980807295)	('>10k+', 80.57477178504958)
its-C10_S226_L001_R2_001	(1.0, 2.0272233109139433)	(2.0, 0.322996779879664)	(3.0, 0.18685560665294587)	(4.0, 0.13786447921692976)	(5.0, 0.11139942293867985)	(6.0, 0.09896700115215315)	(7.0, 0.08616529951058109)	(8.0, 0.07582546356931137)	(9.0, 0.07422525086411486)	('>10', 2.085323341441078)	('>50', 1.3718746614934663)	('>100', 2.6647234340072283)	('>500', 0.9688672463539769)	('>1k', 3.3675860914435396)	('>5k', 2.3107071463037547)	('>10k+', 84.10939546425863)
its-C11_S234_L001_R1_001	(1.0, 2.8021518597543267)	(2.0, 0.5871697170341683)	(3.0, 0.3475018986030884)	(4.0, 0.24898275421829608)	(5.0, 0.23342133207965254)	(6.0, 0.18673706566372206)	(7.0, 0.18640830322417323)	(8.0, 0.17446326792056663)	(9.0, 0.1272310641053881)	('>10', 2.9738754406786536)	('>50', 1.961506301828029)	('>100', 4.998284955940354)	('>500', 1.781563659914982)	('>1k', 3.1011065047840414)	('>5k', 2.3099944877497633)	('>10k+', 77.9796013865008)
its-C11_S234_L001_R2_001	(1.0, 2.0496146356271088)	(2.0, 0.34498138656654753)	(3.0, 0.20646281203665043)	(4.0, 0.17095646856537935)	(5.0, 0.12164210263305839)	(6.0, 0.1328200255777178)	(7.0, 0.09742326958629631)	(8.0, 0.10082048146163396)	(9.0, 0.10060130650193476)	('>10', 2.629441991511354)	('>50', 1.292913087265606)	('>100', 2.107695999947398)	('>500', 0.5465127620099658)	('>1k', 5.829615578079435)	('>5k', 2.8124530828601895)	('>10k+', 81.45604500976972)
its-C12_S242_L001_R1_001	(1.0, 4.065413038706374)	(2.0, 0.7776395697665911)	(3.0, 0.45657422989683183)	(4.0, 0.3336503987707617)	(5.0, 0.25974976220092194)	(6.0, 0.1931660203409673)	(7.0, 0.17721518987341772)	(8.0, 0.17443476988366138)	(9.0, 0.1527767615424014)	('>10', 3.2729933416258143)	('>50', 1.503329187092998)	('>100', 5.747859808297359)	('>500', 2.884466232530914)	('>1k', 1.80127313967952)	('>5k', 0.9170995829370014)	('>10k+', 77.28235896685447)
its-C12_S242_L001_R2_001	(1.0, 1.3972342137996634)	(2.0, 0.2277017633716251)	(3.0, 0.14267944684275993)	(4.0, 0.11063144801346309)	(5.0, 0.09658301017048365)	(6.0, 0.10536328382234579)	(7.0, 0.10038779541962392)	(8.0, 0.09365625228652959)	(9.0, 0.08033950391453867)	('>10', 2.5284261359479037)	('>50', 1.2694812321650693)	('>100', 1.1821175093290408)	('>500', 1.3392844076973731)	('>1k', 0.8131996780566327)	('>5k', 1.3681129728543207)	('>10k+', 89.14480134630863)
its-D01_S155_L001_R1_001	(1.0, 4.574602627969528)	(2.0, 0.9134955082265065)	(3.0, 0.5357174665566237)	(4.0, 0.42453642403766795)	(5.0, 0.32285549730137336)	(6.0, 0.2876753810437065)	(7.0, 0.2680813922419679)	(8.0, 0.20781503274571161)	(9.0, 0.24180763453054585)	('>10', 3.7406705894228085)	('>50', 1.7941859291410116)	('>100', 5.503832702961067)	('>500', 3.143202370278888)	('>1k', 5.904915716160291)	('>5k', 4.1726289789156805)	('>10k+', 67.96397674846662)
its-D01_S155_L001_R2_001	(1.0, 2.2469258219084542)	(2.0, 0.43136463225645566)	(3.0, 0.31483977460975304)	(4.0, 0.24878428205843758)	(5.0, 0.20558844310915042)	(6.0, 0.17901780677952012)	(7.0, 0.14858774841318378)	(8.0, 0.16150196830523872)	(9.0, 0.12958751684786157)	('>10', 2.5172338037869837)	('>50', 1.1069119279891224)	('>100', 2.9729424827365083)	('>500', 3.053693466889128)	('>1k', 7.114992963976749)	('>5k', 5.983440110676349)	('>10k+', 73.18458724965711)
its-D02_S163_L001_R1_001	(1.0, 2.58715800378687)	(2.0, 0.6906501769059458)	(3.0, 0.42404750268504887)	(4.0, 0.32718088889018954)	(5.0, 0.2743578562920865)	(6.0, 0.23528929755609337)	(7.0, 0.20792667402189596)	(8.0, 0.1814419956278332)	(9.0, 0.173833137746666)	('>10', 3.818329738635732)	('>50', 2.0665365356870065)	('>100', 3.82301211271645)	('>500', 1.783545552183596)	('>1k', 9.199109178331142)	('>5k', 6.237507572276833)	('>10k+', 67.97007377665662)
its-D02_S163_L001_R2_001	(1.0, 3.2175226144035682)	(2.0, 0.5680305056671359)	(3.0, 0.37751641025791105)	(4.0, 0.28913659948435355)	(5.0, 0.2502143649383829)	(6.0, 0.2124627239125918)	(7.0, 0.17617432478702513)	(8.0, 0.1814419956278332)	(9.0, 0.16329779606504988)	('>10', 3.25834706341983)	('>50', 1.423441720538356)	('>100', 2.368695988083358)	('>500', 2.1840348602750312)	('>1k', 11.186484327216007)	('>5k', 6.977030028650276)	('>10k+', 67.1661686766733)
its-D03_S171_L001_R1_001	(1.0, 3.2009928677627677)	(2.0, 0.7617928759909536)	(3.0, 0.48032035070356704)	(4.0, 0.33644137817542263)	(5.0, 0.2765584698316993)	(6.0, 0.24958830500513687)	(7.0, 0.1927909663661474)	(8.0, 0.17919160359343161)	(9.0, 0.17484894993491734)	('>10', 3.13951003438696)	('>50', 2.217953215906455)	('>100', 4.9686814674969515)	('>500', 2.0615034038405056)	('>1k', 9.736800904186204)	('>5k', 1.9018537417103885)	('>10k+', 70.12117146510849)
its-D03_S171_L001_R2_001	(1.0, 3.761766591508284)	(2.0, 0.6392843306770768)	(3.0, 0.38638189524833694)	(4.0, 0.28295816996003614)	(5.0, 0.21998969191157902)	(6.0, 0.1885625930670677)	(7.0, 0.18399137868968424)	(8.0, 0.15724977458199102)	(9.0, 0.14399325288757897)	('>10', 3.3523000636541602)	('>50', 1.5732977083359523)	('>100', 3.280417717569805)	('>500', 2.8874075614742623)	('>1k', 6.947903012544556)	('>5k', 6.864592630516741)	('>10k+', 69.1299036273729)
its-D04_S179_L001_R1_001	(1.0, 2.2460273795268453)	(2.0, 0.4852564611780121)	(3.0, 0.304216964950322)	(4.0, 0.2353709593426089)	(5.0, 0.19123890446586972)	(6.0, 0.16829023592996536)	(7.0, 0.14210521670310014)	(8.0, 0.14279171533451607)	(9.0, 0.10679957280170879)	('>10', 2.6190903500848806)	('>50', 1.506864495957994)	('>100', 3.8431174098995062)	('>500', 1.459201876691116)	('>1k', 3.7031697603237137)	('>5k', 2.3867595989671138)	('>10k+', 80.45969909784273)
its-D04_S179_L001_R2_001	(1.0, 2.3541999495913863)	(2.0, 0.37953567193995685)	(3.0, 0.237724668936035)	(4.0, 0.1882967674740871)	(5.0, 0.1559332605644784)	(6.0, 0.1506374139792697)	(7.0, 0.11876426323495808)	(8.0, 0.11140892075550154)	(9.0, 0.10856485499677836)	('>10', 2.837789199807388)	('>50', 1.1394896569174053)	('>100', 1.8378549075335378)	('>500', 0.41189917884956556)	('>1k', 2.439129637420844)	('>5k', 7.531772627730425)	('>10k+', 79.99699902026838)
its-D05_S187_L001_R1_001	(1.0, 1.9639069100084727)	(2.0, 0.4891986666089442)	(3.0, 0.31448485710574975)	(4.0, 0.23810554569461884)	(5.0, 0.19017520857427347)	(6.0, 0.1790430012430965)	(7.0, 0.15801549850642885)	(8.0, 0.15214016685941878)	(9.0, 0.13219496205772668)	('>10', 2.8470620249485137)	('>50', 1.701990809744392)	('>100', 3.796546541903484)	('>500', 0.9539683226855831)	('>1k', 4.51086317898734)	('>5k', 3.518550586605481)	('>10k+', 78.85375371846648)
its-D05_S187_L001_R2_001	(1.0, 2.200157087814562)	(2.0, 0.3809688731113901)	(3.0, 0.24583624523015837)	(4.0, 0.21769649892079435)	(5.0, 0.20872888745956847)	(6.0, 0.17069384574471375)	(7.0, 0.15585090263647777)	(8.0, 0.13482339989981013)	(9.0, 0.14054411755610943)	('>10', 2.7419245112651756)	('>50', 1.1057992615635803)	('>100', 1.8051183415484902)	('>500', 0.9923125923818594)	('>1k', 3.811234871021009)	('>5k', 5.253628790361983)	('>10k+', 80.43468177348431)
its-D06_S195_L001_R1_001	(1.0, 1.993320138220341)	(2.0, 0.4447112069588242)	(3.0, 0.27738631692174737)	(4.0, 0.2117172078020155)	(5.0, 0.18256012335285457)	(6.0, 0.1513016274118622)	(7.0, 0.13606639409608443)	(8.0, 0.12188186652622233)	(9.0, 0.10874804470227596)	('>10', 2.5828973998972935)	('>50', 1.9943708439662564)	('>100', 3.811303755090998)	('>500', 0.7420609330529699)	('>1k', 2.59104036942814)	('>5k', 1.735371877598034)	('>10k+', 82.91526189497408)
its-D06_S195_L001_R2_001	(1.0, 1.9830757571976627)	(2.0, 0.30811945998978185)	(3.0, 0.16430411101756912)	(4.0, 0.1271353952558009)	(5.0, 0.10835403004755756)	(6.0, 0.10638395677396562)	(7.0, 0.08458181254621464)	(8.0, 0.09351281138649817)	(9.0, 0.08747125334748283)	('>10', 2.1971570529279885)	('>50', 1.3108867562480875)	('>100', 1.9378954101232873)	('>500', 0.8075987039544624)	('>1k', 1.480707072431714)	('>5k', 0.0)	('>10k+', 89.20281641675193)
its-D07_S203_L001_R1_001	(1.0, 1.802184685499331)	(2.0, 0.39994006066274307)	(3.0, 0.25151269318810104)	(4.0, 0.20565393300228907)	(5.0, 0.14984834314237144)	(6.0, 0.12246226663704149)	(7.0, 0.1202662133323688)	(8.0, 0.12401242191092808)	(9.0, 0.11974949490773992)	('>10', 2.1131199975197514)	('>50', 1.4010820083811728)	('>100', 3.9649096517834534)	('>500', 1.03640798019935)	('>1k', 2.269556500576141)	('>5k', 0.8866888166631358)	('>10k+', 85.03260493259408)
its-D07_S203_L001_R2_001	(1.0, 2.1579453208563057)	(2.0, 0.30589730738028925)	(3.0, 0.18834386577722204)	(4.0, 0.1395139746497941)	(5.0, 0.1272419120648585)	(6.0, 0.10076009280262906)	(7.0, 0.11484066987376569)	(8.0, 0.11781180081538167)	(9.0, 0.07905791896821665)	('>10', 2.3966692330348423)	('>50', 1.3461806757643557)	('>100', 2.1147993323997953)	('>500', 0.3743624986436141)	('>1k', 0.41453735615850856)	('>5k', 2.010293031018607)	('>10k+', 88.01174500979182)
its-D08_S211_L001_R1_001	(1.0, 4.121564423220056)	(2.0, 0.8134567702608625)	(3.0, 0.47138391400513935)	(4.0, 0.36507819559951465)	(5.0, 0.2969643477384849)	(6.0, 0.256216328377913)	(7.0, 0.21155890494584723)	(8.0, 0.15517326929929948)	(9.0, 0.1691569069396433)	('>10', 3.028585261847374)	('>50', 1.8956098895894071)	('>100', 6.22993611131577)	('>500', 1.7181830894216037)	('>1k', 3.665818125500892)	('>5k', 2.285497764873403)	('>10k+', 74.31581669706479)
its-D08_S211_L001_R2_001	(1.0, 1.441517570515876)	(2.0, 0.22945194665768506)	(3.0, 0.18088511915412525)	(4.0, 0.1557747160795293)	(5.0, 0.13382190860114004)	(6.0, 0.141640716744128)	(7.0, 0.11051584586723365)	(8.0, 0.09984016551815392)	(9.0, 0.10826042044137171)	('>10', 2.2867006584338623)	('>50', 1.017948675539009)	('>100', 1.9769555666154934)	('>500', 0.6230988643181172)	('>1k', 1.2066526028361222)	('>5k', 4.721958671584496)	('>10k+', 85.56497655109365)
its-D09_S219_L001_R1_001	(1.0, 2.1104205930767947)	(2.0, 0.4968151346708973)	(3.0, 0.3363790347591669)	(4.0, 0.2665982775484887)	(5.0, 0.2012906458000334)	(6.0, 0.16640026719469428)	(7.0, 0.15447193262876638)	(8.0, 0.13479018059498535)	(9.0, 0.1019872605386836)	('>10', 2.488250590452561)	('>50', 1.3833886012834888)	('>100', 3.847186105875897)	('>500', 0.8788200491447384)	('>1k', 5.848462437674452)	('>5k', 0.9527757234534914)	('>10k+', 80.63196316530285)
its-D09_S219_L001_R2_001	(1.0, 2.57443280769139)	(2.0, 0.4252451272753298)	(3.0, 0.24020683732137318)	(4.0, 0.18608201922847534)	(5.0, 0.16774220483336116)	(6.0, 0.1377722642364673)	(7.0, 0.12420378366772432)	(8.0, 0.13240451368179976)	(9.0, 0.1140646992866856)	('>10', 2.71265238447408)	('>50', 1.4437757950234988)	('>100', 2.044516544600043)	('>500', 1.1728534961948613)	('>1k', 3.3180153636949212)	('>5k', 6.792590118567646)	('>10k+', 78.41344204022235)
its-D10_S227_L001_R1_001	(1.0, 2.327834154881602)	(2.0, 0.5106602187103964)	(3.0, 0.33316099795250637)	(4.0, 0.24263826181415027)	(5.0, 0.2043760743742266)	(6.0, 0.1758194174068689)	(7.0, 0.13065137174608094)	(8.0, 0.13289110954744232)	(9.0, 0.10918721781636763)	('>10', 2.45400605102496)	('>50', 1.2507069172435548)	('>100', 4.0292883046491355)	('>500', 0.9772722606606853)	('>1k', 6.115417421800488)	('>5k', 2.4745369808707727)	('>10k+', 78.53155323950077)
its-D10_S227_L001_R2_001	(1.0, 2.725014324989688)	(2.0, 0.4121117554504953)	(3.0, 0.2418916825470298)	(4.0, 0.17395296923906775)	(5.0, 0.13718394033338496)	(6.0, 0.11534649677011144)	(7.0, 0.1293448580286201)	(8.0, 0.10900057299958751)	(9.0, 0.0957487910081993)	('>10', 2.7666361191316535)	('>50', 1.4360452203062095)	('>100', 2.581484460885779)	('>500', 1.5760288328912964)	('>1k', 3.8234190717406684)	('>5k', 2.3761751624276517)	('>10k+', 81.30061574125055)
its-D11_S235_L001_R1_001	(1.0, 2.453697949036669)	(2.0, 0.5793498527305645)	(3.0, 0.3404761261382982)	(4.0, 0.25335747291053046)	(5.0, 0.22374145431945305)	(6.0, 0.19326073445564354)	(7.0, 0.16494176777366443)	(8.0, 0.15391682654632907)	(9.0, 0.1731564298646202)	('>10', 3.1227605588131975)	('>50', 1.9205015267381849)	('>100', 4.981976382846488)	('>500', 2.1340827411030343)	('>1k', 3.2457643148593505)	('>5k', 4.509741400275623)	('>10k+', 75.54927446158834)
its-D11_S235_L001_R2_001	(1.0, 2.3258302483313966)	(2.0, 0.40921987732050696)	(3.0, 0.2503310184559678)	(4.0, 0.19542248763747397)	(5.0, 0.16861674818277622)	(6.0, 0.14656686572810548)	(7.0, 0.13392060961439728)	(8.0, 0.13662280109168534)	(9.0, 0.11381630502337395)	('>10', 3.0122949712216607)	('>50', 1.3420163752803522)	('>100', 3.104277569108547)	('>500', 1.4669657091901533)	('>1k', 4.2448185478423)	('>5k', 6.217094063285324)	('>10k+', 76.73218580268598)
its-D12_S243_L001_R1_001	(1.0, 1.8841625836055376)	(2.0, 0.4109795458080572)	(3.0, 0.24097351843210452)	(4.0, 0.1944314823456214)	(5.0, 0.16222876808212786)	(6.0, 0.13926154923005132)	(7.0, 0.10377780370197542)	(8.0, 0.10596515787836366)	(9.0, 0.11155506299580027)	('>10', 2.0224519754238606)	('>50', 1.5352795924716132)	('>100', 4.8668630424638355)	('>500', 1.0884517421060818)	('>1k', 2.5838728806968425)	('>5k', 1.0117728262560273)	('>10k+', 83.53797246850209)
its-D12_S243_L001_R2_001	(1.0, 2.314585277648157)	(2.0, 0.3531361798102349)	(3.0, 0.20597585160989268)	(4.0, 0.12686654223051796)	(5.0, 0.10025373308446103)	(6.0, 0.08384857676154922)	(7.0, 0.08676504899673355)	(8.0, 0.08166122258516098)	(9.0, 0.06233959402706487)	('>10', 2.580348810079328)	('>50', 1.6668854020843054)	('>100', 2.671367047752372)	('>500', 0.8260907606159589)	('>1k', 1.3147213796857988)	('>5k', 1.6139028231451236)	('>10k+', 85.91125174988335)
its-E01_S156_L001_R1_001	(1.0, 2.6043886219400476)	(2.0, 0.5665042857835494)	(3.0, 0.3758832490807064)	(4.0, 0.28121068600606824)	(5.0, 0.2315777654723293)	(6.0, 0.19521431469568257)	(7.0, 0.17505492794933103)	(8.0, 0.16127509397081227)	(9.0, 0.17339624422969452)	('>10', 3.027608152558073)	('>50', 1.3135499148967662)	('>100', 4.076534218645136)	('>500', 1.442416880806988)	('>1k', 5.56564942571266)	('>5k', 2.8326490199731036)	('>10k+', 76.97708719827905)
its-E01_S156_L001_R2_001	(1.0, 2.7883749237643447)	(2.0, 0.43023703866264157)	(3.0, 0.2510991969418976)	(4.0, 0.19342803992068938)	(5.0, 0.1620406403029522)	(6.0, 0.1431571641101672)	(7.0, 0.14468825677444708)	(8.0, 0.14188125355660067)	(9.0, 0.09990379634426108)	('>10', 2.7697466296822726)	('>50', 1.4440755645266246)	('>100', 2.605664532493614)	('>500', 1.471635232483662)	('>1k', 3.825945385924665)	('>5k', 4.416691972225979)	('>10k+', 79.11143037228518)
its-E02_S164_L001_R1_001	(1.0, 3.2543986203008144)	(2.0, 0.8183672454106761)	(3.0, 0.5186309138848814)	(4.0, 0.41788965723098354)	(5.0, 0.32233056398520804)	(6.0, 0.26864335107706083)	(7.0, 0.2727890818035587)	(8.0, 0.25703530504286687)	(9.0, 0.24812198398089647)	('>10', 4.439041175397575)	('>50', 1.9335688108385984)	('>100', 3.698613667645059)	('>500', 1.5515397243918212)	('>1k', 10.25239208662919)	('>5k', 6.525587450043944)	('>10k+', 65.22105036233687)
its-E02_S164_L001_R2_001	(1.0, 5.359600683216423)	(2.0, 0.8627265641842031)	(3.0, 0.5801950151733745)	(4.0, 0.4444223338805698)	(5.0, 0.39280798633567154)	(6.0, 0.31839211979503507)	(7.0, 0.28004411057492995)	(8.0, 0.25869359733346603)	(9.0, 0.22013830157703598)	('>10', 3.6074075916621062)	('>50', 1.5896804470756014)	('>100', 2.9909374326318754)	('>500', 2.8580667628476197)	('>1k', 13.486891199442812)	('>5k', 17.86872129081472)	('>10k+', 48.881274563454554)
its-E03_S172_L001_R1_001	(1.0, 2.2068175875174223)	(2.0, 0.5128296263198382)	(3.0, 0.3248344093446698)	(4.0, 0.24473651473877422)	(5.0, 0.1878682789488516)	(6.0, 0.1675581947381649)	(7.0, 0.1466134203958943)	(8.0, 0.1391240768432036)	(9.0, 0.11881399263251695)	('>10', 2.38770427501885)	('>50', 1.52046367922253)	('>100', 4.284285326218034)	('>500', 1.6915761386975652)	('>1k', 1.980360148568266)	('>5k', 4.0578278872688776)	('>10k+', 80.02858644352654)
its-E03_S172_L001_R2_001	(1.0, 2.880858507259586)	(2.0, 0.4610389115825872)	(3.0, 0.2707588101337165)	(4.0, 0.2056396026332024)	(5.0, 0.1675581947381649)	(6.0, 0.16451168210656195)	(7.0, 0.12795353052732594)	(8.0, 0.14927911894854695)	(9.0, 0.13709306842213495)	('>10', 2.7677567258113243)	('>50', 1.353540174615949)	('>100', 2.5374911460726643)	('>500', 0.7342095442163227)	('>1k', 5.707641415308219)	('>5k', 0.670740531057927)	('>10k+', 81.66392903656576)
its-E04_S180_L001_R1_001	(1.0, 2.290863527663711)	(2.0, 0.5231260911294029)	(3.0, 0.32747742586480283)	(4.0, 0.23063872882577535)	(5.0, 0.20698347458723432)	(6.0, 0.16041219280510657)	(7.0, 0.17162379767858177)	(8.0, 0.13010389831197583)	(9.0, 0.13195196504936188)	('>10', 2.696329369846204)	('>50', 1.7464230668297893)	('>100', 3.6489461707441175)	('>500', 1.287856107059738)	('>1k', 3.7106715997728106)	('>5k', 1.3060903655352802)	('>10k+', 81.43050221829611)
its-E04_S180_L001_R2_001	(1.0, 2.051970100744278)	(2.0, 0.33708737289921015)	(3.0, 0.23174756886820697)	(4.0, 0.18973485170496476)	(5.0, 0.16940611759371854)	(6.0, 0.13232157839683906)	(7.0, 0.15696246822865267)	(8.0, 0.1330608050917935)	(9.0, 0.13195196504936188)	('>10', 2.8136200054456366)	('>50', 1.0510571557760093)	('>100', 1.3674461812164962)	('>500', 0.3083807362451473)	('>1k', 2.6284437183595575)	('>5k', 4.5897353445227616)	('>10k+', 83.70707402985737)
