Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
its-A07_S200_L001_R1_001	(1.0, 1.4578607581915044)	(2.0, 0.36036073481169906)	(3.0, 0.2319276701556264)	(4.0, 0.1641781894470832)	(5.0, 0.15586536972824352)	(6.0, 0.12593921874042077)	(7.0, 0.11856159123995058)	(8.0, 0.1105605022605674)	(9.0, 0.09351922183694612)	('>10', 2.11727518238846)	('>50', 1.2683284686019602)	('>100', 3.837613223202327)	('>500', 1.289630069131487)	('>1k', 2.227523953909571)	('>5k', 1.1574562356019364)	('>10k+', 85.28339961075221)
its-A07_S200_L001_R2_001	(1.0, 1.7712540615917594)	(2.0, 0.26330856459424606)	(3.0, 0.16209998451737329)	(4.0, 0.1159638350778132)	(5.0, 0.10494934895035064)	(6.0, 0.09102537592129423)	(7.0, 0.08728460704781638)	(8.0, 0.08728460704781638)	(9.0, 0.08042653077977366)	('>10', 2.1309913349245457)	('>50', 1.2169968068381256)	('>100', 2.3308107389161536)	('>500', 0.4792340567911061)	('>1k', 0.4193817548154606)	('>5k', 0.0)	('>10k+', 90.65898839218637)
its-A08_S208_L001_R1_001	(1.0, 2.284974862372295)	(2.0, 0.493717206528684)	(3.0, 0.31881869284335934)	(4.0, 0.2379308193554355)	(5.0, 0.18016913310142607)	(6.0, 0.15940934642167967)	(7.0, 0.14230672423473834)	(8.0, 0.1273553752788588)	(9.0, 0.0909988576739143)	('>10', 2.2274283034413918)	('>50', 1.4755583091852913)	('>100', 4.779376173788457)	('>500', 1.5477335260874148)	('>1k', 3.133544588364624)	('>5k', 2.7094210708607886)	('>10k+', 80.09125701046165)
its-A08_S208_L001_R2_001	(1.0, 1.3539038079687462)	(2.0, 0.21878448759898544)	(3.0, 0.14424287014269394)	(4.0, 0.11832002770839922)	(5.0, 0.10595020662979385)	(6.0, 0.10067958721369243)	(7.0, 0.08357696502675108)	(8.0, 0.08691143853489688)	(9.0, 0.08906271176595867)	('>10', 1.9600250408204096)	('>50', 1.0436902080496342)	('>100', 2.1169604230263683)	('>500', 0.40045951196215473)	('>1k', 1.5099786808822802)	('>5k', 2.0237027284598392)	('>10k+', 88.64375130420939)
its-A09_S216_L001_R1_001	(1.0, 2.3230812709205835)	(2.0, 0.5285798074560712)	(3.0, 0.3387057605541993)	(4.0, 0.27096460844335946)	(5.0, 0.21089226600544486)	(6.0, 0.18745979200483986)	(7.0, 0.1769506824530534)	(8.0, 0.16473739297395018)	(9.0, 0.10991960531192882)	('>10', 2.412976762086541)	('>50', 1.2392228371471459)	('>100', 4.089747795572256)	('>500', 0.5315621223288756)	('>1k', 5.3541072866473245)	('>5k', 1.7317308361416799)	('>10k+', 80.32936117395275)
its-A09_S216_L001_R2_001	(1.0, 2.5297130871077367)	(2.0, 0.39877810299211397)	(3.0, 0.2556269890975089)	(4.0, 0.17666665246516727)	(5.0, 0.15195604351907474)	(6.0, 0.16019291316777226)	(7.0, 0.12028669986977225)	(8.0, 0.11588423505753738)	(9.0, 0.12781349454875446)	('>10', 2.5510153361991956)	('>50', 1.3783975312113455)	('>100', 2.1067924351453025)	('>500', 1.449973088158648)	('>1k', 3.4133303794214593)	('>5k', 6.839584123291736)	('>10k+', 78.22398888874687)
its-A10_S224_L001_R1_001	(1.0, 1.9482676369958978)	(2.0, 0.4680325818476079)	(3.0, 0.27680081140227975)	(4.0, 0.22034711505208637)	(5.0, 0.17428199236439837)	(6.0, 0.14844724996685224)	(7.0, 0.1263031850546699)	(8.0, 0.15200123569349883)	(9.0, 0.09718784044791155)	('>10', 1.9109507868661093)	('>50', 1.3599463074771758)	('>100', 3.823131799560673)	('>500', 1.5180986723129475)	('>1k', 3.5135249660662713)	('>5k', 4.593936626966824)	('>10k+', 79.6687411919248)
its-A10_S224_L001_R2_001	(1.0, 2.649222975697572)	(2.0, 0.4139026453956064)	(3.0, 0.23907388599633939)	(4.0, 0.17113808191390334)	(5.0, 0.12917371198773053)	(6.0, 0.10579942124709359)	(7.0, 0.0947273887910024)	(8.0, 0.08857625964872952)	(9.0, 0.07996467884954749)	('>10', 2.4311996205436777)	('>50', 1.5668976301749789)	('>100', 2.919189199163993)	('>500', 1.1792398024530704)	('>1k', 3.983471232535919)	('>5k', 2.806145114704889)	('>10k+', 81.14227835089595)
its-A11_S232_L001_R1_001	(1.0, 3.2373594943683437)	(2.0, 0.703485534192895)	(3.0, 0.4077564024156738)	(4.0, 0.30087324114327263)	(5.0, 0.2274839475209394)	(6.0, 0.2249690496086476)	(7.0, 0.18164421739234807)	(8.0, 0.17375658303106928)	(9.0, 0.14300624037622872)	('>10', 3.2156399214894598)	('>50', 1.9217249456153325)	('>100', 5.691213975516326)	('>500', 2.098453680724565)	('>1k', 4.735209828221041)	('>5k', 4.400957032969168)	('>10k+', 72.3364659054147)
its-A11_S232_L001_R2_001	(1.0, 2.1613261285318597)	(2.0, 0.39461034514687576)	(3.0, 0.25446194330734223)	(4.0, 0.2071361371396694)	(5.0, 0.19147518195857963)	(6.0, 0.15775268722557606)	(7.0, 0.14723584141053764)	(8.0, 0.15272289140099246)	(9.0, 0.12757391227807455)	('>10', 2.876243016871536)	('>50', 1.2660224717559816)	('>100', 2.920825298043981)	('>500', 1.1872604416846615)	('>1k', 6.1776180944618515)	('>5k', 3.708674225840119)	('>10k+', 78.06906138294237)
