.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
its-C08_S210_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-C08_S210_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-C09_S218_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-C09_S218_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-C10_S226_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-C10_S226_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-C11_S234_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-C11_S234_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-C12_S242_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-C12_S242_L001_R2_001	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-D01_S155_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-D01_S155_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-D02_S163_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-D02_S163_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-D03_S171_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-D03_S171_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-D04_S179_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-D04_S179_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-D05_S187_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-D05_S187_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-D06_S195_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-D06_S195_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-D07_S203_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-D07_S203_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-D08_S211_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-D08_S211_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-D09_S219_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-D09_S219_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-D10_S227_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-D10_S227_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-D11_S235_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-D11_S235_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-D12_S243_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-D12_S243_L001_R2_001	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-E01_S156_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-E01_S156_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-E02_S164_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-E02_S164_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-E03_S172_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-E03_S172_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-E04_S180_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-E04_S180_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-E05_S188_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-E05_S188_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-E06_S196_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-E06_S196_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-E07_S204_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-E07_S204_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-E08_S212_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-E08_S212_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-E09_S220_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-E09_S220_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-E10_S228_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-E10_S228_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-E11_S236_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-E11_S236_L001_R2_001	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-E12_S244_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-E12_S244_L001_R2_001	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-F01_S157_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-F01_S157_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-F02_S165_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-F02_S165_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-F03_S173_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-F03_S173_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-F04_S181_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-F04_S181_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-F05_S189_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-F05_S189_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-F06_S197_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-F06_S197_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-F07_S205_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-F07_S205_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-F08_S213_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-F08_S213_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-F09_S221_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-F09_S221_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-F10_S229_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-F10_S229_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-F11_S237_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-F11_S237_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-F12_S245_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-F12_S245_L001_R2_001	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-G01_S158_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
