channel,well,adapter,collinear_confidence,conductance,conductance_filtered_data,event,experiment_tag,flow_cell_id,group_1_adjusted_offset_0mv_pa,group_1_adjusted_offset_0mv_std,group_1_offset_voltage_mv,group_order,include_well,initial_0mv_current_pa,initial_0mv_current_std,initial_current_0_pa,initial_current_1_pa,initial_current_2_pa,initial_voltage_0_mv,initial_voltage_1_mv,initial_voltage_2_mv,intercept,intercept_adjusted_0mv_current_pa,intercept_adjusted_0mv_current_std,meas_cap,meas_res,multiple,mux_scan_assessment,mux_uncertain,pore,pore_1,pore_median,pore_sd,previous_offset,reserve_pore_intercept_median_mv,scan_number,scan_offset_voltage_mv,scan_running_voltage_mv,sd_cap,seconds_since_start_of_run,short_strand,strand,strand2,strand_median_pa,strand_range_pa,strand_sd_pa,total_good_samples,total_time_active,transition,triangle_ratio,unavailable,unclassed,unknown_negative,unknown_positive,zero
1,1,0,-0.11,0.001,False,0,LIS14-11-24,PBG11294,0.037,0.37,15,0,0,0.054,0.367,-0.012,0.003,0.007,-30,-40,-50,-40.631,0.002,0.376,0.01,1704.1,0,zero,0,0,0,,,0,15.28,1,15,-175,0.22,7,0,0,0,,,,0,0.0,0,1.88,0,0,0,0,56225
1,2,0,-0.51,0.001,False,0,LIS14-11-24,PBG11294,0.043,0.367,15,0,0,0.028,0.376,0.003,0.018,-0.018,-30,-40,-50,-40.321,-0.019,0.375,-0.0,-596.66,0,zero,0,0,0,,,0,15.28,1,15,-175,0.22,7,0,0,0,,,,0,0.0,0,1.26,0,0,0,0,52183
1,3,0,0.51,0.001,False,0,LIS14-11-24,PBG11294,-0.589,0.306,15,0,0,-0.61,0.304,-0.612,-0.647,-0.631,-30,-40,-50,154.951,-0.624,0.3,0.01,-4577.42,0,zero,0,0,0,,,0,15.28,1,15,-175,0.18,7,0,0,0,,,,0,0.0,0,1.28,0,0,0,0,56409
1,4,0,0.36,0.001,False,0,LIS14-11-24,PBG11294,-0.3,0.345,15,0,0,-0.353,0.341,-0.357,-0.384,-0.375,-30,-40,-50,137.143,-0.368,0.334,-0.01,1884.18,0,zero,0,0,0,,,0,15.28,1,15,-175,0.2,7,0,0,0,,,,0,0.0,0,1.5,0,0,0,0,56499
2,1,0,-0.69,0.002,False,0,LIS14-11-24,PBG11294,-0.115,0.318,15,0,0,-0.061,0.328,-0.074,-0.057,-0.109,-30,-40,-50,-20.085,-0.072,0.321,0.01,882.44,0,zero,0,0,0,,,0,15.28,1,15,-175,0.19,7,0,0,0,,,,0,0.0,0,1.67,0,0,0,0,56511
2,2,0,0.09,0.001,False,0,LIS14-11-24,PBG11294,-0.099,0.317,15,0,0,-0.046,0.327,-0.036,-0.046,-0.047,-30,-40,-50,23.919,-0.046,0.323,0.0,3426.05,0,zero,0,0,0,,,0,15.28,1,15,-175,0.19,7,0,0,0,,,,0,0.0,0,1.44,0,0,0,0,52498
2,3,0,-0.22,0.0,False,0,LIS14-11-24,PBG11294,-0.674,0.369,15,0,0,-0.657,0.365,-0.704,-0.69,-0.698,-30,-40,-50,-464.054,-0.666,0.364,-0.01,-1721.44,0,zero,0,0,0,,,0,15.28,1,15,-175,0.22,7,0,0,0,,,,0,0.0,0,1.44,0,0,0,0,56184
2,4,0,-0.01,0.003,False,0,LIS14-11-24,PBG11294,-0.354,0.338,15,0,0,-0.318,0.339,-0.312,-0.341,-0.371,-30,-40,-50,75.695,-0.331,0.348,-0.01,-2237.0,0,zero,0,0,0,,,0,15.28,1,15,-175,0.2,7,0,0,0,,,,0,0.0,0,1.69,0,0,0,0,56159
3,1,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
3,2,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
